# Raster Studio interface strings, ja. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	日本語
Blend Mode: Exclusion	描画モード：除外
Blend Mode: Hard Light	描画モード：ハードライト
Blend Mode: Hard Mix	描画モード：ハードミックス
Blend Mode: Hue	描画モード：色相
Blend Mode: Lighten	描画モード：比較（明）
Blend Mode: Linear Burn	描画モード：焼き込み（リニア）
Blend Mode: Linear Dodge (Add)	描画モード：覆い焼き（リニア）- 加算
Blend Mode: Linear Light	描画モード：リニアライト
Blend Mode: Luminosity	描画モード：輝度
Blend Mode: Multiply	描画モード：乗算
Blend Mode: Normal	描画モード：通常
Blend Mode: Overlay	描画モード：オーバーレイ
Blend Mode: Pin Light	描画モード：ピンライト
Blend Mode: Saturation	描画モード：彩度
Blend Mode: Screen	描画モード：スクリーン
Blend Mode: Soft Light	描画モード：ソフトライト
Blend Mode: Vivid Light	描画モード：ビビッドライト
Blending	ブレンド
Blending Options	レイヤー効果
Blending Options…	レイヤー効果…
Blending options	ブレンドオプション
Blends a source document, layer or channel into the active layer as one step.	ソースのドキュメント、レイヤーまたはチャンネルを 1 ステップでアクティブなレイヤーに合成します。
Blends one channel of each of two sources into a new channel, a selection or a new document.	2 つのソースのそれぞれ 1 チャンネルを合成し、新しいチャンネル、選択範囲または新規ドキュメントにします。
Blue	ブルー
Blues	ブルー系
Blur	ぼかし
Blur Gallery	ぼかしギャラリー
Blur More	ぼかし（強）
Bold	ボールド
Border Selection	境界線
Border…	境界線…
Both axes	両方の軸
Bottom	下
Bottom Edges	下端
Bottom Left	左下
Bottom Right	右下
Bottom Right Pixel Color	右下のピクセルの色
Bottom left	左下
Bottom right	右下
Box Blur…	ぼかし（ボックス）…
Box height	ボックスの高さ
Brightness	明るさ
Brightness jitter	明るさのジッター
Brightness/Contrast	明るさ・コントラスト
Brightness/Contrast…	明るさ・コントラスト…
Bring Forward	前面へ
Bring to Front	最前面へ
Brush Editor	ブラシエディター
Brush: Background	ブラシ：背景
Brush: Foreground	ブラシ：描画色
Brushes	ブラシ
Bulge	膨張
Butt	なし
CMYK Color	CMYK カラー
Calculations	演算
Calculations…	演算…
Camera Raw…	Camera Raw…
Canvas Size	カンバスサイズ
Canvas Size…	カンバスサイズ…
Canvas extension	カンバス拡張
Caps	大文字
Carries the XMP; the source's EXIF goes into JPEG only	XMP を含みます。ソースの EXIF は JPEG にのみ入ります
Cell size (pixels)	セルサイズ（ピクセル）
Center	中央
Center horizontally on the canvas	カンバスの水平方向中央に配置
Center vertically on the canvas	カンバスの垂直方向中央に配置
Centimeters	センチメートル
Centre	中央
Centre the view on this note	このメモを表示の中央に
Change Bit Depth	ビット数を変更
Change Colour Mode	カラーモードを変更
Change Layer Properties	レイヤープロパティを変更
Change how many pixels the document has, or how large it prints.	ドキュメントのピクセル数、または印刷サイズを変更します。
Channel	チャンネル
Channel Mixer	チャンネルミキサー
Channel Mixer…	チャンネルミキサー…
Channel thumbnail	チャンネルサムネール
Channels	チャンネル
Character	文字
Character Style	文字スタイル
Character Styles	文字スタイル
Checkerboard	チェッカーボード
Choose 2 to 256 colours	2〜256 色を選択してください
Choose a colour profile	カラープロファイルを選択
Choose a destination folder	保存先フォルダーを選択
Choose a source folder	ソースフォルダーを選択
Choose at least one page to open	開くページを 1 つ以上選択してください
Choose at least one side to trim	トリミングする辺を 1 つ以上選択してください
Choose the Action to play	再生するアクションを選択
Choose the open grayscale document each channel of the new RGB document comes from.	新しい RGB ドキュメントの各チャンネルの元になる、開いているグレースケールドキュメントを選択します。
Choose the pages to open, their resolution and how they open.	開くページ、その解像度、開き方を選択します。
Choose the source and the destination folders.	ソースフォルダーと保存先フォルダーを選択します。
Choose…	選択…
Clear	消去
Clear All	すべて消去
Clear Guides	ガイドを消去
Clear History	ヒストリーを消去
Clear Layer Style	レイヤースタイルを消去
Clear Slices	スライスを消去
Clear Strokes	ストロークを消去
Clear existing guides	既存のガイドを消去
Clear the {noun} from the active text layer	アクティブなテキストレイヤーから{noun}を消去
Cleared {n} slice(s)	{n} 個のスライスを消去しました
Click an item in the panel first	先にパネルの項目をクリックしてください
Click anywhere to sample a colour	任意の場所をクリックしてカラーをサンプル
Click anywhere to sample a colour, or press Escape.	任意の場所をクリックしてカラーをサンプル。Esc キーで中止します。
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	グラフをクリックするとポイントを追加、ポイントをドラッグするとカーブを曲げ、グラフの外にドラッグすると削除します
Click the preview to sample a colour from it	プレビューをクリックしてカラーをサンプル
Click the preview to sample the colour to replace	プレビューをクリックして置き換えるカラーをサンプル
Click the ramp to edit its stops.	グラデーションバーをクリックして分岐点を編集します。
Clip to layer below	下のレイヤーでクリップ
Clipboard	クリップボード
Clipping	クリッピング
Close	閉じる
Close All	すべて閉じる
Close Alpha Channel	アルファチャンネルを閉じる
Close Others	その他を閉じる
Close panel	パネルを閉じる
Clouds	雲模様 1
Codec	コーデック
Color	カラー
Color Balance	カラーバランス
Color Balance…	カラーバランス…
Color Burn	焼き込みカラー
Color Dodge	覆い焼きカラー
Color Dynamics	カラー
Color Halftone…	カラーハーフトーン…
Color Intensity	カラーの強さ
Color Label	カラーラベル
Color Lookup	カラールックアップ
Color Lookup Tables…	カラールックアップテーブル…
Color Lookup…	カラールックアップ…
Color Overlay	カラーオーバーレイ
Color Overlay…	カラーオーバーレイ…
Color Picker	カラーピッカー
Color Range	色域指定
Color Range…	色域指定…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	カラーフリンジの除去：境界のピクセルの色を近くの内側のインキに寄せます。マスクの調整とは別の編集です。
Color to Alpha…	カラーからアルファ…
Colors	カラー
Colour	カラー
Colour varies once per stroke.	カラーはストロークごとに 1 回変わります。
Colours	カラー
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	カラー数は 1〜64、許容値は 0 より大きく、コーナーの長さは 1 以上にしてください
Columns	列
Columns and rows with gutters between them, inside optional margins, in pixels.	間隔をあけた列と行（ピクセル単位、任意のマージン内）。
Combine Shapes	シェイプを結合
Commit (Enter)	確定（Enter）
Commit Contents	内容を確定
Composite	合成
Condensed	コンデンス
Cone	円錐
Constant	一定
Constrain proportions	縦横比を固定
Content-Aware	コンテンツに応じる
Content-Aware Scale	コンテンツに応じて拡大・縮小
Contour	輪郭
Contract Selection	選択範囲を縮小
Contract by	縮小量
Contract…	縮小…
Contrast	コントラスト
Conversion Options	変換オプション
Convert Formats	フォーマットを変換
Convert Formats…	フォーマットを変換…
Convert for Smart Filters	スマートフィルター用に変換
Convert to Layers	レイヤーに変換
Convert to Linked…	リンクに変換…
Convert to Paragraph Text	段落テキストに変換
Convert to Point Text	ポイントテキストに変換
Convert to Profile	プロファイル変換
Convert to Profile works on 8- and 16-bit documents	プロファイル変換は 8 bit と 16 bit のドキュメントで動作します
Convert to Profile…	プロファイル変換…
Convert to Shape	シェイプに変換
Convert to Smart Object	スマートオブジェクトに変換
Converted to {name} ({intent}): the numbers changed so the colours look the same	{name} に変換しました（{intent}）：色の見え方が同じになるよう値が変わりました
Cool	クール
Copper	銅
Copy	コピー
Copy Layer Style	レイヤースタイルをコピー
Copy Merged	結合部分をコピー
Copyright Notice	著作権情報
Corner length	コーナーの長さ
Corner radius	角丸の半径
Corner radius applies to rectangles; this path has no corners to round	角丸の半径は長方形に適用されます。このパスには丸める角がありません
Corners	コーナー
Count jitter	数のジッター
Create Clipping Mask	クリッピングマスクを作成
Create Layer	レイヤーを作成
Create Layers	レイヤーを作成
Crop	切り抜き
Crop and Straighten Photos	傾きの補正と写真の切り抜き
Crops the canvas to the content, judged by the basis below.	下の基準で判断し、カンバスを内容に合わせて切り抜きます。
Crystallize…	結晶化…
Current Layer	現在のレイヤー
Current Path	現在のパス
Curve tolerance	カーブの許容値
Curves	トーンカーブ
Curves…	トーンカーブ…
Custom	カスタム
Custom Brush	カスタムブラシ
Custom: with the Move tool, drag the 16 mesh handles on the canvas	カスタム：移動ツールでカンバス上の 16 個のメッシュハンドルをドラッグします
Custom…	カスタム…
Cut	カット
Cyan	シアン
Cyan / Red	シアン / レッド
Cyans	シアン系
DDS…	DDS…
DXF…	DXF…
Dark	ダーク
Dark Blue	ダークブルー
Dark Grey	ダークグレー
Darken	比較（暗）
Darker Color	カラー比較（暗）
Dash	破線
Data Set	データセット
Data Sets	データセット
Data Sets…	データセット…
Default	初期設定
Default colours  (D)	初期設定の描画色と背景色  (D)
Default colours (D)	初期設定の描画色と背景色 (D)
Define	定義
Define Brush Preset…	ブラシを定義…
Define Custom Shape…	カスタムシェイプを定義…
Define New	新規定義
Define Pattern…	パターンを定義…
Define…	定義…
Delete	削除
Delete Filter Mask	フィルターマスクを削除
Delete Layer	レイヤーを削除
Delete Mask	マスクを削除
Delete Vector Mask	ベクトルマスクを削除
Delete action	アクションを削除
Delete channel	チャンネルを削除
Delete frame	フレームを削除
Delete path	パスを削除
Delete selected layers	選択したレイヤーを削除
Delete set and its actions	セットとそのアクションを削除
Delete stop	分岐点を削除
Delete the applied comp	適用中のカンプを削除
Delete the selected keyframe	選択したキーフレームを削除
Delete the selected tool preset	選択したツールプリセットを削除
Delete the selected {noun}	選択した{noun}を削除
Delete the smart filter mask	スマートフィルターマスクを削除
Delete this note	このメモを削除
Delete this smart filter	このスマートフィルターを削除
Delete this spot channel	このスポットカラーチャンネルを削除
Density	濃度
Dents…	へこみ…
Desaturate	彩度を下げる
Description	説明
Deselect	選択を解除
Deselect Layers	レイヤーの選択を解除
Despeckle	ノイズを軽減
Destination	保存先
Destination Space	変換後のカラースペース
Detail	ディテール
Detail scales	ディテールのスケール
Diamond	ダイヤモンド
Difference	差の絶対値
Difference Clouds	雲模様 2
Diffuse…	拡散…
Diffusion	拡散
Diffusion Dither	誤差拡散
Disable / Enable Filter Mask	フィルターマスクを使用しない / 使用
Disable / Enable Mask	マスクを使用しない / 使用
Disable / Enable Vector Mask	ベクトルマスクを使用しない / 使用
Disable Mask	マスクを使用しない
Disable Vector Mask	ベクトルマスクを使用しない
Displace…	置き換え…
Dissolve	ディザ合成
Distance	距離
Distort	変形
Distribute	分布
Dither	ディザ
Dither…	ディザ…
Divide	除算
Dock this panel here	このパネルをここにドッキング
Document	ドキュメント
Document Bounds	ドキュメントの境界
Document Info	ドキュメント情報
Document Title	ドキュメントのタイトル
Document size	ドキュメントサイズ
Double-click to edit in Layer Style; drag to the trash to delete	ダブルクリックでレイヤースタイルで編集、ゴミ箱にドラッグで削除
Double-click to edit this filter's settings	ダブルクリックでこのフィルターの設定を編集
Double-click to rename	ダブルクリックで名前を変更
Drag a line with the Ruler first	先にものさしツールで線をドラッグしてください
Drag to zoom the view	ドラッグして表示をズーム
Drop Shadow	ドロップシャドウ
Drop Shadow…	ドロップシャドウ…
Duotone	ダブルトーン
Duotone Options	ダブルトーンオプション
Duotone…	ダブルトーン…
Duplicate	複製
Duplicate Layer	レイヤーを複製
Duplicate Layer…	レイヤーを複製…
Duplicate frame	フレームを複製
Dust & Scratches…	ダスト＆スクラッチ…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	EXIF と XMP の書き込みは未実装です。ICC のみ埋め込まれます
EXR…	EXR…
Ease In	イーズイン
Ease Out	イーズアウト
Edge Glow	エッジの光彩
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	エッジの調整：マスクの既存の範囲に対するぼかし、シフト、滑らかさ、コントラストです。被写体の認識は行いません。
Edges	エッジ
Edit	編集
Edit Adjustment	調整を編集
Edit Adjustment…	調整を編集…
Edit Alpha Channel	アルファチャンネルを編集
Edit Contents…	コンテンツを編集…
Edit Document Records	ドキュメントの記録を編集
Edit Fill	塗りつぶしを編集
Edit Filter Mask	フィルターマスクを編集
Edit Generator	ジェネレーターを編集
Edit Group	グループを編集
Edit Guides	ガイドを編集
Edit Raster	ラスターを編集
Edit Saved Selection	保存済み選択範囲を編集
Edit Shape	シェイプを編集
Edit Slices	スライスを編集
Edit Smart object	スマートオブジェクトを編集
Edit Text	テキストを編集
Edit Timeline	タイムラインを編集
Edit brush…	ブラシを編集…
Edit fill	塗りつぶしを編集
Edit gradient stops — click to open the editor	グラデーションの分岐点を編集 — クリックでエディターを開きます
Edit in Quick Mask Mode	クイックマスクモードで編集
Edit this ramp	このグラデーションを編集
Effects	効果
Effects apply to the whole layer and undo as one step.	効果はレイヤー全体に適用され、1 ステップで取り消されます。
Embed EXIF and XMP	EXIF と XMP を埋め込む
Embed Linked	リンクを埋め込み
Embed colour profile	カラープロファイルを埋め込む
Embedded source	埋め込まれたソース
Emboss…	エンボス…
Enable / disable the smart filter mask	スマートフィルターマスクの使用 / 不使用
Enable Mask	マスクを使用
Enable Vector Mask	ベクトルマスクを使用
Enable at least one export	書き出しを 1 つ以上有効にしてください
Enabled	有効
Enlarge smaller images	小さい画像を拡大
Enter a colour like #3366CC	#3366CC のようにカラーを入力
Entropy	エントロピー
Equalize	平均化（イコライズ）
Essentials	初期設定
Every enabled row is written when you export.	有効なすべての行が書き出し時に書き込まれます。
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	ソースフォルダーの各画像をボックスに合わせ、元の形式のまま保存先フォルダーに書き込みます。
Every parameter is at its neutral value — there is nothing to clean	すべてのパラメーターがニュートラルな値です。除去するものはありません
Every parameter is at its neutral value — there is nothing to refine	すべてのパラメーターがニュートラルな値です。調整するものはありません
Every variable needs a name	各変数には名前が必要です
Exact	正確
Exclude Overlapping Shapes	シェイプが重なる領域を中マド
Exclusion	除外
Expand Selection	選択範囲を拡張
Expand by	拡張量
Expand the dock	ドックを展開
Expanded	エキスパンド
Expand…	拡張…
Export	書き出し
Export As	書き出し形式
Export Color Lookup	カラールックアップを書き出し
Export Contents…	コンテンツを書き出し…
Export Diagnostics…	診断情報を書き出し…
Export Layers…	レイヤーを書き出し…
Export PDF	PDF を書き出し
Export as .ABR…	.ABR として書き出し…
Export as .ACO…	.ACO として書き出し…
Export as .ASL…	.ASL として書き出し…
Export set as .atn	セットを .atn として書き出し
Export…	書き出し…
Exposure	露光量
Exposure…	露光量…
Extra Bold	エクストラボールド
Extra Condensed	エクストラコンデンス
Extra Expanded	エクストラエキスパンド
Extra Light	エクストラライト
Extras	エクストラ
Extrude…	押し出し…
Eyedropper	スポイト
Face	スタイル
Facet	ぶれ
Fade	フェード
Fade…	フェード…
Family	ファミリー
Feather	ぼかし
Feather Selection	選択範囲をぼかす
Feather radius	ぼかしの半径
Feather…	ぼかし…
Fibers…	繊維…
Field Blur…	フィールドぼかし…
File	ファイル
File Info	ファイル情報
File Info…	ファイル情報…
File name	ファイル名
Files that fail are listed in batch-errors.txt in the destination.	失敗したファイルは保存先の batch-errors.txt に一覧表示されます。
Fill	塗り
Fill Filter Mask	フィルターマスクを塗りつぶし
Fill Mask	マスクを塗りつぶし
Fill Screen	画面に合わせて塗りつぶす
Fill in File Info, or open a file that has EXIF, to embed metadata	メタデータを埋め込むには、ファイル情報を入力するか、EXIF のあるファイルを開いてください
Fill path with the foreground colour, on a new shape layer	新規シェイプレイヤーでパスを描画色で塗りつぶす
Fill type	塗りの種類
Fills the active selection with the chosen contents.	アクティブな選択範囲を選んだ内容で塗りつぶします。
Fill…	塗りつぶし…
Filter	フィルター
Filter Gallery	フィルターギャラリー
Filter Gallery…	フィルターギャラリー…
Find Edges	輪郭検出
First line	1 行目
Fish	魚形
Fisheye	魚眼レンズ
Fit on Screen	画面サイズに合わせる
Fit the whole image in the window	画像全体をウィンドウに合わせる
Fixed height	固定の高さ
Flag	旗
Flame…	炎…
Flat Angled 40	フラット角度 40
Flatten Image	画像を統合
Flip Canvas Horizontal	カンバスを左右に反転
Flip Canvas Vertical	カンバスを上下に反転
Flip Horizontal	水平方向に反転
Flip Vertical	垂直方向に反転
Flip View Horizontal	表示を左右に反転
Flip View Vertical	表示を上下に反転
Flow jitter	流量のジッター
Folders	フォルダー
Font: 	フォント: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	描画色のストロークは残す部分、背景色のストロークは除く部分を示します。プレビューで切り抜きを確認できます。
Foreground — double-click for the picker	描画色 — ダブルクリックでカラーピッカー
Foreground/background jitter	描画色・背景色のジッター
Format	形式
Fourier	フーリエ
Fourier Transform	フーリエ変換
Fragment	分割
Frame	フレーム
Frames	フレーム
Free Transform	自由変形
Free Transform a Copy	コピーを自由変形
From Transparency	透明部分から
Fullscreen	フルスクリーン
Fuzziness	許容量
GIF…	GIF…
Gamma	ガンマ
Gamut Warning	色域外警告
Gaussian	ガウス分布
Gaussian Blur…	ぼかし（ガウス）…
Generate Mockups	モックアップを生成
Generate Mockups…	モックアップを生成…
Give the brush a name	ブラシに名前を付けてください
Give the export a file name	書き出しにファイル名を付けてください
Glass Menus	ガラスのメニュー
Global light	包括光源
Glyphs	字形
Gradient	グラデーション
Gradient Editor	グラデーションエディター
Gradient Map	グラデーションマップ
Gradient Map…	グラデーションマップ…
Gradient Overlay	グラデーションオーバーレイ
Gradient Overlay…	グラデーションオーバーレイ…
Gradient…	グラデーション…
Gray	グレー
Grayscale	グレースケール
Green	グリーン
Greens	グリーン系
Grid	グリッド
Grid points	グリッドのポイント
Group	グループ
Group Layers	レイヤーをグループ化
Grow	選択範囲を拡張（隣接）
Guide Guy	Guide Guy
Guides	ガイド
Gutter	間隔
H	H
H.264 (plays everywhere)	H.264（どこでも再生可能）
HDR Toning	HDR トーン
HDR Toning…	HDR トーン…
HSB/HSL…	HSB/HSL…
Halftone Screen	ハーフトーンパターン
Hard Light	ハードライト
Hard Mix	ハードミックス
Hard Round 24	ハード円ブラシ 24
Hard Round 4	ハード円ブラシ 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	硬いエッジで、ブレンドしません。ピクセルアート専用です。縮小するとジャギーが出ます。
Harder Brush	硬いブラシ
Height	高さ
Height to 110%	高さを 110% に
Height to 125%	高さを 125% に
Height to 80%	高さを 80% に
Height to 90%	高さを 90% に
Help	ヘルプ
Hide All	すべてを隠す
Hide Layers	レイヤーを隠す
Hide Selection	選択範囲を隠す
Hide the source layer	ソースレイヤーを隠す
High Contrast	ハイコントラスト
High Pass…	ハイパス…
Highlights	ハイライト
Histogram	ヒストグラム
Histories	ヒストリー
History	ヒストリー
Hold	ホールド
Horizontal Centers	水平方向中央
Horizontal Distortion	水平方向の歪み
Horizontal center guide	水平方向の中央ガイド
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	水平比率（%）：字形とその間隔を広げたり狭めたりします
Horizontally	水平方向
Hue	色相
Hue jitter	色相のジッター
Hue/Saturation	色相・彩度
Hue/Saturation…	色相・彩度…
ICC profile	ICC プロファイル
ICO…	ICO…
Image	イメージ
Image Options	画像オプション
Image Rotation	画像の回転
Image Size	画像解像度
Image Size…	画像解像度…
Image size	画像サイズ
Import CSV…	CSV を読み込み…
Import PDF	PDF を読み込み
Import a CSV of data sets first	先にデータセットの CSV を読み込んでください
Import a CSV: the first row names the variables, every further row is one data set.	CSV を読み込みます。1 行目が変数名、以降の各行が 1 つのデータセットです。
In use	使用中
Inches	インチ
Indexed Color	インデックスカラー
Indexed Color…	インデックスカラー…
Inflate	膨張
Info	情報
Ink	インキ
Ink Color	インキの色
Ink printed at 0, 25, 50, 75 and 100% tint	0、25、50、75、100% の濃度で印刷したインキ
Inner Glow	光彩（内側）
Inner Glow…	光彩（内側）…
Inner Radius	内側の半径
Inner Shadow	シャドウ（内側）
Inner Shadow…	シャドウ（内側）…
Inside	内側
Intent	マッチング方法
Intersect Shape Areas	シェイプ領域が交差
Intersect with Selection	現在の選択範囲との共通範囲
Inverse	選択範囲を反転
Inverse Fourier Transform	逆フーリエ変換
Invert	階調の反転
Invert coverage	範囲を反転
Invert has no parameters	階調の反転にはパラメーターがありません
Iris Blur…	虹彩絞りぼかし…
Italic	イタリック
JPEG carries the XMP and the source's EXIF	JPEG には XMP とソースの EXIF が入ります
JPG…	JPG…
Justify	均等配置
Kaleidoscope…	万華鏡…
Keep as it was	そのまま
Kept when a comp is first applied	カンプを初めて適用したときに保持
Kerning	カーニング
Keyboard Shortcut Sheet…	キーボードショートカット一覧…
Keyboard Shortcuts…	キーボードショートカット…
Keywords	キーワード
Kind	種類
Kurtosis	尖度
Lab Color	Lab カラー
Landscape	横
Language	言語
Large	大
Last Document State	最終状態
Last Filter	前回のフィルター
Last line	最終行
Layer	レイヤー
Layer Comps	レイヤーカンプ
Layer Edges	レイヤーエッジ
Layer Mask	レイヤーマスク
Layer Style	レイヤースタイル
Layer knocks out drop shadow	レイヤーがドロップシャドウをノックアウト
Layer via Copy	選択範囲をコピーしたレイヤー
Layer via Cut	選択範囲をカットしたレイヤー
Layers	レイヤー
Layers panel options	レイヤーパネルオプション
Left	左
Left Edges	左端
Left indent	左インデント
Length	長さ
Lens Blur…	レンズぼかし…
Lens Correction…	レンズ補正…
Lens Flare…	逆光…
Level	レベル
Levels	レベル補正
Levels…	レベル補正…
Light	ライト
Light Grey	ライトグレー
Lighten	比較（明）
Lighter Color	カラー比較（明）
Lighting Effects…	照明効果…
Lightness	明度
Line	線
Linear	線形
Linear Burn	焼き込み（リニア）
Linear Dodge (Add)	覆い焼き（リニア）- 加算
Linear Light	リニアライト
Link / Unlink Mask	マスクのリンク / リンク解除
Link Layers	レイヤーをリンク
Link selected layers	選択したレイヤーをリンク
Link with layer	レイヤーとリンク
Linked	リンク済み
Linked file	リンクファイル
Liquify…	ゆがみ…
Live Shape	ライブシェイプ
Live preview	ライブプレビュー
Live preview is off.	ライブプレビューはオフです。
Load	読み込み
Load .atn	.atn を読み込み
Load .cube file…	.cube ファイルを読み込み…
Load Selection	選択範囲を読み込む
Load Selection…	選択範囲を読み込む…
Load actions	アクションを読み込み
Load channel as selection	チャンネルを選択範囲として読み込む
