# Raster Studio interface strings, ko. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	한국어
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	모두 대문자는 모든 소문자를 대문자 모양으로, 작은 대문자는 70 % 크기의 대문자 모양으로 표시합니다. 저장된 텍스트는 입력한 대소문자를 유지합니다.
All Layers	모든 레이어
Alpha	알파
Already used by	이미 사용 중:
Alt Tag	Alt 태그
Amount	양
An export needs at least one output	내보내기에는 출력이 하나 이상 필요합니다
An image or project from this computer	이 컴퓨터의 이미지 또는 프로젝트
Angle	각도
Angle (degrees)	각도(도)
Angle jitter	각도 지터
Animation	애니메이션
Another slice already has this name	다른 분할 영역이 이미 이 이름을 사용합니다
Appearance	모양
Applied	적용됨
Apply	적용
Apply Guides	안내선 적용
Apply Image	이미지 적용
Apply Image…	이미지 적용…
Apply Mask	마스크 적용
Apply Style	스타일 적용
Apply Style 1	스타일 1 적용
Apply Style Preset…	스타일 사전 설정 적용…
Apply the next comp	다음 컴프 적용
Apply the previous comp	이전 컴프 적용
Apply this mask	이 마스크 적용
Approximate. The composited result is what the canvas shows.	근사값입니다. 합성 결과는 캔버스에 보이는 그대로입니다.
Arbitrary…	임의 각도…
Arc	부채꼴
Arc Lower	아래 부채꼴
Arc Upper	위 부채꼴
Arch	아치
Arrange	정돈
Artboard	대지
Artboard from Layers	레이어에서 대지 만들기
Artboards in one document	한 문서의 대지
Artboards to Files…	대지를 파일로…
Assign Profile	프로필 지정
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} 지정됨: 픽셀 값은 그대로이므로 색상이 다르게 보입니다
Author	작성자
Auto Color	자동 색상
Auto Contrast	자동 대비
Auto Tone	자동 톤
Auto leading	자동 행간
Auto-Align Layers…	레이어 자동 정렬…
Auto-Blend Layers…	레이어 자동 혼합…
Automate	자동화
Autosaves of never-saved documents go here; empty uses the default	한 번도 저장하지 않은 문서의 자동 저장 파일이 여기에 저장됩니다. 비워 두면 기본 위치를 사용합니다
Average	평균
BMP…	BMP…
Back to the colour this opened on	열 때의 색상으로 되돌리기
Background — double-click for the picker	배경 — 두 번 클릭하면 색상 피커
Based On	기준
Baseline shift	기준선 이동
Baseline to baseline. Auto leading follows the type size.	기준선에서 기준선까지. 자동 행간은 글자 크기를 따릅니다.
Batch	일괄 처리
Batch…	일괄 처리…
Bend	구부리기
Bevel	경사
Bevel & Emboss	경사와 엠보스
Bevel & Emboss…	경사와 엠보스…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	텍스트 대체 변수를 텍스트 레이어에, 가시성 변수를 아무 레이어에나 연결합니다.
Bitmap	비트맵
Bitmap…	비트맵…
Black	검정
Black & White	흑백
Black & White…	흑백…
Black to Transparent	검정에서 투명으로
Black to White	검정에서 흰색으로
Black to white through the inks	잉크를 거쳐 검정에서 흰색으로
Blacks	검정 계열
Blend If	혼합 조건
Blend Mode: Color	혼합 모드: 색상
Blend Mode: Color Burn	혼합 모드: 색상 번
Blend Mode: Color Dodge	혼합 모드: 색상 닷지
Blend Mode: Darken	혼합 모드: 어둡게 하기
Blend Mode: Difference	혼합 모드: 차이
Blend Mode: Dissolve	혼합 모드: 디졸브
Blend Mode: Exclusion	혼합 모드: 제외
Blend Mode: Hard Light	혼합 모드: 하드 라이트
Blend Mode: Hard Mix	혼합 모드: 하드 혼합
Blend Mode: Hue	혼합 모드: 색조
Blend Mode: Lighten	혼합 모드: 밝게 하기
Blend Mode: Linear Burn	혼합 모드: 선형 번
Blend Mode: Linear Dodge (Add)	혼합 모드: 선형 닷지(추가)
Blend Mode: Linear Light	혼합 모드: 선형 라이트
Blend Mode: Luminosity	혼합 모드: 광도
Blend Mode: Multiply	혼합 모드: 곱하기
Blend Mode: Normal	혼합 모드: 표준
Blend Mode: Overlay	혼합 모드: 오버레이
Blend Mode: Pin Light	혼합 모드: 핀 라이트
Blend Mode: Saturation	혼합 모드: 채도
Blend Mode: Screen	혼합 모드: 스크린
Blend Mode: Soft Light	혼합 모드: 소프트 라이트
Blend Mode: Vivid Light	혼합 모드: 선명한 라이트
Blending	혼합
Blending Options	혼합 옵션
Blending Options…	혼합 옵션…
Blending options	혼합 옵션
Blends a source document, layer or channel into the active layer as one step.	소스 문서, 레이어 또는 채널을 한 단계로 활성 레이어에 혼합합니다.
Blends one channel of each of two sources into a new channel, a selection or a new document.	두 소스에서 각각 한 채널을 혼합하여 새 채널, 선택 영역 또는 새 문서로 만듭니다.
Blue	파랑
Blues	파랑 계열
Blur	흐림 효과
Blur Gallery	흐림 효과 갤러리
Blur More	더 흐리게
Bold	굵게
Border Selection	테두리 선택
Border…	테두리…
Both axes	두 축 모두
Bottom	아래쪽
Bottom Edges	아래쪽 가장자리
Bottom Left	왼쪽 아래
Bottom Right	오른쪽 아래
Bottom Right Pixel Color	오른쪽 아래 픽셀 색상
Bottom left	왼쪽 아래
Bottom right	오른쪽 아래
Box Blur…	상자 흐림 효과…
Box height	상자 높이
Brightness	명도
Brightness jitter	명도 지터
Brightness/Contrast	명도/대비
Brightness/Contrast…	명도/대비…
Bring Forward	앞으로 가져오기
Bring to Front	맨 앞으로 가져오기
Brush Editor	브러시 편집기
Brush: Background	브러시: 배경
Brush: Foreground	브러시: 전경
Brushes	브러시
Bulge	돌출
Butt	버트
CMYK Color	CMYK 색상
Calculations	연산
Calculations…	연산…
Camera Raw…	Camera Raw…
Canvas Size	캔버스 크기
Canvas Size…	캔버스 크기…
Canvas extension	캔버스 확장
Caps	대문자
Carries the XMP; the source's EXIF goes into JPEG only	XMP를 담습니다. 소스의 EXIF는 JPEG에만 들어갑니다
Cell size (pixels)	셀 크기(픽셀)
Center	가운데
Center horizontally on the canvas	캔버스에서 가로 가운데 맞춤
Center vertically on the canvas	캔버스에서 세로 가운데 맞춤
Centimeters	센티미터
Centre	가운데
Centre the view on this note	이 메모를 보기 가운데로
Change Bit Depth	비트 수 변경
Change Colour Mode	색상 모드 변경
Change Layer Properties	레이어 속성 변경
Change how many pixels the document has, or how large it prints.	문서의 픽셀 수 또는 인쇄 크기를 변경합니다.
Channel	채널
Channel Mixer	채널 혼합
Channel Mixer…	채널 혼합…
Channel thumbnail	채널 축소판
Channels	채널
Character	문자
Character Style	문자 스타일
Character Styles	문자 스타일
Checkerboard	바둑판
Choose 2 to 256 colours	2~256가지 색상을 선택하세요
Choose a colour profile	색상 프로필 선택
Choose a destination folder	대상 폴더 선택
Choose a source folder	소스 폴더 선택
Choose at least one page to open	열 페이지를 하나 이상 선택하세요
Choose at least one side to trim	자를 면을 하나 이상 선택하세요
Choose the Action to play	재생할 액션 선택
Choose the open grayscale document each channel of the new RGB document comes from.	새 RGB 문서의 각 채널을 가져올 열려 있는 회색 음영 문서를 선택합니다.
Choose the pages to open, their resolution and how they open.	열 페이지, 해상도 및 여는 방식을 선택합니다.
Choose the source and the destination folders.	소스 폴더와 대상 폴더를 선택합니다.
Choose…	선택…
Clear	지우기
Clear All	모두 지우기
Clear Guides	안내선 지우기
Clear History	작업 내역 지우기
Clear Layer Style	레이어 스타일 지우기
Clear Slices	분할 영역 지우기
Clear Strokes	획 지우기
Clear existing guides	기존 안내선 지우기
Clear the {noun} from the active text layer	활성 텍스트 레이어에서 {noun} 지우기
Cleared {n} slice(s)	분할 영역 {n}개를 지웠습니다
Click an item in the panel first	먼저 패널에서 항목을 클릭하세요
Click anywhere to sample a colour	아무 곳이나 클릭하여 색상 샘플링
Click anywhere to sample a colour, or press Escape.	아무 곳이나 클릭하여 색상을 샘플링하거나 Esc 키를 누르세요.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	그래프를 클릭하여 점을 추가하고, 점을 드래그하여 곡선을 구부리고, 그래프 밖으로 드래그하여 제거합니다
Click the preview to sample a colour from it	미리 보기를 클릭하여 색상 샘플링
Click the preview to sample the colour to replace	미리 보기를 클릭하여 바꿀 색상 샘플링
Click the ramp to edit its stops.	그레이디언트 막대를 클릭하여 정지점을 편집합니다.
Clip to layer below	아래 레이어에 클리핑
Clipboard	클립보드
Clipping	클리핑
Close	닫기
Close All	모두 닫기
Close Alpha Channel	알파 채널 닫기
Close Others	나머지 닫기
Close panel	패널 닫기
Clouds	구름 효과
Codec	코덱
Color	색상
Color Balance	색상 균형
Color Balance…	색상 균형…
Color Burn	색상 번
Color Dodge	색상 닷지
Color Dynamics	색상 역학
Color Halftone…	색상 하프톤…
Color Intensity	색상 강도
Color Label	색상 레이블
Color Lookup	색상 검색
Color Lookup Tables…	색상 검색 표…
Color Lookup…	색상 검색…
Color Overlay	색상 오버레이
Color Overlay…	색상 오버레이…
Color Picker	색상 피커
Color Range	색상 범위
Color Range…	색상 범위…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	색상 가장자리 정리: 경계 픽셀의 색상을 가까운 내부 잉크 쪽으로 당깁니다. 마스크 다듬기와는 별개의 편집입니다.
Color to Alpha…	색상을 알파로…
Colors	색상
Colour	색상
Colour varies once per stroke.	색상은 획마다 한 번 바뀝니다.
Colours	색상
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	색상은 1~64, 허용치는 0보다 크고 모퉁이 길이는 1 이상이어야 합니다
Columns	열
Columns and rows with gutters between them, inside optional margins, in pixels.	간격을 둔 열과 행(픽셀 단위, 선택적 여백 안).
Combine Shapes	모양 결합
Commit (Enter)	확정(Enter)
Commit Contents	내용 확정
Composite	합성
Condensed	좁게
Cone	원뿔
Constant	일정
Constrain proportions	비율 유지
Content-Aware	내용 인식
Content-Aware Scale	내용 인식 비율
Contour	윤곽선
Contract Selection	선택 영역 축소
Contract by	축소량
Contract…	축소…
Contrast	대비
Conversion Options	변환 옵션
Convert Formats	형식 변환
Convert Formats…	형식 변환…
Convert for Smart Filters	고급 필터용으로 변환
Convert to Layers	레이어로 변환
Convert to Linked…	연결됨으로 변환…
Convert to Paragraph Text	단락 텍스트로 변환
Convert to Point Text	포인트 텍스트로 변환
Convert to Profile	프로필로 변환
Convert to Profile works on 8- and 16-bit documents	프로필로 변환은 8비트 및 16비트 문서에서 작동합니다
Convert to Profile…	프로필로 변환…
Convert to Shape	모양으로 변환
Convert to Smart Object	고급 개체로 변환
Converted to {name} ({intent}): the numbers changed so the colours look the same	{name}(으)로 변환됨({intent}): 색상이 같게 보이도록 값이 바뀌었습니다
Cool	차갑게
Copper	구리
Copy	복사
Copy Layer Style	레이어 스타일 복사
Copy Merged	병합하여 복사
Copyright Notice	저작권 고지
Corner length	모퉁이 길이
Corner radius	모퉁이 반경
Corner radius applies to rectangles; this path has no corners to round	모퉁이 반경은 사각형에 적용됩니다. 이 패스에는 둥글게 할 모퉁이가 없습니다
Corners	모퉁이
Count jitter	개수 지터
Create Clipping Mask	클리핑 마스크 만들기
Create Layer	레이어 만들기
Create Layers	레이어 만들기
Crop	자르기
Crop and Straighten Photos	사진 자르기 및 똑바르게 하기
Crops the canvas to the content, judged by the basis below.	아래 기준으로 판단하여 캔버스를 내용에 맞게 자릅니다.
Crystallize…	수정화…
Current Layer	현재 레이어
Current Path	현재 패스
Curve tolerance	곡선 허용치
Curves	곡선
Curves…	곡선…
Custom	사용자 정의
Custom Brush	사용자 정의 브러시
Custom: with the Move tool, drag the 16 mesh handles on the canvas	사용자 정의: 이동 도구로 캔버스의 메시 핸들 16개를 드래그합니다
Custom…	사용자 정의…
Cut	잘라내기
Cyan	녹청
Cyan / Red	녹청 / 빨강
Cyans	녹청 계열
DDS…	DDS…
DXF…	DXF…
Dark	어둡게
Dark Blue	진한 파랑
Dark Grey	진한 회색
Darken	어둡게 하기
Darker Color	어두운 색상
Dash	대시
Data Set	데이터 세트
Data Sets	데이터 세트
Data Sets…	데이터 세트…
Default	기본값
Default colours  (D)	기본 색상  (D)
Default colours (D)	기본 색상 (D)
Define	정의
Define Brush Preset…	브러시 사전 설정 정의…
Define Custom Shape…	사용자 정의 모양 정의…
Define New	새로 정의
Define Pattern…	패턴 정의…
Define…	정의…
Delete	삭제
Delete Filter Mask	필터 마스크 삭제
Delete Layer	레이어 삭제
Delete Mask	마스크 삭제
Delete Vector Mask	벡터 마스크 삭제
Delete action	액션 삭제
Delete channel	채널 삭제
Delete frame	프레임 삭제
Delete path	패스 삭제
Delete selected layers	선택한 레이어 삭제
Delete set and its actions	세트와 해당 액션 삭제
Delete stop	정지점 삭제
Delete the applied comp	적용된 컴프 삭제
Delete the selected keyframe	선택한 키프레임 삭제
Delete the selected tool preset	선택한 도구 사전 설정 삭제
Delete the selected {noun}	선택한 {noun} 삭제
Delete the smart filter mask	고급 필터 마스크 삭제
Delete this note	이 메모 삭제
Delete this smart filter	이 고급 필터 삭제
Delete this spot channel	이 별색 채널 삭제
Density	밀도
Dents…	움푹 들어감…
Desaturate	채도 감소
Description	설명
Deselect	선택 해제
Deselect Layers	레이어 선택 해제
Despeckle	반점 제거
Destination	대상
Destination Space	대상 공간
Detail	세부
Detail scales	세부 스케일
Diamond	다이아몬드
Difference	차이
Difference Clouds	차이 구름 효과
Diffuse…	확산…
Diffusion	확산
Diffusion Dither	확산 디더
Disable / Enable Filter Mask	필터 마스크 사용 안 함 / 사용
Disable / Enable Mask	마스크 사용 안 함 / 사용
Disable / Enable Vector Mask	벡터 마스크 사용 안 함 / 사용
Disable Mask	마스크 사용 안 함
Disable Vector Mask	벡터 마스크 사용 안 함
Displace…	변위…
Dissolve	디졸브
Distance	거리
Distort	왜곡
Distribute	분포
Dither	디더
Dither…	디더…
Divide	나누기
Dock this panel here	이 패널을 여기에 고정
Document	문서
Document Bounds	문서 경계
Document Info	문서 정보
Document Title	문서 제목
Document size	문서 크기
Double-click to edit in Layer Style; drag to the trash to delete	두 번 클릭하여 레이어 스타일에서 편집, 휴지통으로 드래그하여 삭제
Double-click to edit this filter's settings	두 번 클릭하여 이 필터의 설정 편집
Double-click to rename	두 번 클릭하여 이름 바꾸기
Drag a line with the Ruler first	먼저 눈금자로 선을 드래그하세요
Drag to zoom the view	드래그하여 보기 확대/축소
Drop Shadow	그림자 효과
Drop Shadow…	그림자 효과…
Duotone	이중톤
Duotone Options	이중톤 옵션
Duotone…	이중톤…
Duplicate	복제
Duplicate Layer	레이어 복제
Duplicate Layer…	레이어 복제…
Duplicate frame	프레임 복제
Dust & Scratches…	먼지와 스크래치…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	EXIF 및 XMP 쓰기는 구현되지 않았습니다. ICC만 포함됩니다
EXR…	EXR…
Ease In	천천히 시작
Ease Out	천천히 끝
Edge Glow	가장자리 광선 효과
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	가장자리 다듬기: 마스크의 기존 적용 범위에 대한 페더, 이동, 매끄럽게, 대비입니다. 피사체 인식이 아닙니다.
Edges	가장자리
Edit	편집
Edit Adjustment	조정 편집
Edit Adjustment…	조정 편집…
Edit Alpha Channel	알파 채널 편집
Edit Contents…	내용 편집…
Edit Document Records	문서 기록 편집
Edit Fill	칠 편집
Edit Filter Mask	필터 마스크 편집
Edit Generator	생성기 편집
Edit Group	그룹 편집
Edit Guides	안내선 편집
Edit Raster	래스터 편집
Edit Saved Selection	저장된 선택 영역 편집
Edit Shape	모양 편집
Edit Slices	분할 영역 편집
Edit Smart object	고급 개체 편집
Edit Text	텍스트 편집
Edit Timeline	타임라인 편집
Edit brush…	브러시 편집…
Edit fill	칠 편집
Edit gradient stops — click to open the editor	그레이디언트 정지점 편집 — 클릭하면 편집기가 열립니다
Edit in Quick Mask Mode	빠른 마스크 모드로 편집
Edit this ramp	이 그레이디언트 편집
Effects	효과
Effects apply to the whole layer and undo as one step.	효과는 레이어 전체에 적용되며 한 단계로 실행 취소됩니다.
Embed EXIF and XMP	EXIF 및 XMP 포함
Embed Linked	연결된 항목 포함
Embed colour profile	색상 프로필 포함
Embedded source	포함된 소스
Emboss…	엠보스…
Enable / disable the smart filter mask	고급 필터 마스크 사용 / 사용 안 함
Enable Mask	마스크 사용
Enable Vector Mask	벡터 마스크 사용
Enable at least one export	내보내기를 하나 이상 사용하세요
Enabled	사용
Enlarge smaller images	작은 이미지 확대
Enter a colour like #3366CC	#3366CC 같은 색상을 입력하세요
Entropy	엔트로피
Equalize	평균화
Essentials	필수
Every enabled row is written when you export.	내보낼 때 사용하는 모든 행이 기록됩니다.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	소스 폴더의 각 이미지를 상자에 맞추고 원래 형식으로 대상 폴더에 기록합니다.
Every parameter is at its neutral value — there is nothing to clean	모든 매개변수가 중립 값입니다. 정리할 것이 없습니다
Every parameter is at its neutral value — there is nothing to refine	모든 매개변수가 중립 값입니다. 다듬을 것이 없습니다
Every variable needs a name	모든 변수에는 이름이 필요합니다
Exact	정확히
Exclude Overlapping Shapes	모양 오버랩 제외
Exclusion	제외
Expand Selection	선택 영역 확대
Expand by	확대량
Expand the dock	도크 펼치기
Expanded	넓게
Expand…	확대…
Export	내보내기
Export As	내보내기 형식
Export Color Lookup	색상 검색 내보내기
Export Contents…	내용 내보내기…
Export Diagnostics…	진단 정보 내보내기…
Export Layers…	레이어 내보내기…
Export PDF	PDF 내보내기
Export as .ABR…	.ABR로 내보내기…
Export as .ACO…	.ACO로 내보내기…
Export as .ASL…	.ASL로 내보내기…
Export set as .atn	세트를 .atn으로 내보내기
Export…	내보내기…
Exposure	노출
Exposure…	노출…
Extra Bold	특별히 굵게
Extra Condensed	특별히 좁게
Extra Expanded	특별히 넓게
Extra Light	특별히 가늘게
Extras	표시자
Extrude…	돌출…
Eyedropper	스포이드
Face	서체
Facet	단면화
Fade	희미하게 하기
Fade…	희미하게 하기…
Family	패밀리
Feather	페더
Feather Selection	선택 영역 페더
Feather radius	페더 반경
Feather…	페더…
Fibers…	섬유…
Field Blur…	필드 흐림 효과…
File	파일
File Info	파일 정보
File Info…	파일 정보…
File name	파일 이름
Files that fail are listed in batch-errors.txt in the destination.	실패한 파일은 대상 위치의 batch-errors.txt에 나열됩니다.
Fill	칠
Fill Filter Mask	필터 마스크 칠하기
Fill Layer	칠 레이어
Fill Mask	마스크 칠하기
Fill Screen	화면 채우기
Fill in File Info, or open a file that has EXIF, to embed metadata	메타데이터를 포함하려면 파일 정보를 채우거나 EXIF가 있는 파일을 여세요
Fill path with the foreground colour, on a new shape layer	새 모양 레이어에서 전경색으로 패스 칠하기
Fill type	칠 유형
Fills the active selection with the chosen contents.	활성 선택 영역을 선택한 내용으로 칠합니다.
Fill…	칠…
Filter	필터
Filter Gallery	필터 갤러리
Filter Gallery…	필터 갤러리…
Find Edges	가장자리 찾기
First line	첫 줄
Fish	물고기
Fisheye	어안
Fit The Area	영역에 맞추기
Fit on Screen	화면 크기에 맞추기
Fit the whole image in the window	전체 이미지를 창에 맞추기
Fixed height	고정 높이
Flag	깃발
Flame…	불꽃…
Flat Angled 40	평평한 각진 40
Flatten Image	이미지 병합
Flip Canvas Horizontal	캔버스 가로로 뒤집기
Flip Canvas Vertical	캔버스 세로로 뒤집기
Flip Horizontal	가로로 뒤집기
Flip Vertical	세로로 뒤집기
Flip View Horizontal	보기 가로로 뒤집기
Flip View Vertical	보기 세로로 뒤집기
Flow jitter	흐름 지터
Folders	폴더
Font: 	글꼴: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	전경 획은 남길 부분을, 배경 획은 버릴 부분을 표시합니다. 미리 보기에 잘라낸 결과가 표시됩니다.
Foreground — double-click for the picker	전경 — 두 번 클릭하면 색상 피커
Foreground/background jitter	전경/배경 지터
Format	형식
Fourier	푸리에
Fourier Transform	푸리에 변환
Fragment	분열
Frame	프레임
Frames	프레임
Free Transform	자유 변형
Free Transform a Copy	사본 자유 변형
From Transparency	투명도에서
Fullscreen	전체 화면
Fuzziness	허용량
GIF…	GIF…
Gamma	감마
Gamut Warning	색상 영역 경고
Gaussian	가우시안
Gaussian Blur…	가우시안 흐림 효과…
Generate Mockups	목업 생성
Generate Mockups…	목업 생성…
Give the brush a name	브러시 이름을 지정하세요
Give the export a file name	내보내기 파일 이름을 지정하세요
Glass Menus	유리 메뉴
Global light	전체 조명
Glyphs	글리프
Gradient	그레이디언트
Gradient Editor	그레이디언트 편집기
Gradient Map	그레이디언트 맵
Gradient Map…	그레이디언트 맵…
Gradient Overlay	그레이디언트 오버레이
Gradient Overlay…	그레이디언트 오버레이…
Gradient…	그레이디언트…
Gray	회색
Grayscale	회색 음영
Green	녹색
Greens	녹색 계열
Grid	격자
Grid points	격자 점
Group	그룹
Group Layers	레이어 그룹화
Grow	선택 영역 확장
Guide Guy	Guide Guy
Guides	안내선
Gutter	간격
H	H
H.264 (plays everywhere)	H.264(어디서나 재생)
HDR Toning	HDR 토닝
HDR Toning…	HDR 토닝…
HSB/HSL…	HSB/HSL…
Halftone Screen	하프톤 스크린
Hard Light	하드 라이트
Hard Mix	하드 혼합
Hard Round 24	선명한 원 24
Hard Round 4	선명한 원 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	가장자리가 선명하고 혼합하지 않습니다. 픽셀 아트 전용이며 축소하면 계단 현상이 생깁니다.
Harder Brush	더 단단한 브러시
Height	높이
Height to 110%	높이를 110%로
Height to 125%	높이를 125%로
Height to 80%	높이를 80%로
Height to 90%	높이를 90%로
Help	도움말
Hide All	모두 숨기기
Hide Layers	레이어 숨기기
Hide Selection	선택 영역 숨기기
Hide the source layer	소스 레이어 숨기기
High Contrast	고대비
High Pass…	하이 패스…
Highlights	밝은 영역
Histogram	히스토그램
Histories	작업 내역
History	작업 내역
Hold	고정
Horizontal Centers	가로 중앙
Horizontal Distortion	가로 왜곡
Horizontal center guide	가로 중앙 안내선
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	가로 비율(%): 글리프와 그 간격을 넓히거나 좁힙니다
Horizontally	가로로
Hue	색조
Hue jitter	색조 지터
Hue/Saturation	색조/채도
Hue/Saturation…	색조/채도…
ICC profile	ICC 프로필
ICO…	ICO…
Image	이미지
Image Options	이미지 옵션
Image Rotation	이미지 회전
Image Size	이미지 크기
Image Size…	이미지 크기…
Image size	이미지 크기
Import CSV…	CSV 가져오기…
Import PDF	PDF 가져오기
Import a CSV of data sets first	먼저 데이터 세트 CSV를 가져오세요
Import a CSV: the first row names the variables, every further row is one data set.	CSV 가져오기: 첫 행은 변수 이름이고 이후 각 행이 하나의 데이터 세트입니다.
In use	사용 중
Inches	인치
Indexed Color	인덱스 색상
Indexed Color…	인덱스 색상…
Inflate	부풀리기
Info	정보
Ink	잉크
Ink Color	잉크 색상
Ink printed at 0, 25, 50, 75 and 100% tint	0, 25, 50, 75, 100% 색조로 인쇄한 잉크
Inner Glow	내부 광선
Inner Glow…	내부 광선…
Inner Radius	안쪽 반경
Inner Shadow	내부 그림자
Inner Shadow…	내부 그림자…
Inside	안쪽
Intent	의도
Intersect Shape Areas	모양 영역 교차
Intersect with Selection	선택 영역과 교차
Inverse	반전
Inverse Fourier Transform	역 푸리에 변환
Invert	반전
Invert coverage	적용 범위 반전
Invert has no parameters	반전에는 매개변수가 없습니다
Iris Blur…	조리개 흐림 효과…
Italic	기울임꼴
JPEG carries the XMP and the source's EXIF	JPEG에는 XMP와 소스의 EXIF가 들어갑니다
JPG…	JPG…
Justify	양쪽 정렬
Kaleidoscope…	만화경…
Keep as it was	그대로 두기
Kept when a comp is first applied	컴프를 처음 적용할 때 유지
Kerning	커닝
Keyboard Shortcut Sheet…	키보드 바로 가기 요약…
Keyboard Shortcuts…	키보드 바로 가기…
Keywords	키워드
Kind	종류
Kurtosis	첨도
Lab Color	Lab 색상
Landscape	가로
Language	언어
Large	크게
Last Document State	마지막 문서 상태
Last Filter	마지막 필터
Last line	마지막 줄
Layer	레이어
Layer Comps	레이어 컴프
Layer Edges	레이어 가장자리
Layer Mask	레이어 마스크
Layer Properties	레이어 속성
Layer Style	레이어 스타일
Layer knocks out drop shadow	레이어가 그림자 효과를 녹아웃
Layer via Copy	복사한 레이어
Layer via Cut	잘라낸 레이어
Layers	레이어
Layers panel options	레이어 패널 옵션
Left	왼쪽
Left Edges	왼쪽 가장자리
Left indent	왼쪽 들여쓰기
Length	길이
Lens Blur…	렌즈 흐림 효과…
Lens Correction…	렌즈 교정…
Lens Flare…	렌즈 플레어…
Level	레벨
Levels	레벨
Levels…	레벨…
Light	가늘게
Light Grey	밝은 회색
Lighten	밝게 하기
Lighter Color	밝은 색상
Lighting Effects…	조명 효과…
Lightness	밝기
Line	선
Linear	선형
Linear Burn	선형 번
Linear Dodge (Add)	선형 닷지(추가)
Linear Light	선형 라이트
Link / Unlink Mask	마스크 연결 / 연결 해제
Link Layers	레이어 연결
