# Raster Studio interface strings, ru. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Русский
Checkerboard	Шахматная доска
Choose 2 to 256 colours	Выберите от 2 до 256 цветов
Choose a colour profile	Выберите цветовой профиль
Choose a destination folder	Выберите папку назначения
Choose a source folder	Выберите исходную папку
Choose at least one page to open	Выберите хотя бы одну страницу для открытия
Choose at least one side to trim	Выберите хотя бы одну сторону для обрезки
Choose the Action to play	Выберите операцию для воспроизведения
Choose the open grayscale document each channel of the new RGB document comes from.	Выберите открытый документ в градациях серого, из которого берётся каждый канал нового документа RGB.
Choose the pages to open, their resolution and how they open.	Выберите страницы для открытия, их разрешение и способ открытия.
Choose the source and the destination folders.	Выберите исходную папку и папку назначения.
Choose…	Выбрать…
Clear	Очистить
Clear All	Очистить все
Clear Guides	Удалить направляющие
Clear History	Очистить историю
Clear Layer Style	Очистить стиль слоя
Clear Slices	Удалить фрагменты
Clear Strokes	Очистить штрихи
Clear existing guides	Удалить существующие направляющие
Clear the {noun} from the active text layer	Убрать {noun} с активного текстового слоя
Cleared {n} slice(s)	Удалено фрагментов: {n}
Click an item in the panel first	Сначала щёлкните элемент на панели
Click anywhere to sample a colour	Щёлкните где угодно, чтобы взять образец цвета
Click anywhere to sample a colour, or press Escape.	Щёлкните где угодно, чтобы взять образец цвета, или нажмите Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Щёлкните по графику, чтобы добавить точку; перетащите точку, чтобы изогнуть кривую; утащите её с графика, чтобы удалить
Click the preview to sample a colour from it	Щёлкните по превью, чтобы взять из него образец цвета
Click the preview to sample the colour to replace	Щёлкните по превью, чтобы взять образец заменяемого цвета
Click the ramp to edit its stops.	Щёлкните по шкале, чтобы изменить её контрольные точки.
Clip to layer below	Обтравить по нижнему слою
Clipboard	Буфер обмена
Clipping	Обтравочная маска
Close	Закрыть
Close All	Закрыть все
Close Alpha Channel	Закрыть альфа-канал
Close Others	Закрыть остальные
Close panel	Закрыть панель
Clouds	Облака
Codec	Кодек
Color	Цвет
Color Balance	Цветовой баланс
Color Balance…	Цветовой баланс…
Color Burn	Затемнение основы
Color Dodge	Осветление основы
Color Dynamics	Динамика цвета
Color Halftone…	Цветные полутона…
Color Intensity	Интенсивность цвета
Color Label	Цветовая метка
Color Lookup	Поиск цвета
Color Lookup Tables…	Таблицы поиска цвета…
Color Lookup…	Поиск цвета…
Color Overlay	Наложение цвета
Color Overlay…	Наложение цвета…
Color Picker	Палитра цветов
Color Range	Цветовой диапазон
Color Range…	Цветовой диапазон…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Очистка цветной каймы: приближает цвет краевых пикселей к соседней внутренней краске — отдельная правка, не уточнение маски.
Color to Alpha…	Цвет в альфу…
Colors	Цвета
Colour	Цвет
Colour varies once per stroke.	Цвет меняется раз за штрих.
Colours	Цвета
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Число цветов — от 1 до 64, допуск больше 0, а длина угла не меньше 1
Columns	Столбцы
Columns and rows with gutters between them, inside optional margins, in pixels.	Столбцы и строки с промежутками между ними, внутри необязательных полей, в пикселях.
Combine Shapes	Объединить фигуры
Commit (Enter)	Применить (Enter)
Commit Contents	Применить содержимое
Composite	Совмещённый
Condensed	Узкий
Cone	Конус
Constant	Постоянный
Constrain proportions	Сохранять пропорции
Content-Aware	С учётом содержимого
Content-Aware Scale	Масштаб с учётом содержимого
Contour	Контур
Contract Selection	Сжать выделение
Contract by	Сжать на
Contract…	Сжать…
Contrast	Контрастность
Conversion Options	Параметры преобразования
Convert Formats	Преобразовать форматы
Convert Formats…	Преобразовать форматы…
Convert for Smart Filters	Преобразовать для смарт-фильтров
Convert to Layers	Преобразовать в слои
Convert to Linked…	Преобразовать в связанный…
Convert to Paragraph Text	Преобразовать в абзацный текст
Convert to Point Text	Преобразовать в строчный текст
Convert to Profile	Преобразовать в профиль
Convert to Profile works on 8- and 16-bit documents	Преобразование в профиль работает с 8- и 16-битными документами
Convert to Profile…	Преобразовать в профиль…
Convert to Shape	Преобразовать в фигуру
Convert to Smart Object	Преобразовать в смарт-объект
Converted to {name} ({intent}): the numbers changed so the colours look the same	Преобразовано в {name} ({intent}): значения изменились, чтобы цвета выглядели так же
Cool	Холодный
Copper	Медь
Copy	Копировать
Copy Layer Style	Скопировать стиль слоя
Copy Merged	Скопировать совмещённые данные
Copyright Notice	Уведомление об авторских правах
Corner length	Длина угла
Corner radius	Радиус угла
Corner radius applies to rectangles; this path has no corners to round	Радиус угла применяется к прямоугольникам; у этого контура нет углов для скругления
Corners	Углы
Count jitter	Колебание количества
Create Clipping Mask	Создать обтравочную маску
Create Layer	Создать слой
Create Layers	Создать слои
Crop	Кадрировать
Crop and Straighten Photos	Кадрировать и выпрямить фотографии
Crops the canvas to the content, judged by the basis below.	Обрезает холст по содержимому, по основе ниже.
Crystallize…	Кристаллизация…
Current Layer	Текущий слой
Current Path	Текущий контур
Curve tolerance	Допуск кривой
Curves	Кривые
Curves…	Кривые…
Custom	Заказной
Custom Brush	Заказная кисть
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Заказной: инструментом «Перемещение» перетащите 16 маркеров сетки на холсте
Custom…	Заказной…
Cut	Вырезать
Cyan	Голубой
Cyan / Red	Голубой / Красный
Cyans	Голубые
DDS…	DDS…
DXF…	DXF…
Dark	Тёмная
Dark Blue	Тёмно-синяя
Dark Grey	Тёмно-серая
Darken	Замена тёмным
Darker Color	Темнее
Dash	Штрих
Data Set	Набор данных
Data Sets	Наборы данных
Data Sets…	Наборы данных…
Default	По умолчанию
Default colours  (D)	Цвета по умолчанию  (D)
Default colours (D)	Цвета по умолчанию (D)
Define	Определить
Define Brush Preset…	Определить набор кистей…
Define Custom Shape…	Определить заказную фигуру…
Define New	Определить новый
Define Pattern…	Определить узор…
Define…	Определить…
Delete	Удалить
Delete Filter Mask	Удалить маску фильтра
Delete Layer	Удалить слой
Delete Mask	Удалить маску
Delete Vector Mask	Удалить векторную маску
Delete action	Удалить операцию
Delete channel	Удалить канал
Delete frame	Удалить кадр
Delete path	Удалить контур
Delete selected layers	Удалить выбранные слои
Delete set and its actions	Удалить набор и его операции
Delete stop	Удалить точку
Delete the applied comp	Удалить применённую композицию
Delete the selected keyframe	Удалить выбранный ключевой кадр
Delete the selected tool preset	Удалить выбранный набор параметров инструмента
Delete the selected {noun}	Удалить выбранное: {noun}
Delete the smart filter mask	Удалить маску смарт-фильтра
Delete this note	Удалить эту заметку
Delete this smart filter	Удалить этот смарт-фильтр
Delete this spot channel	Удалить этот канал плашечного цвета
Density	Плотность
Dents…	Вмятины…
Desaturate	Обесцветить
Description	Описание
Deselect	Отменить выделение
Deselect Layers	Отменить выделение слоёв
Despeckle	Ретушь
Destination	Назначение
Destination Space	Целевое пространство
Detail	Детали
Detail scales	Масштабы деталей
Diamond	Ромб
Difference	Разница
Difference Clouds	Облака с наложением
Diffuse…	Диффузия…
Diffusion	Диффузия
Diffusion Dither	Диффузный дизеринг
Disable / Enable Filter Mask	Отключить / включить маску фильтра
Disable / Enable Mask	Отключить / включить маску
Disable / Enable Vector Mask	Отключить / включить векторную маску
Disable Mask	Отключить маску
Disable Vector Mask	Отключить векторную маску
Displace…	Смещение…
Dissolve	Затухание
Distance	Расстояние
Distort	Искажение
Distribute	Распределить
Dither	Дизеринг
Dither…	Дизеринг…
Divide	Разделить
Dock this panel here	Закрепить эту панель здесь
Document	Документ
Document Bounds	Границы документа
Document Info	Сведения о документе
Document Title	Заголовок документа
Document size	Размер документа
Double-click to edit in Layer Style; drag to the trash to delete	Дважды щёлкните, чтобы изменить в «Стиле слоя»; перетащите в корзину, чтобы удалить
Double-click to edit this filter's settings	Дважды щёлкните, чтобы изменить параметры этого фильтра
Double-click to rename	Дважды щёлкните, чтобы переименовать
Drag a line with the Ruler first	Сначала проведите линию линейкой
Drag to zoom the view	Перетащите, чтобы масштабировать вид
Drop Shadow	Тень
Drop Shadow…	Тень…
Duotone	Дуплекс
Duotone Options	Параметры дуплекса
Duotone…	Дуплекс…
Duplicate	Дублировать
Duplicate Layer	Дублировать слой
Duplicate Layer…	Дублировать слой…
Duplicate frame	Дублировать кадр
Dust & Scratches…	Пыль и царапины…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	Запись EXIF и XMP не реализована — встраивается только ICC
EXR…	EXR…
Ease In	Плавный вход
Ease Out	Плавный выход
Edge Glow	Свечение краёв
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Уточнение краёв: растушёвка, смещение, сглаживание и контраст поверх имеющегося покрытия маски — без распознавания объекта.
Edges	Края
Edit	Редактирование
Edit Adjustment	Изменить коррекцию
Edit Adjustment…	Изменить коррекцию…
Edit Alpha Channel	Изменить альфа-канал
Edit Contents…	Редактировать содержимое…
Edit Document Records	Изменить записи документа
Edit Fill	Изменить заливку
Edit Filter Mask	Изменить маску фильтра
Edit Generator	Изменить генератор
Edit Group	Изменить группу
Edit Guides	Изменить направляющие
Edit Raster	Изменить растровый слой
Edit Saved Selection	Изменить сохранённое выделение
Edit Shape	Изменить фигуру
Edit Slices	Изменить фрагменты
Edit Smart object	Изменить смарт-объект
Edit Text	Изменить текст
Edit Timeline	Изменить шкалу времени
Edit brush…	Изменить кисть…
Edit fill	Изменить заливку
Edit gradient stops — click to open the editor	Изменить контрольные точки градиента — щёлкните, чтобы открыть редактор
Edit in Quick Mask Mode	Редактировать в режиме быстрой маски
Edit this ramp	Изменить эту шкалу
Effects	Эффекты
Effects apply to the whole layer and undo as one step.	Эффекты применяются ко всему слою и отменяются одним шагом.
Embed EXIF and XMP	Встроить EXIF и XMP
Embed Linked	Встроить связанный
Embed colour profile	Встроить цветовой профиль
Embedded source	Встроенный источник
Emboss…	Тиснение…
Enable / disable the smart filter mask	Включить / отключить маску смарт-фильтра
Enable Mask	Включить маску
Enable Vector Mask	Включить векторную маску
Enable at least one export	Включите хотя бы один экспорт
Enabled	Включено
Enlarge smaller images	Увеличивать меньшие изображения
Enter a colour like #3366CC	Введите цвет, например #3366CC
Entropy	Энтропия
Equalize	Выровнять яркость
Essentials	Основная рабочая среда
Every enabled row is written when you export.	При экспорте записывается каждая включённая строка.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Каждое изображение из исходной папки вписывается в рамку и записывается в папку назначения в своём формате.
Every parameter is at its neutral value — there is nothing to clean	Все параметры на нейтральном значении — очищать нечего
Every parameter is at its neutral value — there is nothing to refine	Все параметры на нейтральном значении — уточнять нечего
Every variable needs a name	Каждой переменной нужно имя
Exact	Точно
Exclude Overlapping Shapes	Исключить перекрывающиеся фигуры
Exclusion	Исключение
Expand Selection	Расширить выделение
Expand by	Расширить на
Expand the dock	Развернуть док
Expanded	Широкий
Expand…	Расширить…
Export	Экспорт
Export As	Экспортировать как
Export Color Lookup	Экспорт поиска цвета
Export Contents…	Экспортировать содержимое…
Export Diagnostics…	Экспорт диагностики…
Export Layers…	Экспортировать слои…
Export PDF	Экспорт PDF
Export as .ABR…	Экспортировать как .ABR…
Export as .ACO…	Экспортировать как .ACO…
Export as .ASL…	Экспортировать как .ASL…
Export set as .atn	Экспортировать набор как .atn
Export…	Экспорт…
Exposure	Экспозиция
Exposure…	Экспозиция…
Extra Bold	Сверхжирный
Extra Condensed	Сверхузкий
Extra Expanded	Сверхширокий
Extra Light	Сверхсветлый
Extras	Вспомогательные элементы
Extrude…	Экструзия…
Eyedropper	Пипетка
Face	Начертание
Facet	Фасет
Fade	Ослабить
Fade…	Ослабить…
Family	Гарнитура
Feather	Растушёвка
Feather Selection	Растушевать выделение
Feather radius	Радиус растушёвки
Feather…	Растушёвка…
Fibers…	Волокна…
Field Blur…	Размытие поля…
File	Файл
File Info	Сведения о файле
File Info…	Сведения о файле…
File name	Имя файла
Files that fail are listed in batch-errors.txt in the destination.	Файлы с ошибками перечислены в batch-errors.txt в папке назначения.
Fill	Заливка
Fill Filter Mask	Залить маску фильтра
Fill Mask	Залить маску
Fill Screen	Заполнить экран
Fill in File Info, or open a file that has EXIF, to embed metadata	Заполните сведения о файле или откройте файл с EXIF, чтобы встроить метаданные
Fill path with the foreground colour, on a new shape layer	Залить контур основным цветом на новом слое-фигуре
Fill type	Тип заливки
Fills the active selection with the chosen contents.	Заливает активное выделение выбранным содержимым.
Fill…	Выполнить заливку…
Filter	Фильтр
Filter Gallery	Галерея фильтров
Filter Gallery…	Галерея фильтров…
Find Edges	Выделение краёв
First line	Первая строка
Fish	Рыба
Fisheye	Рыбий глаз
Fit on Screen	Показать во весь экран
Fit the whole image in the window	Вписать всё изображение в окно
Fixed height	Фиксированная высота
Flag	Флаг
Flame…	Пламя…
Flat Angled 40	Плоская наклонная 40
Flatten Image	Выполнить сведение
Flip Canvas Horizontal	Отразить холст по горизонтали
Flip Canvas Vertical	Отразить холст по вертикали
Flip Horizontal	Отразить по горизонтали
Flip Vertical	Отразить по вертикали
Flip View Horizontal	Отразить вид по горизонтали
Flip View Vertical	Отразить вид по вертикали
Flow jitter	Колебание нажима
Folders	Папки
Font: 	Шрифт: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Штрихи основного цвета отмечают, что оставить, штрихи фона — что убрать; превью показывает вырез.
Foreground — double-click for the picker	Основной цвет — дважды щёлкните, чтобы открыть палитру
Foreground/background jitter	Колебание основного/фонового цвета
Format	Формат
Fourier	Фурье
Fourier Transform	Преобразование Фурье
Fragment	Фрагментация
Frame	Рамка
Frames	Кадры
Free Transform	Свободное трансформирование
Free Transform a Copy	Свободно трансформировать копию
From Transparency	Из прозрачности
Fullscreen	Полный экран
Fuzziness	Разброс
GIF…	GIF…
Gamma	Гамма
Gamut Warning	Цвета вне охвата
Gaussian	По Гауссу
Gaussian Blur…	Размытие по Гауссу…
Generate Mockups	Создать макеты
Generate Mockups…	Создать макеты…
Give the brush a name	Дайте кисти имя
Give the export a file name	Дайте экспорту имя файла
Glass Menus	Стеклянные меню
Global light	Глобальное освещение
Glyphs	Глифы
Gradient	Градиент
Gradient Editor	Редактор градиентов
Gradient Map	Карта градиента
Gradient Map…	Карта градиента…
Gradient Overlay	Наложение градиента
Gradient Overlay…	Наложение градиента…
Gradient…	Градиент…
Gray	Серый
Grayscale	Градации серого
Green	Зелёный
Greens	Зелёные
Grid	Сетка
Grid points	Узлы сетки
Group	Группа
Group Layers	Сгруппировать слои
Grow	Смежные пикселы
Guide Guy	Guide Guy
Guides	Направляющие
Gutter	Промежуток
H	H
H.264 (plays everywhere)	H.264 (воспроизводится везде)
HDR Toning	HDR-тонирование
HDR Toning…	HDR-тонирование…
HSB/HSL…	HSB/HSL…
Halftone Screen	Полутоновый узор
Hard Light	Жёсткий свет
Hard Mix	Жёсткое смешение
Hard Round 24	Жёсткая круглая 24
Hard Round 4	Жёсткая круглая 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Жёсткие края, без смешивания. Только для пиксель-арта — при уменьшении появляются ступеньки.
Harder Brush	Более жёсткая кисть
Height	Высота
Height to 110%	Высота до 110%
Height to 125%	Высота до 125%
Height to 80%	Высота до 80%
Height to 90%	Высота до 90%
Help	Справка
Hide All	Скрыть все
Hide Layers	Скрыть слои
Hide Selection	Скрыть выделение
Hide the source layer	Скрыть исходный слой
High Contrast	Высокий контраст
High Pass…	Цветовой контраст…
Highlights	Света
Histogram	Гистограмма
Histories	Истории
History	История
Hold	Удержание
Horizontal Centers	Центры по горизонтали
Horizontal Distortion	Искажение по горизонтали
Horizontal center guide	Горизонтальная центральная направляющая
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Масштаб по горизонтали в процентах: расширяет или сужает глифы и интервалы между ними
Horizontally	По горизонтали
Hue	Цветовой тон
Hue jitter	Колебание цветового тона
Hue/Saturation	Цветовой тон/Насыщенность
Hue/Saturation…	Цветовой тон/Насыщенность…
ICC profile	Профиль ICC
ICO…	ICO…
Image	Изображение
Image Options	Параметры изображения
Image Rotation	Вращение изображения
Image Size	Размер изображения
Image Size…	Размер изображения…
Image size	Размер изображения
Import CSV…	Импорт CSV…
Import PDF	Импорт PDF
Import a CSV of data sets first	Сначала импортируйте CSV с наборами данных
Import a CSV: the first row names the variables, every further row is one data set.	Импортируйте CSV: первая строка называет переменные, каждая следующая строка — один набор данных.
In use	Используется
Inches	Дюймы
Indexed Color	Индексированные цвета
Indexed Color…	Индексированные цвета…
Inflate	Раздувание
Info	Инфо
Ink	Краска
Ink Color	Цвет краски
Ink printed at 0, 25, 50, 75 and 100% tint	Краска, напечатанная с оттенком 0, 25, 50, 75 и 100%
Inner Glow	Внутреннее свечение
Inner Glow…	Внутреннее свечение…
Inner Radius	Внутренний радиус
Inner Shadow	Внутренняя тень
Inner Shadow…	Внутренняя тень…
Inside	Внутри
Intent	Метод рендеринга
Intersect Shape Areas	Пересечь области фигур
Intersect with Selection	Пересечь с выделенной областью
Inverse	Инверсия
Inverse Fourier Transform	Обратное преобразование Фурье
Invert	Инвертировать
Invert coverage	Инвертировать покрытие
Invert has no parameters	У инверсии нет параметров
Iris Blur…	Размытие диафрагмы…
Italic	Курсив
JPEG carries the XMP and the source's EXIF	JPEG содержит XMP и EXIF источника
JPG…	JPG…
Justify	По ширине
Kaleidoscope…	Калейдоскоп…
Keep as it was	Оставить как было
Kept when a comp is first applied	Сохраняется при первом применении композиции
Kerning	Кернинг
Keyboard Shortcut Sheet…	Шпаргалка по сочетаниям клавиш…
Keyboard Shortcuts…	Сочетания клавиш…
Keywords	Ключевые слова
Kind	Тип
Kurtosis	Эксцесс
Lab Color	Цвет Lab
Landscape	Альбомная
Language	Язык
Large	Крупный
Last Document State	Последнее состояние документа
Last Filter	Последний фильтр
Last line	Последняя строка
Layer	Слои
Layer Comps	Композиции слоёв
Layer Edges	Края слоя
Layer Mask	Слой-маска
Layer Style	Стиль слоя
Layer knocks out drop shadow	Слой выбивает тень
Layer via Copy	Скопировать на новый слой
Layer via Cut	Вырезать на новый слой
Layers	Слои
Layers panel options	Параметры панели «Слои»
Left	Влево
Left Edges	Левые края
Left indent	Отступ слева
Length	Длина
Lens Blur…	Размытие при малой глубине резкости…
Lens Correction…	Коррекция дисторсии…
Lens Flare…	Блик…
Level	Уровень
Levels	Уровни
Levels…	Уровни…
Light	Светлый
Light Grey	Светло-серая
Lighten	Замена светлым
Lighter Color	Светлее
Lighting Effects…	Эффекты освещения…
Lightness	Светлота
Line	Линия
Linear	Линейный
Linear Burn	Линейный затемнитель
Linear Dodge (Add)	Линейный осветлитель (добавить)
Linear Light	Линейный свет
Link / Unlink Mask	Связать / отвязать маску
Link Layers	Связать слои
Link selected layers	Связать выбранные слои
Link with layer	Связать со слоем
Linked	Связано
Linked file	Связанный файл
Liquify…	Пластика…
