# Raster Studio interface strings, pl. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Polski
Assigned {name}: the pixel numbers are unchanged, so the colours look different	Przypisano {name}: wartości pikseli się nie zmieniły, więc kolory wyglądają inaczej
Author	Autor
Auto Color	Autokolor
Auto Contrast	Autokontrast
Auto Tone	Autotonacja
Auto leading	Automatyczna interlinia
Auto-Align Layers…	Automatycznie wyrównaj warstwy…
Auto-Blend Layers…	Automatycznie mieszaj warstwy…
Automate	Automatyzuj
Autosaves of never-saved documents go here; empty uses the default	Tu trafiają automatyczne zapisy nigdy niezapisanych dokumentów; puste oznacza domyślne miejsce
Average	Średnia
BMP…	BMP…
Back to the colour this opened on	Powrót do koloru z chwili otwarcia
Background — double-click for the picker	Tło — kliknij dwukrotnie, aby wybrać kolor
Based On	Na podstawie
Baseline shift	Przesunięcie linii bazowej
Baseline to baseline. Auto leading follows the type size.	Od linii bazowej do linii bazowej. Automatyczna interlinia podąża za rozmiarem tekstu.
Batch	Wsad
Batch…	Wsad…
Bend	Wygięcie
Bevel	Faza
Bevel & Emboss	Faza i płaskorzeźba
Bevel & Emboss…	Faza i płaskorzeźba…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Powiąż zmienną zastępowania tekstu z warstwą tekstową lub zmienną widoczności z dowolną warstwą.
Bitmap	Bitmapa
Bitmap…	Bitmapa…
Black	Czarny
Black & White	Czarno-białe
Black & White…	Czarno-białe…
Black to Transparent	Od czerni do przezroczystości
Black to White	Od czerni do bieli
Black to white through the inks	Od czerni do bieli przez farby
Blacks	Czernie
Blend If	Mieszaj, jeśli
Blend Mode: Color	Tryb mieszania: Kolor
Blend Mode: Color Burn	Tryb mieszania: Ściemnianie
Blend Mode: Color Dodge	Tryb mieszania: Rozjaśnianie
Blend Mode: Darken	Tryb mieszania: Ciemniej
Blend Mode: Difference	Tryb mieszania: Różnica
Blend Mode: Dissolve	Tryb mieszania: Rozpuszczanie
Blend Mode: Exclusion	Tryb mieszania: Wykluczenie
Blend Mode: Hard Light	Tryb mieszania: Ostre światło
Blend Mode: Hard Mix	Tryb mieszania: Mieszanie twarde
Blend Mode: Hue	Tryb mieszania: Barwa
Blend Mode: Lighten	Tryb mieszania: Jaśniej
Blend Mode: Linear Burn	Tryb mieszania: Liniowe ściemnianie
Blend Mode: Linear Dodge (Add)	Tryb mieszania: Liniowe rozjaśnianie (dodaj)
Blend Mode: Linear Light	Tryb mieszania: Światło liniowe
Blend Mode: Luminosity	Tryb mieszania: Jasność
Blend Mode: Multiply	Tryb mieszania: Mnożenie
Blend Mode: Normal	Tryb mieszania: Zwykły
Blend Mode: Overlay	Tryb mieszania: Nakładka
Blend Mode: Pin Light	Tryb mieszania: Światło punktowe
Blend Mode: Saturation	Tryb mieszania: Nasycenie
Blend Mode: Screen	Tryb mieszania: Mnożenie odwrotności
Blend Mode: Soft Light	Tryb mieszania: Łagodne światło
Blend Mode: Vivid Light	Tryb mieszania: Jaskrawe światło
Blending	Mieszanie
Blending Options	Opcje mieszania
Blending Options…	Opcje mieszania…
Blending options	Opcje mieszania
Blends a source document, layer or channel into the active layer as one step.	Miesza dokument, warstwę lub kanał źródłowy z aktywną warstwą w jednym kroku.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Miesza po jednym kanale z dwóch źródeł w nowy kanał, zaznaczenie lub nowy dokument.
Blue	Niebieski
Blues	Niebieskie
Blur	Rozmycie
Blur Gallery	Galeria rozmyć
Blur More	Rozmyj bardziej
Bold	Pogrubiona
Border Selection	Zaznaczenie obramowania
Border…	Obramowanie…
Both axes	Obie osie
Bottom	Dół
Bottom Edges	Dolne krawędzie
Bottom Left	Lewy dolny
Bottom Right	Prawy dolny
Bottom Right Pixel Color	Kolor prawego dolnego piksela
Bottom left	Lewy dolny
Bottom right	Prawy dolny
Box Blur…	Rozmycie ramkowe…
Box height	Wysokość ramki
Brightness	Jasność
Brightness jitter	Rozrzut jasności
Brightness/Contrast	Jasność/Kontrast
Brightness/Contrast…	Jasność/Kontrast…
Bring Forward	Przesuń do przodu
Bring to Front	Przesuń na wierzch
Brush Editor	Edytor pędzli
Brush: Background	Pędzel: tło
Brush: Foreground	Pędzel: pierwszy plan
Brushes	Pędzle
Bulge	Wybrzuszenie
Butt	Prosty
CMYK Color	Kolor CMYK
Calculations	Obliczenia
Calculations…	Obliczenia…
Camera Raw…	Camera Raw…
Canvas Size	Rozmiar płótna
Canvas Size…	Rozmiar płótna…
Canvas extension	Rozszerzenie płótna
Caps	Wielkie litery
Carries the XMP; the source's EXIF goes into JPEG only	Zawiera XMP; EXIF źródła trafia tylko do JPEG
Cell size (pixels)	Rozmiar komórki (piksele)
Center	Środek
Center horizontally on the canvas	Wyśrodkuj w poziomie na płótnie
Center vertically on the canvas	Wyśrodkuj w pionie na płótnie
Centimeters	Centymetry
Centre	Środek
Centre the view on this note	Wyśrodkuj widok na tej notatce
Change Bit Depth	Zmień głębię bitową
Change Colour Mode	Zmień tryb koloru
Change Layer Properties	Zmień właściwości warstwy
Change how many pixels the document has, or how large it prints.	Zmień liczbę pikseli dokumentu lub jego rozmiar na wydruku.
Channel	Kanał
Channel Mixer	Mieszanie kanałów
Channel Mixer…	Mieszanie kanałów…
Channel thumbnail	Miniatura kanału
Channels	Kanały
Character	Znak
Character Style	Styl znakowy
Character Styles	Style znakowe
Checkerboard	Szachownica
Choose 2 to 256 colours	Wybierz od 2 do 256 kolorów
Choose a colour profile	Wybierz profil koloru
Choose a destination folder	Wybierz folder docelowy
Choose a source folder	Wybierz folder źródłowy
Choose at least one page to open	Wybierz co najmniej jedną stronę do otwarcia
Choose at least one side to trim	Wybierz co najmniej jedną stronę do przycięcia
Choose the Action to play	Wybierz operację do odtworzenia
Choose the open grayscale document each channel of the new RGB document comes from.	Wybierz otwarty dokument w skali szarości, z którego pochodzi każdy kanał nowego dokumentu RGB.
Choose the pages to open, their resolution and how they open.	Wybierz strony do otwarcia, ich rozdzielczość i sposób otwarcia.
Choose the source and the destination folders.	Wybierz foldery źródłowy i docelowy.
Choose…	Wybierz…
Clear	Wyczyść
Clear All	Wyczyść wszystko
Clear Guides	Usuń linie pomocnicze
Clear History	Wyczyść historię
Clear Layer Style	Wyczyść styl warstwy
Clear Slices	Usuń plasterki
Clear Strokes	Usuń pociągnięcia
Clear existing guides	Usuń istniejące linie pomocnicze
Clear the {noun} from the active text layer	Usuń {noun} z aktywnej warstwy tekstowej
Cleared {n} slice(s)	Usunięto plasterki: {n}
Click an item in the panel first	Najpierw kliknij element w panelu
Click anywhere to sample a colour	Kliknij gdziekolwiek, aby pobrać kolor
Click anywhere to sample a colour, or press Escape.	Kliknij gdziekolwiek, aby pobrać kolor, lub naciśnij Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Kliknij wykres, aby dodać punkt; przeciągnij punkt, aby wygiąć krzywą; wyciągnij go poza wykres, aby go usunąć
Click the preview to sample a colour from it	Kliknij podgląd, aby pobrać z niego kolor
Click the preview to sample the colour to replace	Kliknij podgląd, aby pobrać kolor do zastąpienia
Click the ramp to edit its stops.	Kliknij pasek gradientu, aby edytować jego punkty.
Clip to layer below	Przytnij do warstwy poniżej
Clipboard	Schowek
Clipping	Przycinanie
Close	Zamknij
Close All	Zamknij wszystko
Close Alpha Channel	Zamknij kanał alfa
Close Others	Zamknij pozostałe
Close panel	Zamknij panel
Clouds	Chmury
Codec	Kodek
Color	Kolor
Color Balance	Balans kolorów
Color Balance…	Balans kolorów…
Color Burn	Ściemnianie
Color Dodge	Rozjaśnianie
Color Dynamics	Dynamika koloru
Color Halftone…	Kolorowe półtony…
Color Intensity	Intensywność koloru
Color Label	Etykieta koloru
Color Lookup	Wyszukiwanie koloru
Color Lookup Tables…	Tablice wyszukiwania kolorów…
Color Lookup…	Wyszukiwanie koloru…
Color Overlay	Nakładka koloru
Color Overlay…	Nakładka koloru…
Color Picker	Próbnik kolorów
Color Range	Zakres koloru
Color Range…	Zakres koloru…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Usuwanie obwódek koloru: przybliża kolor pikseli brzegowych do pobliskiej farby wewnętrznej — osobna edycja, niezależna od dopracowania maski.
Color to Alpha…	Kolor do alfy…
Colors	Kolory
Colour	Kolor
Colour varies once per stroke.	Kolor zmienia się raz na pociągnięcie.
Colours	Kolory
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Kolorów musi być od 1 do 64, tolerancja powyżej 0, a długość narożnika co najmniej 1
Columns	Kolumny
Columns and rows with gutters between them, inside optional margins, in pixels.	Kolumny i wiersze z odstępami między nimi, w opcjonalnych marginesach, w pikselach.
Combine Shapes	Połącz kształty
Commit (Enter)	Zatwierdź (Enter)
Commit Contents	Zatwierdź zawartość
Composite	Kompozyt
Condensed	Zwężony
Cone	Stożek
Constant	Stała
Constrain proportions	Zachowaj proporcje
Content-Aware	Uwzględnianie zawartości
Content-Aware Scale	Skalowanie z uwzględnieniem zawartości
Contour	Kontur
Contract Selection	Zawęź zaznaczenie
Contract by	Zawęź o
Contract…	Zawęź…
Contrast	Kontrast
Conversion Options	Opcje konwersji
Convert Formats	Konwertuj formaty
Convert Formats…	Konwertuj formaty…
Convert for Smart Filters	Konwertuj dla filtrów inteligentnych
Convert to Layers	Konwertuj na warstwy
Convert to Linked…	Konwertuj na połączony…
Convert to Paragraph Text	Konwertuj na tekst akapitowy
Convert to Point Text	Konwertuj na tekst punktowy
Convert to Profile	Konwertuj na profil
Convert to Profile works on 8- and 16-bit documents	Konwertuj na profil działa w dokumentach 8- i 16-bitowych
Convert to Profile…	Konwertuj na profil…
Convert to Shape	Konwertuj na kształt
Convert to Smart Object	Konwertuj na obiekt inteligentny
Converted to {name} ({intent}): the numbers changed so the colours look the same	Przekonwertowano na {name} ({intent}): wartości się zmieniły, aby kolory wyglądały tak samo
Cool	Zimny
Copper	Miedź
Copy	Kopiuj
Copy Layer Style	Kopiuj styl warstwy
Copy Merged	Kopiuj scalone
Copyright Notice	Informacja o prawach autorskich
Corner length	Długość narożnika
Corner radius	Promień narożnika
Corner radius applies to rectangles; this path has no corners to round	Promień narożnika dotyczy prostokątów; ta ścieżka nie ma narożników do zaokrąglenia
Corners	Narożniki
Count jitter	Rozrzut liczby
Create Clipping Mask	Utwórz maskę przycinającą
Create Layer	Utwórz warstwę
Create Layers	Utwórz warstwy
Crop	Kadruj
Crop and Straighten Photos	Kadruj i prostuj zdjęcia
Crops the canvas to the content, judged by the basis below.	Przycina płótno do zawartości według podstawy poniżej.
Crystallize…	Krystalizuj…
Current Layer	Bieżąca warstwa
Current Path	Bieżąca ścieżka
Curve tolerance	Tolerancja krzywej
Curves	Krzywe
Curves…	Krzywe…
Custom	Własny
Custom Brush	Własny pędzel
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Własny: narzędziem Przesunięcie przeciągnij 16 uchwytów siatki na płótnie
Custom…	Własne…
Cut	Wytnij
Cyan	Cyjan
Cyan / Red	Cyjan / Czerwony
Cyans	Cyjany
DDS…	DDS…
DXF…	DXF…
Dark	Ciemny
Dark Blue	Ciemnoniebieski
Dark Grey	Ciemnoszary
Darken	Ciemniej
Darker Color	Ciemniejszy kolor
Dash	Kreska
Data Set	Zbiór danych
Data Sets	Zbiory danych
Data Sets…	Zbiory danych…
Default	Domyślny
Default colours  (D)	Kolory domyślne  (D)
Default colours (D)	Kolory domyślne (D)
Define	Zdefiniuj
Define Brush Preset…	Zdefiniuj ustawienie pędzla…
Define Custom Shape…	Zdefiniuj własny kształt…
Define New	Zdefiniuj nowy
Define Pattern…	Zdefiniuj wzorek…
Define…	Zdefiniuj…
Delete	Usuń
Delete Filter Mask	Usuń maskę filtra
Delete Layer	Usuń warstwę
Delete Mask	Usuń maskę
Delete Vector Mask	Usuń maskę wektorową
Delete action	Usuń operację
Delete channel	Usuń kanał
Delete frame	Usuń klatkę
Delete path	Usuń ścieżkę
Delete selected layers	Usuń zaznaczone warstwy
Delete set and its actions	Usuń zestaw i jego operacje
Delete stop	Usuń punkt
Delete the applied comp	Usuń zastosowaną kompozycję
Delete the selected keyframe	Usuń zaznaczoną klatkę kluczową
Delete the selected tool preset	Usuń zaznaczone ustawienie narzędzia
Delete the selected {noun}	Usuń zaznaczony element: {noun}
Delete the smart filter mask	Usuń maskę inteligentnego filtra
Delete this note	Usuń tę notatkę
Delete this smart filter	Usuń ten filtr inteligentny
Delete this spot channel	Usuń ten kanał koloru dodatkowego
Density	Gęstość
Dents…	Wgniecenia…
Desaturate	Usuń nasycenie
Description	Opis
Deselect	Usuń zaznaczenie
Deselect Layers	Usuń zaznaczenie warstw
Despeckle	Usuń kurz
Destination	Miejsce docelowe
Destination Space	Przestrzeń docelowa
Detail	Szczegóły
Detail scales	Skale szczegółów
Diamond	Romb
Difference	Różnica
Difference Clouds	Chmury różnicowe
Diffuse…	Rozproszenie…
Diffusion	Dyfuzja
Diffusion Dither	Dyfuzja (dithering)
Disable / Enable Filter Mask	Wyłącz / włącz maskę filtra
Disable / Enable Mask	Wyłącz / włącz maskę
Disable / Enable Vector Mask	Wyłącz / włącz maskę wektorową
Disable Mask	Wyłącz maskę
Disable Vector Mask	Wyłącz maskę wektorową
Displace…	Przemieszczenie…
Dissolve	Rozpuszczanie
Distance	Odległość
Distort	Zniekształć
Distribute	Rozmieść
Dither	Dithering
Dither…	Dithering…
Divide	Dzielenie
Dock this panel here	Zadokuj ten panel tutaj
Document	Dokument
Document Bounds	Granice dokumentu
Document Info	Informacje o dokumencie
Document Title	Tytuł dokumentu
Document size	Rozmiar dokumentu
Double-click to edit in Layer Style; drag to the trash to delete	Kliknij dwukrotnie, aby edytować w Stylu warstwy; przeciągnij do kosza, aby usunąć
Double-click to edit this filter's settings	Kliknij dwukrotnie, aby edytować ustawienia tego filtra
Double-click to rename	Kliknij dwukrotnie, aby zmienić nazwę
Drag a line with the Ruler first	Najpierw przeciągnij linię narzędziem Miarka
Drag to zoom the view	Przeciągnij, aby powiększyć widok
Drop Shadow	Cień
Drop Shadow…	Cień…
Duotone	Dwutonowy
Duotone Options	Opcje dwutonów
Duotone…	Dwutonowy…
Duplicate	Powiel
Duplicate Layer	Powiel warstwę
Duplicate Layer…	Powiel warstwę…
Duplicate frame	Powiel klatkę
Dust & Scratches…	Kurz i rysy…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	Zapisywanie EXIF i XMP nie jest zaimplementowane — osadzany jest tylko ICC
EXR…	EXR…
Ease In	Łagodne wejście
Ease Out	Łagodne wyjście
Edge Glow	Świecące krawędzie
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Dopracowanie krawędzi: wtapianie, przesunięcie, wygładzenie i kontrast istniejącego pokrycia maski — bez rozpoznawania obiektu.
Edges	Krawędzie
Edit	Edycja
Edit Adjustment	Edytuj dopasowanie
Edit Adjustment…	Edytuj dopasowanie…
Edit Alpha Channel	Edytuj kanał alfa
Edit Contents…	Edytuj zawartość…
Edit Document Records	Edytuj zapisy dokumentu
Edit Fill	Edytuj wypełnienie
Edit Filter Mask	Edytuj maskę filtra
Edit Generator	Edytuj generator
Edit Group	Edytuj grupę
Edit Guides	Edytuj linie pomocnicze
Edit Raster	Edytuj warstwę rastrową
Edit Saved Selection	Edytuj zapisane zaznaczenie
Edit Shape	Edytuj kształt
Edit Slices	Edytuj plasterki
Edit Smart object	Edytuj obiekt inteligentny
Edit Text	Edytuj tekst
Edit Timeline	Edytuj oś czasu
Edit brush…	Edytuj pędzel…
Edit fill	Edytuj wypełnienie
Edit gradient stops — click to open the editor	Edytuj punkty gradientu — kliknij, aby otworzyć edytor
Edit in Quick Mask Mode	Edytuj w trybie szybkiej maski
Edit this ramp	Edytuj ten gradient
Effects	Efekty
Effects apply to the whole layer and undo as one step.	Efekty dotyczą całej warstwy i cofają się w jednym kroku.
Embed EXIF and XMP	Osadź EXIF i XMP
Embed Linked	Osadź połączony
Embed colour profile	Osadź profil koloru
Embedded source	Osadzone źródło
Emboss…	Płaskorzeźba…
Enable / disable the smart filter mask	Włącz / wyłącz maskę inteligentnego filtra
Enable Mask	Włącz maskę
Enable Vector Mask	Włącz maskę wektorową
Enable at least one export	Włącz co najmniej jeden eksport
Enabled	Włączone
Enlarge smaller images	Powiększaj mniejsze obrazy
Enter a colour like #3366CC	Wpisz kolor, np. #3366CC
Entropy	Entropia
Equalize	Wyrównaj
Essentials	Podstawy
Every enabled row is written when you export.	Każdy włączony wiersz jest zapisywany przy eksporcie.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Każdy obraz z folderu źródłowego jest dopasowywany do ramki i zapisywany w folderze docelowym we własnym formacie.
Every parameter is at its neutral value — there is nothing to clean	Wszystkie parametry mają wartość neutralną — nie ma czego czyścić
Every parameter is at its neutral value — there is nothing to refine	Wszystkie parametry mają wartość neutralną — nie ma czego dopracować
Every variable needs a name	Każda zmienna musi mieć nazwę
Exact	Dokładny
Exclude Overlapping Shapes	Wyklucz nakładające się kształty
Exclusion	Wykluczenie
Expand Selection	Rozszerz zaznaczenie
Expand by	Rozszerz o
Expand the dock	Rozwiń dok
Expanded	Rozszerzony
Expand…	Rozszerz…
Export	Eksportuj
Export As	Eksportuj jako
Export Color Lookup	Eksportuj wyszukiwanie koloru
Export Contents…	Eksportuj zawartość…
Export Diagnostics…	Eksportuj diagnostykę…
Export Layers…	Eksportuj warstwy…
Export PDF	Eksportuj PDF
Export as .ABR…	Eksportuj jako .ABR…
Export as .ACO…	Eksportuj jako .ACO…
Export as .ASL…	Eksportuj jako .ASL…
Export set as .atn	Eksportuj zestaw jako .atn
Export…	Eksportuj…
Exposure	Ekspozycja
Exposure…	Ekspozycja…
Extra Bold	Bardzo gruby
Extra Condensed	Bardzo zwężony
Extra Expanded	Bardzo rozszerzony
Extra Light	Bardzo cienki
Extras	Dodatki
Extrude…	Wyciągnięcie…
Eyedropper	Kroplomierz
Face	Krój
Facet	Fasetki
Fade	Zanikanie
Fade…	Zanikanie…
Family	Rodzina
Feather	Wtapianie
Feather Selection	Wtapianie zaznaczenia
Feather radius	Promień wtapiania
Feather…	Wtapianie…
Fibers…	Włókna…
Field Blur…	Rozmycie pola…
File	Plik
File Info	Informacje o pliku
File Info…	Informacje o pliku…
File name	Nazwa pliku
Files that fail are listed in batch-errors.txt in the destination.	Pliki, których nie udało się przetworzyć, są wymienione w batch-errors.txt w miejscu docelowym.
Fill	Wypełnienie
Fill Filter Mask	Wypełnij maskę filtra
Fill Mask	Wypełnij maskę
Fill Screen	Wypełnij ekran
Fill in File Info, or open a file that has EXIF, to embed metadata	Uzupełnij informacje o pliku lub otwórz plik z EXIF, aby osadzić metadane
Fill path with the foreground colour, on a new shape layer	Wypełnij ścieżkę kolorem pierwszego planu na nowej warstwie kształtu
Fill type	Rodzaj wypełnienia
Fills the active selection with the chosen contents.	Wypełnia aktywne zaznaczenie wybraną zawartością.
Fill…	Wypełnij…
Filter	Filtr
Filter Gallery	Galeria filtrów
Filter Gallery…	Galeria filtrów…
Find Edges	Znajdź krawędzie
First line	Pierwszy wiersz
Fish	Ryba
Fisheye	Rybie oko
Fit on Screen	Dopasuj do ekranu
Fit the whole image in the window	Dopasuj cały obraz do okna
Fixed height	Stała wysokość
Flag	Flaga
Flame…	Płomień…
Flat Angled 40	Płaski skośny 40
Flatten Image	Spłaszcz obraz
Flip Canvas Horizontal	Odbij płótno w poziomie
Flip Canvas Vertical	Odbij płótno w pionie
Flip Horizontal	Odbij w poziomie
Flip Vertical	Odbij w pionie
Flip View Horizontal	Odbij widok w poziomie
Flip View Vertical	Odbij widok w pionie
Flow jitter	Rozrzut przepływu
Folders	Foldery
Font: 	Czcionka: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Pociągnięcia pierwszego planu oznaczają to, co zostaje, a tła — to, co odpada; podgląd pokazuje wycięcie.
Foreground — double-click for the picker	Pierwszy plan — kliknij dwukrotnie, aby wybrać kolor
Foreground/background jitter	Rozrzut pierwszego planu/tła
Format	Format
Fourier	Fourier
Fourier Transform	Transformata Fouriera
Fragment	Fragment
Frame	Ramka
Frames	Klatki
Free Transform	Przekształcanie swobodne
Free Transform a Copy	Swobodnie przekształć kopię
From Transparency	Z przezroczystości
Fullscreen	Pełny ekran
Fuzziness	Tolerancja
GIF…	GIF…
Gamma	Gamma
Gamut Warning	Ostrzeżenie o gamucie
Gaussian	Gaussowskie
Gaussian Blur…	Rozmycie gaussowskie…
Generate Mockups	Generuj makiety
Generate Mockups…	Generuj makiety…
Give the brush a name	Nadaj pędzlowi nazwę
Give the export a file name	Nadaj eksportowi nazwę pliku
Glass Menus	Szklane menu
Global light	Globalne światło
Glyphs	Glify
Gradient	Gradient
Gradient Editor	Edytor gradientów
Gradient Map	Mapa gradientu
Gradient Map…	Mapa gradientu…
Gradient Overlay	Nakładka gradientu
Gradient Overlay…	Nakładka gradientu…
Gradient…	Gradient…
Gray	Szary
Grayscale	Skala szarości
Green	Zielony
Greens	Zielone
Grid	Siatka
Grid points	Punkty siatki
Group	Grupa
Group Layers	Grupuj warstwy
Grow	Powiększ
Guide Guy	Guide Guy
Guides	Linie pomocnicze
Gutter	Odstęp
H	H
H.264 (plays everywhere)	H.264 (działa wszędzie)
HDR Toning	Tonowanie HDR
HDR Toning…	Tonowanie HDR…
HSB/HSL…	HSB/HSL…
Halftone Screen	Raster półtonowy
Hard Light	Ostre światło
Hard Mix	Mieszanie twarde
Hard Round 24	Twardy okrągły 24
Hard Round 4	Twardy okrągły 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Ostre krawędzie, bez mieszania. Tylko do pixel artu — przy zmniejszaniu tworzą się schodki.
Harder Brush	Twardszy pędzel
Height	Wysokość
Height to 110%	Wysokość do 110%
Height to 125%	Wysokość do 125%
Height to 80%	Wysokość do 80%
Height to 90%	Wysokość do 90%
Help	Pomoc
Hide All	Ukryj wszystko
Hide Layers	Ukryj warstwy
Hide Selection	Ukryj zaznaczenie
Hide the source layer	Ukryj warstwę źródłową
High Contrast	Wysoki kontrast
High Pass…	Górnoprzepustowy…
Highlights	Światła
Histogram	Histogram
Histories	Historie
History	Historia
Hold	Przytrzymaj
Horizontal Centers	Środki w poziomie
Horizontal Distortion	Zniekształcenie poziome
Horizontal center guide	Pozioma linia środkowa
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Skala pozioma w procentach: poszerza lub zwęża glify i odstępy między nimi
Horizontally	Poziomo
Hue	Barwa
Hue jitter	Rozrzut barwy
Hue/Saturation	Barwa/Nasycenie
Hue/Saturation…	Barwa/Nasycenie…
ICC profile	Profil ICC
ICO…	ICO…
Image	Obraz
Image Options	Opcje obrazu
Image Rotation	Obrót obrazu
Image Size	Rozmiar obrazu
Image Size…	Rozmiar obrazu…
Image size	Rozmiar obrazu
Import CSV…	Importuj CSV…
Import PDF	Importuj PDF
