# Raster Studio interface strings, de. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Deutsch
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Großbuchstaben formt jeden Kleinbuchstaben als Großbuchstaben; Kapitälchen formt ihn als Großbuchstaben in 70 % Größe. Der gespeicherte Text behält die eingegebene Schreibweise.
All Layers	Alle Ebenen
Alpha	Alpha
Already used by	Bereits verwendet von
Alt Tag	Alt-Tag
Amount	Stärke
An export needs at least one output	Ein Export braucht mindestens eine Ausgabe
An image or project from this computer	Ein Bild oder Projekt von diesem Computer
Angle	Winkel
Angle (degrees)	Winkel (Grad)
Angle jitter	Winkel-Jitter
Animation	Animation
Another slice already has this name	Ein anderer Slice hat bereits diesen Namen
Appearance	Erscheinungsbild
Applied	Angewendet
Apply	Anwenden
Apply Guides	Hilfslinien anwenden
Apply Image	Bildberechnungen
Apply Image…	Bildberechnungen…
Apply Mask	Maske anwenden
Apply Style	Stil anwenden
Apply Style 1	Stil 1 anwenden
Apply Style Preset…	Stilvorgabe anwenden…
Apply the next comp	Nächste Komposition anwenden
Apply the previous comp	Vorherige Komposition anwenden
Apply this mask	Diese Maske anwenden
Approximate. The composited result is what the canvas shows.	Näherungswert. Das zusammengesetzte Ergebnis ist das, was die Arbeitsfläche zeigt.
Arbitrary…	Per Eingabe…
Arc	Bogen
Arc Lower	Bogen unten
Arc Upper	Bogen oben
Arch	Torbogen
Arrange	Anordnen
Artboard	Zeichenfläche
Artboard from Layers	Zeichenfläche aus Ebenen
Artboards in one document	Zeichenflächen in einem Dokument
Artboards to Files…	Zeichenflächen in Dateien…
Assign Profile	Profil zuweisen
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} zugewiesen: Die Pixelwerte sind unverändert, daher sehen die Farben anders aus
Author	Autor
Auto Color	Auto-Farbe
Auto Contrast	Auto-Kontrast
Auto Tone	Auto-Farbton
Auto leading	Automatischer Zeilenabstand
Auto-Align Layers…	Ebenen automatisch ausrichten…
Auto-Blend Layers…	Ebenen automatisch überblenden…
Automate	Automatisieren
Autosaves of never-saved documents go here; empty uses the default	Automatische Sicherungen nie gespeicherter Dokumente landen hier; leer nutzt den Standard
Average	Mittelwert
BMP…	BMP…
Back to the colour this opened on	Zurück zur Farbe beim Öffnen
Background — double-click for the picker	Hintergrund – Doppelklick für den Farbwähler
Based On	Basiert auf
Baseline shift	Grundlinienversatz
Baseline to baseline. Auto leading follows the type size.	Grundlinie zu Grundlinie. Automatischer Zeilenabstand folgt der Schriftgröße.
Batch	Stapelverarbeitung
Batch…	Stapelverarbeitung…
Bend	Biegung
Bevel	Abgeflachte Kante
Bevel & Emboss	Abgeflachte Kante und Relief
Bevel & Emboss…	Abgeflachte Kante und Relief…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Eine Textersetzungsvariable an eine Textebene oder eine Sichtbarkeitsvariable an eine beliebige Ebene binden.
Bitmap	Bitmap
Bitmap…	Bitmap…
Black	Schwarz
Black & White	Schwarzweiß
Black & White…	Schwarzweiß…
Black to Transparent	Schwarz zu Transparent
Black to White	Schwarz zu Weiß
Black to white through the inks	Schwarz zu Weiß über die Druckfarben
Blacks	Schwarz
Blend If	Farbbereich
Blend Mode: Color	Mischmodus: Farbe
Blend Mode: Color Burn	Mischmodus: Farbig nachbelichten
Blend Mode: Color Dodge	Mischmodus: Farbig abwedeln
Blend Mode: Darken	Mischmodus: Abdunkeln
Blend Mode: Difference	Mischmodus: Differenz
Blend Mode: Dissolve	Mischmodus: Sprenkeln
Blend Mode: Exclusion	Mischmodus: Ausschluss
Blend Mode: Hard Light	Mischmodus: Hartes Licht
Blend Mode: Hard Mix	Mischmodus: Hart mischen
Blend Mode: Hue	Mischmodus: Farbton
Blend Mode: Lighten	Mischmodus: Aufhellen
Blend Mode: Linear Burn	Mischmodus: Linear nachbelichten
Blend Mode: Linear Dodge (Add)	Mischmodus: Linear abwedeln (Addieren)
Blend Mode: Linear Light	Mischmodus: Lineares Licht
Blend Mode: Luminosity	Mischmodus: Luminanz
Blend Mode: Multiply	Mischmodus: Multiplizieren
Blend Mode: Normal	Mischmodus: Normal
Blend Mode: Overlay	Mischmodus: Ineinanderkopieren
Blend Mode: Pin Light	Mischmodus: Lichtpunkt
Blend Mode: Saturation	Mischmodus: Sättigung
Blend Mode: Screen	Mischmodus: Negativ multiplizieren
Blend Mode: Soft Light	Mischmodus: Weiches Licht
Blend Mode: Vivid Light	Mischmodus: Strahlendes Licht
Blending	Füllmethode
Blending Options	Fülloptionen
Blending Options…	Fülloptionen…
Blending options	Fülloptionen
Blends a source document, layer or channel into the active layer as one step.	Mischt ein Quelldokument, eine Ebene oder einen Kanal in einem Schritt in die aktive Ebene.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Mischt je einen Kanal zweier Quellen zu einem neuen Kanal, einer Auswahl oder einem neuen Dokument.
Blue	Blau
Blues	Blautöne
Blur	Weichzeichnen
Blur Gallery	Weichzeichnergalerie
Blur More	Stärker weichzeichnen
Bold	Fett
Border Selection	Auswahlrand
Border…	Rand…
Both axes	Beide Achsen
Bottom	Unten
Bottom Edges	Unterkanten
Bottom Left	Unten links
Bottom Right	Unten rechts
Bottom Right Pixel Color	Farbe des Pixels unten rechts
Bottom left	Unten links
Bottom right	Unten rechts
Box Blur…	Box-Weichzeichner…
Box height	Rahmenhöhe
Brightness	Helligkeit
Brightness jitter	Helligkeits-Jitter
Brightness/Contrast	Helligkeit/Kontrast
Brightness/Contrast…	Helligkeit/Kontrast…
Bring Forward	Schrittweise nach vorne
Bring to Front	In den Vordergrund
Brush Editor	Pinsel-Editor
Brush: Background	Pinsel: Hintergrund
Brush: Foreground	Pinsel: Vordergrund
Brushes	Pinsel
Bulge	Wölben
Butt	Flach
CMYK Color	CMYK-Farbe
Calculations	Kanalberechnungen
Calculations…	Kanalberechnungen…
Camera Raw…	Camera Raw…
Canvas Size	Arbeitsfläche
Canvas Size…	Arbeitsfläche…
Canvas extension	Erweiterung der Arbeitsfläche
Caps	Großschreibung
Carries the XMP; the source's EXIF goes into JPEG only	Enthält die XMP-Daten; das EXIF der Quelle geht nur in JPEG
Cell size (pixels)	Zellengröße (Pixel)
Center	Mitte
Center horizontally on the canvas	Horizontal auf der Arbeitsfläche zentrieren
Center vertically on the canvas	Vertikal auf der Arbeitsfläche zentrieren
Centimeters	Zentimeter
Centre	Mitte
Centre the view on this note	Ansicht auf diese Notiz zentrieren
Change Bit Depth	Bittiefe ändern
Change Colour Mode	Farbmodus ändern
Change Layer Properties	Ebeneneigenschaften ändern
Change how many pixels the document has, or how large it prints.	Ändern, wie viele Pixel das Dokument hat oder wie groß es gedruckt wird.
Channel	Kanal
Channel Mixer	Kanalmixer
Channel Mixer…	Kanalmixer…
Channel thumbnail	Kanalminiatur
Channels	Kanäle
Character	Zeichen
Character Style	Zeichenformat
Character Styles	Zeichenformate
Checkerboard	Schachbrett
Choose 2 to 256 colours	Wählen Sie 2 bis 256 Farben
Choose a colour profile	Farbprofil wählen
Choose a destination folder	Zielordner wählen
Choose a source folder	Quellordner wählen
Choose at least one page to open	Mindestens eine Seite zum Öffnen wählen
Choose at least one side to trim	Mindestens eine Seite zum Beschneiden wählen
Choose the Action to play	Die abzuspielende Aktion wählen
Choose the open grayscale document each channel of the new RGB document comes from.	Wählen Sie das geöffnete Graustufendokument, aus dem jeder Kanal des neuen RGB-Dokuments stammt.
Choose the pages to open, their resolution and how they open.	Wählen Sie die zu öffnenden Seiten, ihre Auflösung und wie sie geöffnet werden.
Choose the source and the destination folders.	Quell- und Zielordner wählen.
Choose…	Wählen…
Clear	Löschen
Clear All	Alle löschen
Clear Guides	Hilfslinien löschen
Clear History	Protokoll löschen
Clear Layer Style	Ebenenstil löschen
Clear Slices	Slices löschen
Clear Strokes	Konturen löschen
Clear existing guides	Vorhandene Hilfslinien löschen
Clear the {noun} from the active text layer	{noun} aus der aktiven Textebene entfernen
Cleared {n} slice(s)	{n} Slice(s) gelöscht
Click an item in the panel first	Klicken Sie zuerst auf ein Element im Bedienfeld
Click anywhere to sample a colour	Irgendwo klicken, um eine Farbe aufzunehmen
Click anywhere to sample a colour, or press Escape.	Irgendwo klicken, um eine Farbe aufzunehmen, oder Esc drücken.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	In das Diagramm klicken, um einen Punkt hinzuzufügen; einen Punkt ziehen, um die Kurve zu biegen; aus dem Diagramm ziehen, um ihn zu entfernen
Click the preview to sample a colour from it	In die Vorschau klicken, um daraus eine Farbe aufzunehmen
Click the preview to sample the colour to replace	In die Vorschau klicken, um die zu ersetzende Farbe aufzunehmen
Click the ramp to edit its stops.	Auf den Verlauf klicken, um seine Farbunterbrechungen zu bearbeiten.
Clip to layer below	An darunterliegende Ebene anpassen
Clipboard	Zwischenablage
Clipping	Schnittmaske
Close	Schließen
Close All	Alle schließen
Close Alpha Channel	Alphakanal schließen
Close Others	Andere schließen
Close panel	Bedienfeld schließen
Clouds	Wolken
Codec	Codec
Color	Farbe
Color Balance	Farbbalance
Color Balance…	Farbbalance…
Color Burn	Farbig nachbelichten
Color Dodge	Farbig abwedeln
Color Dynamics	Farbeinstellungen
Color Halftone…	Farbraster…
Color Intensity	Farbintensität
Color Label	Farbmarkierung
Color Lookup	Color Lookup
Color Lookup Tables…	Color-Lookup-Tabellen…
Color Lookup…	Color Lookup…
Color Overlay	Farbüberlagerung
Color Overlay…	Farbüberlagerung…
Color Picker	Farbwähler
Color Range	Farbbereich
Color Range…	Farbbereich…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Farbsaum-Bereinigung: Zieht die Farbe der Randpixel zur nahen inneren Farbe hin – eine eigene Bearbeitung, getrennt von der Maskenverfeinerung.
Color to Alpha…	Farbe in Alpha…
Colors	Farben
Colour	Farbe
Colour varies once per stroke.	Die Farbe variiert einmal pro Strich.
Colours	Farben
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Farben müssen 1 bis 64 sein, die Toleranz über 0 und die Eckenlänge mindestens 1
Columns	Spalten
Columns and rows with gutters between them, inside optional margins, in pixels.	Spalten und Zeilen mit Abständen dazwischen, innerhalb optionaler Ränder, in Pixeln.
Combine Shapes	Formen kombinieren
Commit (Enter)	Bestätigen (Eingabe)
Commit Contents	Inhalt übernehmen
Composite	Gesamt
Condensed	Schmal
Cone	Kegel
Constant	Konstant
Constrain proportions	Proportionen beibehalten
Content-Aware	Inhaltsbasiert
Content-Aware Scale	Inhaltsbasiert skalieren
Contour	Kontur
Contract Selection	Auswahl verkleinern
Contract by	Verkleinern um
Contract…	Verkleinern…
Contrast	Kontrast
Conversion Options	Konvertierungsoptionen
Convert Formats	Formate konvertieren
Convert Formats…	Formate konvertieren…
Convert for Smart Filters	Für Smartfilter konvertieren
Convert to Layers	In Ebenen umwandeln
Convert to Linked…	In verknüpftes Objekt umwandeln…
Convert to Paragraph Text	In Absatztext umwandeln
Convert to Point Text	In Punkttext umwandeln
Convert to Profile	In Profil umwandeln
Convert to Profile works on 8- and 16-bit documents	In Profil umwandeln funktioniert mit 8- und 16-Bit-Dokumenten
Convert to Profile…	In Profil umwandeln…
Convert to Shape	In Form umwandeln
Convert to Smart Object	In Smartobjekt konvertieren
Converted to {name} ({intent}): the numbers changed so the colours look the same	In {name} umgewandelt ({intent}): Die Werte haben sich geändert, damit die Farben gleich aussehen
Cool	Kühl
Copper	Kupfer
Copy	Kopieren
Copy Layer Style	Ebenenstil kopieren
Copy Merged	Auf eine Ebene reduziert kopieren
Copyright Notice	Copyright-Hinweis
Corner length	Eckenlänge
Corner radius	Eckenradius
Corner radius applies to rectangles; this path has no corners to round	Der Eckenradius gilt für Rechtecke; dieser Pfad hat keine Ecken zum Abrunden
Corners	Ecken
Count jitter	Anzahl-Jitter
Create Clipping Mask	Schnittmaske erstellen
Create Layer	Ebene erstellen
Create Layers	Ebenen erstellen
Crop	Freistellen
Crop and Straighten Photos	Fotos freistellen und gerade ausrichten
Crops the canvas to the content, judged by the basis below.	Beschneidet die Arbeitsfläche auf den Inhalt, nach der Grundlage unten beurteilt.
Crystallize…	Kristallisieren…
Current Layer	Aktuelle Ebene
Current Path	Aktueller Pfad
Curve tolerance	Kurventoleranz
Curves	Gradationskurven
Curves…	Gradationskurven…
Custom	Eigene
Custom Brush	Eigener Pinsel
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Eigene: Mit dem Verschieben-Werkzeug die 16 Gittergriffe auf der Arbeitsfläche ziehen
Custom…	Eigene…
Cut	Ausschneiden
Cyan	Cyan
Cyan / Red	Cyan / Rot
Cyans	Cyantöne
DDS…	DDS…
DXF…	DXF…
Dark	Dunkel
Dark Blue	Dunkelblau
Dark Grey	Dunkelgrau
Darken	Abdunkeln
Darker Color	Dunklere Farbe
Dash	Strichlinie
Data Set	Datensatz
Data Sets	Datensätze
Data Sets…	Datensätze…
Default	Standard
Default colours  (D)	Standardfarben  (D)
Default colours (D)	Standardfarben (D)
Define	Festlegen
Define Brush Preset…	Pinselvorgabe festlegen…
Define Custom Shape…	Eigene Form festlegen…
Define New	Neu festlegen
Define Pattern…	Muster festlegen…
Define…	Festlegen…
Delete	Löschen
Delete Filter Mask	Filtermaske löschen
Delete Layer	Ebene löschen
Delete Mask	Maske löschen
Delete Vector Mask	Vektormaske löschen
Delete action	Aktion löschen
Delete channel	Kanal löschen
Delete frame	Frame löschen
Delete path	Pfad löschen
Delete selected layers	Ausgewählte Ebenen löschen
Delete set and its actions	Satz und seine Aktionen löschen
Delete stop	Unterbrechung löschen
Delete the applied comp	Angewendete Komposition löschen
Delete the selected keyframe	Ausgewählten Keyframe löschen
Delete the selected tool preset	Ausgewählte Werkzeugvorgabe löschen
Delete the selected {noun}	Ausgewählte(n) {noun} löschen
Delete the smart filter mask	Smartfilter-Maske löschen
Delete this note	Diese Notiz löschen
Delete this smart filter	Diesen Smartfilter löschen
Delete this spot channel	Diesen Volltonfarbkanal löschen
Density	Dichte
Dents…	Dellen…
Desaturate	Sättigung verringern
Description	Beschreibung
Deselect	Auswahl aufheben
Deselect Layers	Ebenenauswahl aufheben
Despeckle	Rauschen entfernen
Destination	Ziel
Destination Space	Zielfarbraum
Detail	Detail
Detail scales	Detailstufen
Diamond	Raute
Difference	Differenz
Difference Clouds	Differenz-Wolken
Diffuse…	Streuen…
Diffusion	Diffusion
Diffusion Dither	Diffusion-Dither
Disable / Enable Filter Mask	Filtermaske deaktivieren / aktivieren
Disable / Enable Mask	Maske deaktivieren / aktivieren
Disable / Enable Vector Mask	Vektormaske deaktivieren / aktivieren
Disable Mask	Maske deaktivieren
Disable Vector Mask	Vektormaske deaktivieren
Displace…	Versetzen…
Dissolve	Sprenkeln
Distance	Abstand
Distort	Verzerren
Distribute	Verteilen
Dither	Dither
Dither…	Dither…
Divide	Dividieren
Dock this panel here	Dieses Bedienfeld hier andocken
Document	Dokument
Document Bounds	Dokumentgrenzen
Document Info	Dokumentinformationen
Document Title	Dokumenttitel
Document size	Dokumentgröße
Double-click to edit in Layer Style; drag to the trash to delete	Doppelklick zum Bearbeiten im Ebenenstil; zum Löschen in den Papierkorb ziehen
Double-click to edit this filter's settings	Doppelklick, um die Einstellungen dieses Filters zu bearbeiten
Double-click to rename	Doppelklick zum Umbenennen
Drag a line with the Ruler first	Ziehen Sie zuerst eine Linie mit dem Linealwerkzeug
Drag to zoom the view	Ziehen, um die Ansicht zu zoomen
Drop Shadow	Schlagschatten
Drop Shadow…	Schlagschatten…
Duotone	Duplex
Duotone Options	Duplex-Optionen
Duotone…	Duplex…
Duplicate	Duplizieren
Duplicate Layer	Ebene duplizieren
Duplicate Layer…	Ebene duplizieren…
Duplicate frame	Frame duplizieren
Dust & Scratches…	Staub und Kratzer…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	Das Schreiben von EXIF und XMP ist nicht implementiert – nur ICC wird eingebettet
EXR…	EXR…
Ease In	Langsam einblenden
Ease Out	Langsam ausblenden
Edge Glow	Leuchtende Konturen
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Kantenverfeinerung: Weiche Kante, Verschieben, Glätten und Kontrast über die vorhandene Maskendeckung – keine Motiverkennung.
Edges	Kanten
Edit	Bearbeiten
Edit Adjustment	Einstellung bearbeiten
Edit Adjustment…	Einstellung bearbeiten…
Edit Alpha Channel	Alphakanal bearbeiten
Edit Contents…	Inhalt bearbeiten…
Edit Document Records	Dokumentdaten bearbeiten
Edit Fill	Füllung bearbeiten
Edit Filter Mask	Filtermaske bearbeiten
Edit Generator	Generator bearbeiten
Edit Group	Gruppe bearbeiten
Edit Guides	Hilfslinien bearbeiten
Edit Raster	Rasterebene bearbeiten
Edit Saved Selection	Gespeicherte Auswahl bearbeiten
Edit Shape	Form bearbeiten
Edit Slices	Slices bearbeiten
Edit Smart object	Smartobjekt bearbeiten
Edit Text	Text bearbeiten
Edit Timeline	Zeitleiste bearbeiten
Edit brush…	Pinsel bearbeiten…
Edit fill	Füllung bearbeiten
Edit gradient stops — click to open the editor	Verlaufsunterbrechungen bearbeiten – klicken, um den Editor zu öffnen
Edit in Quick Mask Mode	Im Maskierungsmodus bearbeiten
Edit this ramp	Diesen Verlauf bearbeiten
Effects	Effekte
Effects apply to the whole layer and undo as one step.	Effekte gelten für die ganze Ebene und werden in einem Schritt widerrufen.
Embed EXIF and XMP	EXIF und XMP einbetten
Embed Linked	Verknüpftes einbetten
Embed colour profile	Farbprofil einbetten
Embedded source	Eingebettete Quelle
Emboss…	Relief…
Enable / disable the smart filter mask	Smartfilter-Maske aktivieren / deaktivieren
Enable Mask	Maske aktivieren
Enable Vector Mask	Vektormaske aktivieren
Enable at least one export	Mindestens einen Export aktivieren
Enabled	Aktiviert
Enlarge smaller images	Kleinere Bilder vergrößern
Enter a colour like #3366CC	Geben Sie eine Farbe wie #3366CC ein
Entropy	Entropie
Equalize	Tonwertangleichung
Essentials	Grundelemente
Every enabled row is written when you export.	Jede aktivierte Zeile wird beim Exportieren geschrieben.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Jedes Bild im Quellordner wird in den Rahmen eingepasst und in seinem eigenen Format in den Zielordner geschrieben.
Every parameter is at its neutral value — there is nothing to clean	Alle Parameter stehen auf ihrem neutralen Wert – es gibt nichts zu bereinigen
Every parameter is at its neutral value — there is nothing to refine	Alle Parameter stehen auf ihrem neutralen Wert – es gibt nichts zu verfeinern
Every variable needs a name	Jede Variable braucht einen Namen
Exact	Exakt
Exclude Overlapping Shapes	Überlappende Formen ausschließen
Exclusion	Ausschluss
Expand Selection	Auswahl erweitern
Expand by	Erweitern um
Expand the dock	Dock erweitern
Expanded	Breit
Expand…	Erweitern…
Export	Exportieren
Export As	Exportieren als
Export Color Lookup	Color Lookup exportieren
Export Contents…	Inhalt exportieren…
Export Diagnostics…	Diagnose exportieren…
Export Layers…	Ebenen exportieren…
Export PDF	PDF exportieren
Export as .ABR…	Als .ABR exportieren…
Export as .ACO…	Als .ACO exportieren…
Export as .ASL…	Als .ASL exportieren…
Export set as .atn	Satz als .atn exportieren
Export…	Exportieren…
Exposure	Belichtung
Exposure…	Belichtung…
Extra Bold	Extrafett
Extra Condensed	Extraschmal
Extra Expanded	Extrabreit
Extra Light	Extraleicht
Extras	Extras
Extrude…	Extrudieren…
Eyedropper	Pipette
Face	Schnitt
Facet	Facetteneffekt
Fade	Verblassen
Fade…	Verblassen…
Family	Schriftfamilie
Feather	Weiche Kante
Feather Selection	Weiche Auswahlkante
Feather radius	Radius der weichen Kante
Feather…	Weiche Kante…
Fibers…	Fasern…
Field Blur…	Feld-Weichzeichnung…
File	Datei
File Info	Dateiinformationen
File Info…	Dateiinformationen…
File name	Dateiname
Files that fail are listed in batch-errors.txt in the destination.	Fehlgeschlagene Dateien werden im Ziel in batch-errors.txt aufgeführt.
Fill	Füllung
Fill Filter Mask	Filtermaske füllen
Fill Mask	Maske füllen
Fill Screen	Bildschirm füllen
Fill in File Info, or open a file that has EXIF, to embed metadata	Füllen Sie die Dateiinformationen aus oder öffnen Sie eine Datei mit EXIF, um Metadaten einzubetten
Fill path with the foreground colour, on a new shape layer	Pfad mit der Vordergrundfarbe auf einer neuen Formebene füllen
Fill type	Füllart
Fills the active selection with the chosen contents.	Füllt die aktive Auswahl mit dem gewählten Inhalt.
Fill…	Füllen…
Filter	Filter
Filter Gallery	Filtergalerie
Filter Gallery…	Filtergalerie…
Find Edges	Konturen finden
First line	Erste Zeile
Fish	Fisch
Fisheye	Fischauge
Fit on Screen	Ganzes Bild
Fit the whole image in the window	Das ganze Bild in das Fenster einpassen
Fixed height	Feste Höhe
Flag	Flagge
Flame…	Flamme…
Flat Angled 40	Flach abgewinkelt 40
Flatten Image	Auf Hintergrundebene reduzieren
Flip Canvas Horizontal	Arbeitsfläche horizontal spiegeln
Flip Canvas Vertical	Arbeitsfläche vertikal spiegeln
Flip Horizontal	Horizontal spiegeln
Flip Vertical	Vertikal spiegeln
Flip View Horizontal	Ansicht horizontal spiegeln
Flip View Vertical	Ansicht vertikal spiegeln
Flow jitter	Fluss-Jitter
Folders	Ordner
Font: 	Schrift: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Vordergrund-Striche markieren, was bleibt, Hintergrund-Striche, was wegfällt; die Vorschau zeigt den Schnitt.
Foreground — double-click for the picker	Vordergrund – Doppelklick für den Farbwähler
Foreground/background jitter	Vordergrund-/Hintergrund-Jitter
Format	Format
Fourier	Fourier
Fourier Transform	Fourier-Transformation
Fragment	Fragmente
Frame	Rahmen
Frames	Frames
Free Transform	Frei transformieren
Free Transform a Copy	Kopie frei transformieren
From Transparency	Aus Transparenz
Fullscreen	Vollbild
Fuzziness	Toleranz
GIF…	GIF…
Gamma	Gamma
Gamut Warning	Farbumfang-Warnung
Gaussian	Gauß
Gaussian Blur…	Gaußscher Weichzeichner…
Generate Mockups	Mockups erzeugen
Generate Mockups…	Mockups erzeugen…
Give the brush a name	Geben Sie dem Pinsel einen Namen
Give the export a file name	Geben Sie dem Export einen Dateinamen
Glass Menus	Glasmenüs
Global light	Globaler Lichteinfall
Glyphs	Glyphen
Gradient	Verlauf
Gradient Editor	Verlaufseditor
Gradient Map	Verlaufsumsetzung
Gradient Map…	Verlaufsumsetzung…
Gradient Overlay	Verlaufsüberlagerung
Gradient Overlay…	Verlaufsüberlagerung…
Gradient…	Verlauf…
Gray	Grau
Grayscale	Graustufen
Green	Grün
Greens	Grüntöne
Grid	Raster
Grid points	Rasterpunkte
Group	Gruppe
Group Layers	Ebenen gruppieren
Grow	Auswahl vergrößern
Guide Guy	Guide Guy
Guides	Hilfslinien
Gutter	Abstand
H	H
H.264 (plays everywhere)	H.264 (läuft überall)
HDR Toning	HDR-Tonung
HDR Toning…	HDR-Tonung…
HSB/HSL…	HSB/HSL…
Halftone Screen	Rasterungseffekt
Hard Light	Hartes Licht
Hard Mix	Hart mischen
Hard Round 24	Hart rund 24
Hard Round 4	Hart rund 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Harte Kanten, keine Überblendung. Nur für Pixelkunst – beim Verkleinern entstehen Treppenstufen.
Harder Brush	Härterer Pinsel
Height	Höhe
Height to 110%	Höhe auf 110 %
Height to 125%	Höhe auf 125 %
Height to 80%	Höhe auf 80 %
Height to 90%	Höhe auf 90 %
Help	Hilfe
Hide All	Alle ausblenden
Hide Layers	Ebenen ausblenden
Hide Selection	Auswahl ausblenden
Hide the source layer	Quellebene ausblenden
High Contrast	Hoher Kontrast
High Pass…	Hochpass…
Highlights	Lichter
Histogram	Histogramm
Histories	Protokolle
History	Protokoll
Hold	Halten
Horizontal Centers	Horizontale Mitten
Horizontal Distortion	Horizontale Verzerrung
Horizontal center guide	Hilfslinie horizontale Mitte
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Horizontale Skalierung in Prozent: verbreitert oder verschmälert die Glyphen und ihre Abstände
Horizontally	Horizontal
Hue	Farbton
Hue jitter	Farbton-Jitter
Hue/Saturation	Farbton/Sättigung
Hue/Saturation…	Farbton/Sättigung…
ICC profile	ICC-Profil
ICO…	ICO…
Image	Bild
Image Options	Bildoptionen
Image Rotation	Bilddrehung
Image Size	Bildgröße
Image Size…	Bildgröße…
Image size	Bildgröße
Import CSV…	CSV importieren…
