# Raster Studio interface strings, pt-BR. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Português (Brasil)
Blend Mode: Darken	Modo de mesclagem: Escurecer
Blend Mode: Difference	Modo de mesclagem: Diferença
Blend Mode: Dissolve	Modo de mesclagem: Dissolver
Blend Mode: Exclusion	Modo de mesclagem: Exclusão
Blend Mode: Hard Light	Modo de mesclagem: Luz direta
Blend Mode: Hard Mix	Modo de mesclagem: Mistura sólida
Blend Mode: Hue	Modo de mesclagem: Matiz
Blend Mode: Lighten	Modo de mesclagem: Clarear
Blend Mode: Linear Burn	Modo de mesclagem: Superexposição linear
Blend Mode: Linear Dodge (Add)	Modo de mesclagem: Subexposição linear (adicionar)
Blend Mode: Linear Light	Modo de mesclagem: Luz linear
Blend Mode: Luminosity	Modo de mesclagem: Luminosidade
Blend Mode: Multiply	Modo de mesclagem: Multiplicação
Blend Mode: Normal	Modo de mesclagem: Normal
Blend Mode: Overlay	Modo de mesclagem: Sobrepor
Blend Mode: Pin Light	Modo de mesclagem: Luz do pino
Blend Mode: Saturation	Modo de mesclagem: Saturação
Blend Mode: Screen	Modo de mesclagem: Divisão
Blend Mode: Soft Light	Modo de mesclagem: Luz suave
Blend Mode: Vivid Light	Modo de mesclagem: Luz brilhante
Blending	Mesclagem
Blending Options	Opções de mesclagem
Blending Options…	Opções de mesclagem…
Blending options	Opções de mesclagem
Blends a source document, layer or channel into the active layer as one step.	Mescla um documento, camada ou canal de origem na camada ativa em uma única etapa.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Mescla um canal de cada uma de duas origens em um novo canal, uma seleção ou um novo documento.
Blue	Azul
Blues	Azuis
Blur	Desfoque
Blur Gallery	Galeria de desfoque
Blur More	Desfoque maior
Bold	Negrito
Border Selection	Seleção de borda
Border…	Borda…
Both axes	Ambos os eixos
Bottom	Inferior
Bottom Edges	Bordas inferiores
Bottom Left	Inferior esquerdo
Bottom Right	Inferior direito
Bottom Right Pixel Color	Cor do pixel inferior direito
Bottom left	Inferior esquerdo
Bottom right	Inferior direito
Box Blur…	Desfoque de caixa…
Box height	Altura da caixa
Brightness	Brilho
Brightness jitter	Variação de brilho
Brightness/Contrast	Brilho/contraste
Brightness/Contrast…	Brilho/contraste…
Bring Forward	Avançar
Bring to Front	Trazer para a frente
Brush Editor	Editor de pincéis
Brush: Background	Pincel: fundo
Brush: Foreground	Pincel: primeiro plano
Brushes	Pincéis
Bulge	Protuberância
Butt	Extremidade reta
CMYK Color	Cor CMYK
Calculations	Cálculos
Calculations…	Cálculos…
Camera Raw…	Camera Raw…
Canvas Size	Tamanho da tela
Canvas Size…	Tamanho da tela…
Canvas extension	Extensão da tela
Caps	Maiúsculas
Carries the XMP; the source's EXIF goes into JPEG only	Leva o XMP; o EXIF da origem vai só no JPEG
Cell size (pixels)	Tamanho da célula (pixels)
Center	Centro
Center horizontally on the canvas	Centralizar horizontalmente na tela
Center vertically on the canvas	Centralizar verticalmente na tela
Centimeters	Centímetros
Centre	Centro
Centre the view on this note	Centralizar a visualização nesta nota
Change Bit Depth	Alterar profundidade de bits
Change Colour Mode	Alterar modo de cor
Change Layer Properties	Alterar propriedades da camada
Change how many pixels the document has, or how large it prints.	Altere quantos pixels o documento tem ou o tamanho com que é impresso.
Channel	Canal
Channel Mixer	Misturador de canais
Channel Mixer…	Misturador de canais…
Channel thumbnail	Miniatura do canal
Channels	Canais
Character	Caractere
Character Style	Estilo de caractere
Character Styles	Estilos de caractere
Checkerboard	Xadrez
Choose 2 to 256 colours	Escolha de 2 a 256 cores
Choose a colour profile	Escolha um perfil de cor
Choose a destination folder	Escolha uma pasta de destino
Choose a source folder	Escolha uma pasta de origem
Choose at least one page to open	Escolha pelo menos uma página para abrir
Choose at least one side to trim	Escolha pelo menos um lado para aparar
Choose the Action to play	Escolha a ação a executar
Choose the open grayscale document each channel of the new RGB document comes from.	Escolha o documento em tons de cinza aberto de onde vem cada canal do novo documento RGB.
Choose the pages to open, their resolution and how they open.	Escolha as páginas a abrir, sua resolução e como elas abrem.
Choose the source and the destination folders.	Escolha as pastas de origem e de destino.
Choose…	Escolher…
Clear	Limpar
Clear All	Limpar tudo
Clear Guides	Limpar guias
Clear History	Limpar histórico
Clear Layer Style	Limpar estilo de camada
Clear Slices	Limpar fatias
Clear Strokes	Limpar traçados
Clear existing guides	Limpar as guias existentes
Clear the {noun} from the active text layer	Remover {noun} da camada de texto ativa
Cleared {n} slice(s)	{n} fatia(s) limpa(s)
Click an item in the panel first	Clique primeiro em um item do painel
Click anywhere to sample a colour	Clique em qualquer lugar para amostrar uma cor
Click anywhere to sample a colour, or press Escape.	Clique em qualquer lugar para amostrar uma cor ou pressione Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Clique no gráfico para adicionar um ponto, arraste um ponto para curvar a linha e arraste-o para fora do gráfico para removê-lo
Click the preview to sample a colour from it	Clique na visualização para amostrar uma cor dela
Click the preview to sample the colour to replace	Clique na visualização para amostrar a cor a substituir
Click the ramp to edit its stops.	Clique na rampa para editar suas paradas.
Clip to layer below	Recortar na camada abaixo
Clipboard	Área de transferência
Clipping	Recorte
Close	Fechar
Close All	Fechar tudo
Close Alpha Channel	Fechar canal alfa
Close Others	Fechar os outros
Close panel	Fechar painel
Clouds	Nuvens
Codec	Codec
Color	Cor
Color Balance	Equilíbrio de cores
Color Balance…	Equilíbrio de cores…
Color Burn	Superexposição de cores
Color Dodge	Subexposição de cores
Color Dynamics	Dinâmica de cor
Color Halftone…	Meio-tom de cor…
Color Intensity	Intensidade da cor
Color Label	Rótulo de cor
Color Lookup	Pesquisa de cores
Color Lookup Tables…	Tabelas de pesquisa de cores…
Color Lookup…	Pesquisa de cores…
Color Overlay	Sobreposição de cores
Color Overlay…	Sobreposição de cores…
Color Picker	Seletor de cores
Color Range	Intervalo de cores
Color Range…	Intervalo de cores…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Limpeza de franjas de cor: aproxima a cor dos pixels da borda da tinta interna próxima, uma edição separada do refinamento da máscara.
Color to Alpha…	Cor para alfa…
Colors	Cores
Colour	Cor
Colour varies once per stroke.	A cor varia uma vez por traçado.
Colours	Cores
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	As cores devem ser de 1 a 64, a tolerância acima de 0 e o comprimento do canto pelo menos 1
Columns	Colunas
Columns and rows with gutters between them, inside optional margins, in pixels.	Colunas e linhas com medianizes entre elas, dentro de margens opcionais, em pixels.
Combine Shapes	Combinar formas
Commit (Enter)	Confirmar (Enter)
Commit Contents	Confirmar conteúdo
Composite	Composto
Condensed	Condensado
Cone	Cone
Constant	Constante
Constrain proportions	Restringir proporções
Content-Aware	Preenchimento sensível ao conteúdo
Content-Aware Scale	Escala sensível ao conteúdo
Contour	Contorno
Contract Selection	Contrair seleção
Contract by	Contrair em
Contract…	Contrair…
Contrast	Contraste
Conversion Options	Opções de conversão
Convert Formats	Converter formatos
Convert Formats…	Converter formatos…
Convert for Smart Filters	Converter para filtros inteligentes
Convert to Layers	Converter em camadas
Convert to Linked…	Converter em vinculado…
Convert to Paragraph Text	Converter em texto de parágrafo
Convert to Point Text	Converter em texto de ponto
Convert to Profile	Converter em perfil
Convert to Profile works on 8- and 16-bit documents	Converter em perfil funciona em documentos de 8 e 16 bits
Convert to Profile…	Converter em perfil…
Convert to Shape	Converter em forma
Convert to Smart Object	Converter em objeto inteligente
Converted to {name} ({intent}): the numbers changed so the colours look the same	Convertido para {name} ({intent}): os valores mudaram para que as cores pareçam iguais
Cool	Frio
Copper	Cobre
Copy	Copiar
Copy Layer Style	Copiar estilo de camada
Copy Merged	Copiar mesclado
Copyright Notice	Aviso de direitos autorais
Corner length	Comprimento do canto
Corner radius	Raio do canto
Corner radius applies to rectangles; this path has no corners to round	O raio do canto se aplica a retângulos; este demarcador não tem cantos para arredondar
Corners	Cantos
Count jitter	Variação de contagem
Create Clipping Mask	Criar máscara de corte
Create Layer	Criar camada
Create Layers	Criar camadas
Crop	Cortar
Crop and Straighten Photos	Cortar e endireitar fotos
Crops the canvas to the content, judged by the basis below.	Corta a tela para o conteúdo, julgado pela base abaixo.
Crystallize…	Cristalizar…
Current Layer	Camada atual
Current Path	Demarcador atual
Curve tolerance	Tolerância da curva
Curves	Curvas
Curves…	Curvas…
Custom	Personalizado
Custom Brush	Pincel personalizado
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Personalizado: com a ferramenta Mover, arraste as 16 alças da malha na tela
Custom…	Personalizado…
Cut	Recortar
Cyan	Ciano
Cyan / Red	Ciano / Vermelho
Cyans	Cianos
DDS…	DDS…
DXF…	DXF…
Dark	Escuro
Dark Blue	Azul-escuro
Dark Grey	Cinza-escuro
Darken	Escurecer
Darker Color	Cor mais escura
Dash	Traço
Data Set	Conjunto de dados
Data Sets	Conjuntos de dados
Data Sets…	Conjuntos de dados…
Default	Padrão
Default colours  (D)	Cores padrão  (D)
Default colours (D)	Cores padrão (D)
Define	Definir
Define Brush Preset…	Definir predefinição de pincel…
Define Custom Shape…	Definir forma personalizada…
Define New	Definir novo
Define Pattern…	Definir padrão…
Define…	Definir…
Delete	Excluir
Delete Filter Mask	Excluir máscara de filtro
Delete Layer	Excluir camada
Delete Mask	Excluir máscara
Delete Vector Mask	Excluir máscara vetorial
Delete action	Excluir ação
Delete channel	Excluir canal
Delete frame	Excluir quadro
Delete path	Excluir demarcador
Delete selected layers	Excluir as camadas selecionadas
Delete set and its actions	Excluir o conjunto e suas ações
Delete stop	Excluir parada
Delete the applied comp	Excluir a composição aplicada
Delete the selected keyframe	Excluir o quadro-chave selecionado
Delete the selected tool preset	Excluir a predefinição de ferramenta selecionada
Delete the selected {noun}	Excluir {noun} selecionado
Delete the smart filter mask	Excluir a máscara de filtro inteligente
Delete this note	Excluir esta nota
Delete this smart filter	Excluir este filtro inteligente
Delete this spot channel	Excluir este canal de cor especial
Density	Densidade
Dents…	Amassados…
Desaturate	Dessaturar
Description	Descrição
Deselect	Desmarcar
Deselect Layers	Desmarcar camadas
Despeckle	Remover manchas
Destination	Destino
Destination Space	Espaço de destino
Detail	Detalhe
Detail scales	Escalas de detalhe
Diamond	Losango
Difference	Diferença
Difference Clouds	Nuvens por diferença
Diffuse…	Difusão…
Diffusion	Difusão
Diffusion Dither	Pontilhamento por difusão
Disable / Enable Filter Mask	Desativar / ativar máscara de filtro
Disable / Enable Mask	Desativar / ativar máscara
Disable / Enable Vector Mask	Desativar / ativar máscara vetorial
Disable Mask	Desativar máscara
Disable Vector Mask	Desativar máscara vetorial
Displace…	Deslocamento…
Dissolve	Dissolver
Distance	Distância
Distort	Distorcer
Distribute	Distribuir
Dither	Pontilhamento
Dither…	Pontilhamento…
Divide	Dividir
Dock this panel here	Encaixar este painel aqui
Document	Documento
Document Bounds	Limites do documento
Document Info	Informações do documento
Document Title	Título do documento
Document size	Tamanho do documento
Double-click to edit in Layer Style; drag to the trash to delete	Clique duas vezes para editar em Estilo de camada; arraste para a lixeira para excluir
Double-click to edit this filter's settings	Clique duas vezes para editar as configurações deste filtro
Double-click to rename	Clique duas vezes para renomear
Drag a line with the Ruler first	Primeiro trace uma linha com a régua
Drag to zoom the view	Arraste para aplicar zoom à visualização
Drop Shadow	Sombra projetada
Drop Shadow…	Sombra projetada…
Duotone	Duotônico
Duotone Options	Opções de duotônico
Duotone…	Duotônico…
Duplicate	Duplicar
Duplicate Layer	Duplicar camada
Duplicate Layer…	Duplicar camada…
Duplicate frame	Duplicar quadro
Dust & Scratches…	Poeira e arranhões…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	A gravação de EXIF e XMP não está implementada — só o ICC é incorporado
EXR…	EXR…
Ease In	Entrada suave
Ease Out	Saída suave
Edge Glow	Brilho das bordas
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Refinamento de bordas: difusão, deslocamento, suavização e contraste sobre a cobertura existente da máscara — sem reconhecimento de assunto.
Edges	Bordas
Edit	Editar
Edit Adjustment	Editar ajuste
Edit Adjustment…	Editar ajuste…
Edit Alpha Channel	Editar canal alfa
Edit Contents…	Editar conteúdo…
Edit Document Records	Editar registros do documento
Edit Fill	Editar preenchimento
Edit Filter Mask	Editar máscara de filtro
Edit Generator	Editar gerador
Edit Group	Editar grupo
Edit Guides	Editar guias
Edit Raster	Editar camada raster
Edit Saved Selection	Editar seleção salva
Edit Shape	Editar forma
Edit Slices	Editar fatias
Edit Smart object	Editar objeto inteligente
Edit Text	Editar texto
Edit Timeline	Editar linha do tempo
Edit brush…	Editar pincel…
Edit fill	Editar preenchimento
Edit gradient stops — click to open the editor	Editar paradas do gradiente — clique para abrir o editor
Edit in Quick Mask Mode	Editar no modo Máscara rápida
Edit this ramp	Editar esta rampa
Effects	Efeitos
Effects apply to the whole layer and undo as one step.	Os efeitos se aplicam à camada inteira e são desfeitos em uma única etapa.
Embed EXIF and XMP	Incorporar EXIF e XMP
Embed Linked	Incorporar vinculado
Embed colour profile	Incorporar perfil de cor
Embedded source	Origem incorporada
Emboss…	Entalhe…
Enable / disable the smart filter mask	Ativar / desativar a máscara de filtro inteligente
Enable Mask	Ativar máscara
Enable Vector Mask	Ativar máscara vetorial
Enable at least one export	Ative pelo menos uma exportação
Enabled	Ativado
Enlarge smaller images	Ampliar imagens menores
Enter a colour like #3366CC	Digite uma cor como #3366CC
Entropy	Entropia
Equalize	Equalizar
Essentials	Essenciais
Every enabled row is written when you export.	Cada linha ativada é gravada ao exportar.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Cada imagem da pasta de origem é ajustada à caixa e gravada na pasta de destino em seu próprio formato.
Every parameter is at its neutral value — there is nothing to clean	Todos os parâmetros estão no valor neutro — não há nada a limpar
Every parameter is at its neutral value — there is nothing to refine	Todos os parâmetros estão no valor neutro — não há nada a refinar
Every variable needs a name	Cada variável precisa de um nome
Exact	Exato
Exclude Overlapping Shapes	Excluir formas sobrepostas
Exclusion	Exclusão
Expand Selection	Expandir seleção
Expand by	Expandir em
Expand the dock	Expandir o painel encaixado
Expanded	Expandido
Expand…	Expandir…
Export	Exportar
Export As	Exportar como
Export Color Lookup	Exportar pesquisa de cores
Export Contents…	Exportar conteúdo…
Export Diagnostics…	Exportar diagnóstico…
Export Layers…	Exportar camadas…
Export PDF	Exportar PDF
Export as .ABR…	Exportar como .ABR…
Export as .ACO…	Exportar como .ACO…
Export as .ASL…	Exportar como .ASL…
Export set as .atn	Exportar conjunto como .atn
Export…	Exportar…
Exposure	Exposição
Exposure…	Exposição…
Extra Bold	Extranegrito
Extra Condensed	Extracondensado
Extra Expanded	Extraexpandido
Extra Light	Extrafino
Extras	Extras
Extrude…	Extrusão…
Eyedropper	Conta-gotas
Face	Estilo
Facet	Fragmentos
Fade	Transição
Fade…	Transição…
Family	Família
Feather	Difusão
Feather Selection	Difundir seleção
Feather radius	Raio de difusão
Feather…	Difundir…
Fibers…	Fibras…
Field Blur…	Desfoque de campo…
File	Arquivo
File Info	Informações do arquivo
File Info…	Informações do arquivo…
File name	Nome do arquivo
Files that fail are listed in batch-errors.txt in the destination.	Os arquivos que falham são listados em batch-errors.txt no destino.
Fill	Preenchimento
Fill Filter Mask	Preencher máscara de filtro
Fill Layer	Camada de preenchimento
Fill Mask	Preencher máscara
Fill Screen	Preencher a tela
Fill in File Info, or open a file that has EXIF, to embed metadata	Preencha as informações do arquivo ou abra um arquivo com EXIF para incorporar metadados
Fill path with the foreground colour, on a new shape layer	Preencher o demarcador com a cor de primeiro plano, em uma nova camada de forma
Fill type	Tipo de preenchimento
Fills the active selection with the chosen contents.	Preenche a seleção ativa com o conteúdo escolhido.
Fill…	Preencher…
Filter	Filtro
Filter Gallery	Galeria de filtros
Filter Gallery…	Galeria de filtros…
Find Edges	Localizar bordas
First line	Primeira linha
Fish	Peixe
Fisheye	Olho de peixe
Fit The Area	Ajustar à área
Fit on Screen	Ajustar à tela
Fit the whole image in the window	Ajustar a imagem inteira à janela
Fixed height	Altura fixa
Flag	Bandeira
Flame…	Chama…
Flat Angled 40	Plano angulado 40
Flatten Image	Achatar imagem
Flip Canvas Horizontal	Inverter tela na horizontal
Flip Canvas Vertical	Inverter tela na vertical
Flip Horizontal	Inverter na horizontal
Flip Vertical	Inverter na vertical
Flip View Horizontal	Inverter visualização na horizontal
Flip View Vertical	Inverter visualização na vertical
Flow jitter	Variação de fluxo
Folders	Pastas
Font: 	Fonte: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Traçados de primeiro plano marcam o que manter e os de fundo o que descartar; a visualização mostra o recorte.
Foreground — double-click for the picker	Primeiro plano — clique duas vezes para o seletor
Foreground/background jitter	Variação de primeiro plano/fundo
Format	Formato
Fourier	Fourier
Fourier Transform	Transformada de Fourier
Fragment	Fragmento
Frame	Moldura
Frames	Quadros
Free Transform	Transformação livre
Free Transform a Copy	Transformar livremente uma cópia
From Transparency	Da transparência
Fullscreen	Tela cheia
Fuzziness	Tolerância
GIF…	GIF…
Gamma	Gama
Gamut Warning	Aviso de gama
Gaussian	Gaussiano
Gaussian Blur…	Desfoque gaussiano…
Generate Mockups	Gerar mockups
Generate Mockups…	Gerar mockups…
Give the brush a name	Dê um nome ao pincel
Give the export a file name	Dê um nome de arquivo à exportação
Glass Menus	Menus de vidro
Global light	Luz global
Glyphs	Glifos
Gradient	Gradiente
Gradient Editor	Editor de gradiente
Gradient Map	Mapa de gradiente
Gradient Map…	Mapa de gradiente…
Gradient Overlay	Sobreposição de gradiente
Gradient Overlay…	Sobreposição de gradiente…
Gradient…	Gradiente…
Gray	Cinza
Grayscale	Tons de cinza
Green	Verde
Greens	Verdes
Grid	Grade
Grid points	Pontos da grade
Group	Grupo
Group Layers	Agrupar camadas
Grow	Aumentar
Guide Guy	Guide Guy
Guides	Guias
Gutter	Medianiz
H	H
H.264 (plays everywhere)	H.264 (roda em qualquer lugar)
HDR Toning	Tonalização HDR
HDR Toning…	Tonalização HDR…
HSB/HSL…	HSB/HSL…
Halftone Screen	Tela de meios-tons
Hard Light	Luz direta
Hard Mix	Mistura sólida
Hard Round 24	Redondo duro 24
Hard Round 4	Redondo duro 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Bordas duras, sem mesclagem. Só para pixel art — serrilha ao reduzir.
Harder Brush	Pincel mais duro
Height	Altura
Height to 110%	Altura para 110%
Height to 125%	Altura para 125%
Height to 80%	Altura para 80%
Height to 90%	Altura para 90%
Help	Ajuda
Hide All	Ocultar tudo
Hide Layers	Ocultar camadas
Hide Selection	Ocultar seleção
Hide the source layer	Ocultar a camada de origem
High Contrast	Alto contraste
High Pass…	Passa alta…
Highlights	Realces
Histogram	Histograma
Histories	Históricos
History	Histórico
Hold	Manter
Horizontal Centers	Centros horizontais
Horizontal Distortion	Distorção horizontal
Horizontal center guide	Guia central horizontal
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Escala horizontal, em porcentagem: alarga ou estreita os glifos e seu espaçamento
Horizontally	Horizontalmente
Hue	Matiz
Hue jitter	Variação de matiz
Hue/Saturation	Matiz/saturação
Hue/Saturation…	Matiz/saturação…
ICC profile	Perfil ICC
ICO…	ICO…
Image	Imagem
Image Options	Opções de imagem
Image Rotation	Rotação da imagem
Image Size	Tamanho da imagem
Image Size…	Tamanho da imagem…
Image size	Tamanho da imagem
Import CSV…	Importar CSV…
Import PDF	Importar PDF
Import a CSV of data sets first	Importe primeiro um CSV de conjuntos de dados
Import a CSV: the first row names the variables, every further row is one data set.	Importar um CSV: a primeira linha nomeia as variáveis e cada linha seguinte é um conjunto de dados.
In use	Em uso
Inches	Polegadas
Indexed Color	Cores indexadas
Indexed Color…	Cores indexadas…
Inflate	Inflar
Info	Informações
Ink	Tinta
Ink Color	Cor da tinta
Ink printed at 0, 25, 50, 75 and 100% tint	Tinta impressa com 0, 25, 50, 75 e 100% de matiz
Inner Glow	Brilho interno
Inner Glow…	Brilho interno…
Inner Radius	Raio interno
Inner Shadow	Sombra interna
Inner Shadow…	Sombra interna…
Inside	Dentro
Intent	Tipo de conversão
Intersect Shape Areas	Fazer interseção de áreas de forma
Intersect with Selection	Fazer interseção com a seleção
Inverse	Inverter seleção
Inverse Fourier Transform	Transformada inversa de Fourier
Invert	Inverter
Invert coverage	Inverter cobertura
Invert has no parameters	Inverter não tem parâmetros
Iris Blur…	Desfoque de íris…
Italic	Itálico
JPEG carries the XMP and the source's EXIF	O JPEG leva o XMP e o EXIF da origem
JPG…	JPG…
Justify	Justificar
Kaleidoscope…	Caleidoscópio…
Keep as it was	Manter como estava
Kept when a comp is first applied	Mantido quando uma composição é aplicada pela primeira vez
Kerning	Kerning
Keyboard Shortcut Sheet…	Folha de atalhos de teclado…
Keyboard Shortcuts…	Atalhos de teclado…
Keywords	Palavras-chave
Kind	Tipo
Kurtosis	Curtose
Lab Color	Cor Lab
Landscape	Paisagem
Language	Idioma
Large	Grande
Last Document State	Último estado do documento
Last Filter	Último filtro
Last line	Última linha
Layer	Camada
Layer Comps	Composições de camadas
Layer Edges	Bordas da camada
Layer Mask	Máscara de camada
Layer Properties	Propriedades da camada
Layer Style	Estilo de camada
Layer knocks out drop shadow	A camada vaza a sombra projetada
Layer via Copy	Camada por cópia
Layer via Cut	Camada por corte
Layers	Camadas
Layers panel options	Opções do painel Camadas
Left	Esquerda
Left Edges	Bordas esquerdas
Left indent	Recuo à esquerda
Length	Comprimento
Lens Blur…	Desfoque de lente…
Lens Correction…	Correção de lente…
Lens Flare…	Reflexo de lente…
Level	Nível
Levels	Níveis
Levels…	Níveis…
Light	Leve
Light Grey	Cinza-claro
Lighten	Clarear
Lighter Color	Cor mais clara
