# Raster Studio interface strings, es. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Español
Add to Selection	Añadir a la selección
Adds one guide at a document coordinate, in pixels.	Añade una guía en una coordenada del documento, en píxeles.
Adjustment	Ajuste
Adjustments	Ajustes
Advanced	Avanzado
Again	De nuevo
Again with Copy	De nuevo con copia
Aliased (pencil)	Sin suavizar (lápiz)
Align	Alinear
Align the bottom edge to the canvas	Alinear el borde inferior con el lienzo
Align the left edge to the canvas	Alinear el borde izquierdo con el lienzo
Align the right edge to the canvas	Alinear el borde derecho con el lienzo
Align the top edge to the canvas	Alinear el borde superior con el lienzo
Align with layer	Alinear con la capa
All	Todo
All Caps	Todo mayúsculas
All Caps shapes every lowercase letter as its capital; Small Caps shapes it as a capital at 70 % size. The stored text keeps the case you typed.	Todo mayúsculas forma cada minúscula como su mayúscula; Versalitas la forma como mayúscula al 70 % del tamaño. El texto guardado conserva lo que escribió.
All Layers	Todas las capas
Alpha	Alfa
Already used by	Ya lo usa
Alt Tag	Etiqueta Alt
Amount	Cantidad
An export needs at least one output	Una exportación necesita al menos una salida
An image or project from this computer	Una imagen o un proyecto de este equipo
Angle	Ángulo
Angle (degrees)	Ángulo (grados)
Angle jitter	Variación de ángulo
Animation	Animación
Another slice already has this name	Otro sector ya tiene este nombre
Appearance	Apariencia
Applied	Aplicada
Apply	Aplicar
Apply Guides	Aplicar guías
Apply Image	Aplicar imagen
Apply Image…	Aplicar imagen…
Apply Mask	Aplicar máscara
Apply Style	Aplicar estilo
Apply Style 1	Aplicar estilo 1
Apply Style Preset…	Aplicar ajuste preestablecido de estilo…
Apply the next comp	Aplicar la composición siguiente
Apply the previous comp	Aplicar la composición anterior
Apply this mask	Aplicar esta máscara
Approximate. The composited result is what the canvas shows.	Aproximado. El resultado compuesto es lo que muestra el lienzo.
Arbitrary…	Arbitrario…
Arc	Arco
Arc Lower	Arco inferior
Arc Upper	Arco superior
Arch	Arco de medio punto
Arrange	Organizar
Artboard	Mesa de trabajo
Artboard from Layers	Mesa de trabajo desde capas
Artboards in one document	Mesas de trabajo en un documento
Artboards to Files…	Mesas de trabajo en archivos…
Assign Profile	Asignar perfil
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} asignado: los valores de los píxeles no cambian, así que los colores se ven distintos
Author	Autor
Auto Color	Color automático
Auto Contrast	Contraste automático
Auto Tone	Tono automático
Auto leading	Interlineado automático
Auto-Align Layers…	Alinear capas automáticamente…
Auto-Blend Layers…	Fusionar capas automáticamente…
Automate	Automatizar
Autosaves of never-saved documents go here; empty uses the default	Aquí van los guardados automáticos de documentos nunca guardados; vacío usa la ubicación predeterminada
Average	Promedio
BMP…	BMP…
Back to the colour this opened on	Volver al color con el que se abrió
Background — double-click for the picker	Fondo: doble clic para abrir el selector
Based On	Basado en
Baseline shift	Desplazamiento vertical
Baseline to baseline. Auto leading follows the type size.	De línea base a línea base. El interlineado automático sigue el tamaño del texto.
Batch	Lote
Batch…	Lote…
Bend	Curvar
Bevel	Bisel
Bevel & Emboss	Bisel y relieve
Bevel & Emboss…	Bisel y relieve…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Vincule una variable de reemplazo de texto a una capa de texto, o una variable de visibilidad a cualquier capa.
Bitmap	Mapa de bits
Bitmap…	Mapa de bits…
Black	Negro
Black & White	Blanco y negro
Black & White…	Blanco y negro…
Black to Transparent	Negro a transparente
Black to White	Negro a blanco
Black to white through the inks	De negro a blanco a través de las tintas
Blacks	Negros
Blend If	Fusionar si
Blend Mode: Color	Modo de fusión: Color
Blend Mode: Color Burn	Modo de fusión: Subexposición de color
Blend Mode: Color Dodge	Modo de fusión: Sobreexposición de color
Blend Mode: Darken	Modo de fusión: Oscurecer
Blend Mode: Difference	Modo de fusión: Diferencia
Blend Mode: Dissolve	Modo de fusión: Disolver
Blend Mode: Exclusion	Modo de fusión: Exclusión
Blend Mode: Hard Light	Modo de fusión: Luz fuerte
Blend Mode: Hard Mix	Modo de fusión: Mezcla definida
Blend Mode: Hue	Modo de fusión: Tono
Blend Mode: Lighten	Modo de fusión: Aclarar
Blend Mode: Linear Burn	Modo de fusión: Subexposición lineal
Blend Mode: Linear Dodge (Add)	Modo de fusión: Sobreexposición lineal (añadir)
Blend Mode: Linear Light	Modo de fusión: Luz lineal
Blend Mode: Luminosity	Modo de fusión: Luminosidad
Blend Mode: Multiply	Modo de fusión: Multiplicar
Blend Mode: Normal	Modo de fusión: Normal
Blend Mode: Overlay	Modo de fusión: Superponer
Blend Mode: Pin Light	Modo de fusión: Luz focal
Blend Mode: Saturation	Modo de fusión: Saturación
Blend Mode: Screen	Modo de fusión: Trama
Blend Mode: Soft Light	Modo de fusión: Luz suave
Blend Mode: Vivid Light	Modo de fusión: Luz intensa
Blending	Fusión
Blending Options	Opciones de fusión
Blending Options…	Opciones de fusión…
Blending options	Opciones de fusión
Blends a source document, layer or channel into the active layer as one step.	Funde un documento, capa o canal de origen en la capa activa en un solo paso.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Funde un canal de cada una de dos fuentes en un canal nuevo, una selección o un documento nuevo.
Blue	Azul
Blues	Azules
Blur	Desenfocar
Blur Gallery	Galería de desenfoque
Blur More	Desenfocar más
Bold	Negrita
Border Selection	Selección de borde
Border…	Borde…
Both axes	Ambos ejes
Bottom	Abajo
Bottom Edges	Bordes inferiores
Bottom Left	Abajo a la izquierda
Bottom Right	Abajo a la derecha
Bottom Right Pixel Color	Color de píxel inferior derecho
Bottom left	Abajo a la izquierda
Bottom right	Abajo a la derecha
Box Blur…	Desenfoque de cuadro…
Box height	Alto del cuadro
Brightness	Brillo
Brightness jitter	Variación de brillo
Brightness/Contrast	Brillo/Contraste
Brightness/Contrast…	Brillo/Contraste…
Bring Forward	Hacia delante
Bring to Front	Traer al frente
Brush Editor	Editor de pinceles
Brush: Background	Pincel: fondo
Brush: Foreground	Pincel: frontal
Brushes	Pinceles
Bulge	Abultar
Butt	Extremo cuadrado
CMYK Color	Color CMYK
Calculations	Cálculos
Calculations…	Cálculos…
Camera Raw…	Camera Raw…
Canvas Size	Tamaño de lienzo
Canvas Size…	Tamaño de lienzo…
Canvas extension	Ampliación del lienzo
Caps	Mayúsculas
Carries the XMP; the source's EXIF goes into JPEG only	Incluye el XMP; el EXIF del origen solo va en JPEG
Cell size (pixels)	Tamaño de celda (píxeles)
Center	Centro
Center horizontally on the canvas	Centrar horizontalmente en el lienzo
Center vertically on the canvas	Centrar verticalmente en el lienzo
Centimeters	Centímetros
Centre	Centro
Centre the view on this note	Centrar la vista en esta nota
Change Bit Depth	Cambiar profundidad de bits
Change Colour Mode	Cambiar modo de color
Change Layer Properties	Cambiar propiedades de capa
Change how many pixels the document has, or how large it prints.	Cambie cuántos píxeles tiene el documento o qué tamaño tiene al imprimirlo.
Channel	Canal
Channel Mixer	Mezclador de canales
Channel Mixer…	Mezclador de canales…
Channel thumbnail	Miniatura del canal
Channels	Canales
Character	Carácter
Character Style	Estilo de carácter
Character Styles	Estilos de carácter
Checkerboard	Tablero de ajedrez
Choose 2 to 256 colours	Elija de 2 a 256 colores
Choose a colour profile	Elija un perfil de color
Choose a destination folder	Elija una carpeta de destino
Choose a source folder	Elija una carpeta de origen
Choose at least one page to open	Elija al menos una página para abrir
Choose at least one side to trim	Elija al menos un lado para recortar
Choose the Action to play	Elija la acción que se reproducirá
Choose the open grayscale document each channel of the new RGB document comes from.	Elija el documento en escala de grises abierto del que procede cada canal del nuevo documento RGB.
Choose the pages to open, their resolution and how they open.	Elija las páginas que se abrirán, su resolución y cómo se abren.
Choose the source and the destination folders.	Elija las carpetas de origen y de destino.
Choose…	Elegir…
Clear	Borrar
Clear All	Borrar todo
Clear Guides	Borrar guías
Clear History	Borrar historial
Clear Layer Style	Borrar estilo de capa
Clear Slices	Borrar sectores
Clear Strokes	Borrar trazos
Clear existing guides	Borrar las guías existentes
Clear the {noun} from the active text layer	Quitar {noun} de la capa de texto activa
Cleared {n} slice(s)	Se borraron {n} sectores
Click an item in the panel first	Haga clic primero en un elemento del panel
Click anywhere to sample a colour	Haga clic en cualquier lugar para muestrear un color
Click anywhere to sample a colour, or press Escape.	Haga clic en cualquier lugar para muestrear un color, o pulse Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Haga clic en el gráfico para añadir un punto, arrastre un punto para curvar la línea y sáquelo del gráfico para eliminarlo
Click the preview to sample a colour from it	Haga clic en la vista previa para muestrear un color
Click the preview to sample the colour to replace	Haga clic en la vista previa para muestrear el color que se sustituirá
Click the ramp to edit its stops.	Haga clic en la rampa para editar sus paradas.
Clip to layer below	Recortar a la capa inferior
Clipboard	Portapapeles
Clipping	Recorte
Close	Cerrar
Close All	Cerrar todo
Close Alpha Channel	Cerrar canal alfa
Close Others	Cerrar los demás
Close panel	Cerrar panel
Clouds	Nubes
Codec	Códec
Color	Color
Color Balance	Equilibrio de color
Color Balance…	Equilibrio de color…
Color Burn	Subexposición de color
Color Dodge	Sobreexposición de color
Color Dynamics	Dinámica de color
Color Halftone…	Semitono de color…
Color Intensity	Intensidad del color
Color Label	Etiqueta de color
Color Lookup	Consulta de colores
Color Lookup Tables…	Tablas de consulta de colores…
Color Lookup…	Consulta de colores…
Color Overlay	Superposición de colores
Color Overlay…	Superposición de colores…
Color Picker	Selector de color
Color Range	Gama de colores
Color Range…	Gama de colores…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Limpieza de halos de color: acerca el color de los píxeles del borde a la tinta interior cercana, una edición aparte del refinamiento de la máscara.
Color to Alpha…	Color a alfa…
Colors	Colores
Colour	Color
Colour varies once per stroke.	El color varía una vez por trazo.
Colours	Colores
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Los colores deben ser de 1 a 64, la tolerancia mayor que 0 y la longitud de esquina al menos 1
Columns	Columnas
Columns and rows with gutters between them, inside optional margins, in pixels.	Columnas y filas con medianiles entre ellas, dentro de márgenes opcionales, en píxeles.
Combine Shapes	Combinar formas
Commit (Enter)	Confirmar (Intro)
Commit Contents	Confirmar contenido
Composite	Compuesto
Condensed	Estrecho
Cone	Cono
Constant	Constante
Constrain proportions	Restringir proporciones
Content-Aware	Según el contenido
Content-Aware Scale	Escala según el contenido
Contour	Contorno
Contract Selection	Contraer selección
Contract by	Contraer en
Contract…	Contraer…
Contrast	Contraste
Conversion Options	Opciones de conversión
Convert Formats	Convertir formatos
Convert Formats…	Convertir formatos…
Convert for Smart Filters	Convertir para filtros inteligentes
Convert to Layers	Convertir en capas
Convert to Linked…	Convertir en vinculado…
Convert to Paragraph Text	Convertir en texto de párrafo
Convert to Point Text	Convertir en texto de punto
Convert to Profile	Convertir en perfil
Convert to Profile works on 8- and 16-bit documents	Convertir en perfil funciona con documentos de 8 y 16 bits
Convert to Profile…	Convertir en perfil…
Convert to Shape	Convertir en forma
Convert to Smart Object	Convertir en objeto inteligente
Converted to {name} ({intent}): the numbers changed so the colours look the same	Convertido a {name} ({intent}): los valores cambiaron para que los colores se vean igual
Cool	Frío
Copper	Cobre
Copy	Copiar
Copy Layer Style	Copiar estilo de capa
Copy Merged	Copiar combinado
Copyright Notice	Aviso de copyright
Corner length	Longitud de esquina
Corner radius	Radio de esquina
Corner radius applies to rectangles; this path has no corners to round	El radio de esquina se aplica a rectángulos; este trazado no tiene esquinas que redondear
Corners	Esquinas
Count jitter	Variación de recuento
Create Clipping Mask	Crear máscara de recorte
Create Layer	Crear capa
Create Layers	Crear capas
Crop	Recortar
Crop and Straighten Photos	Recortar y enderezar fotografías
Crops the canvas to the content, judged by the basis below.	Recorta el lienzo al contenido, según la base indicada abajo.
Crystallize…	Cristalizar…
Current Layer	Capa actual
Current Path	Trazado actual
Curve tolerance	Tolerancia de curva
Curves	Curvas
Curves…	Curvas…
Custom	Personalizado
Custom Brush	Pincel personalizado
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Personalizado: con la herramienta Mover, arrastre los 16 manejadores de la malla en el lienzo
Custom…	Personalizado…
Cut	Cortar
Cyan	Cian
Cyan / Red	Cian / Rojo
Cyans	Cianes
DDS…	DDS…
DXF…	DXF…
Dark	Oscuro
Dark Blue	Azul oscuro
Dark Grey	Gris oscuro
Darken	Oscurecer
Darker Color	Color más oscuro
Dash	Guion
Data Set	Conjunto de datos
Data Sets	Conjuntos de datos
Data Sets…	Conjuntos de datos…
Default	Predeterminado
Default colours  (D)	Colores predeterminados  (D)
Default colours (D)	Colores predeterminados (D)
Define	Definir
Define Brush Preset…	Definir valor de pincel…
Define Custom Shape…	Definir forma personalizada…
Define New	Definir nuevo
Define Pattern…	Definir motivo…
Define…	Definir…
Delete	Eliminar
Delete Filter Mask	Eliminar máscara de filtro
Delete Layer	Eliminar capa
Delete Mask	Eliminar máscara
Delete Vector Mask	Eliminar máscara vectorial
Delete action	Eliminar acción
Delete channel	Eliminar canal
Delete frame	Eliminar fotograma
Delete path	Eliminar trazado
Delete selected layers	Eliminar las capas seleccionadas
Delete set and its actions	Eliminar el conjunto y sus acciones
Delete stop	Eliminar parada
Delete the applied comp	Eliminar la composición aplicada
Delete the selected keyframe	Eliminar el fotograma clave seleccionado
Delete the selected tool preset	Eliminar el ajuste preestablecido de herramienta seleccionado
Delete the selected {noun}	Eliminar {noun} seleccionado
Delete the smart filter mask	Eliminar la máscara de filtro inteligente
Delete this note	Eliminar esta nota
Delete this smart filter	Eliminar este filtro inteligente
Delete this spot channel	Eliminar este canal de tinta plana
Density	Densidad
Dents…	Abolladuras…
Desaturate	Desaturar
Description	Descripción
Deselect	Deseleccionar
Deselect Layers	Deseleccionar capas
Despeckle	Destramar
Destination	Destino
Destination Space	Espacio de destino
Detail	Detalle
Detail scales	Escalas de detalle
Diamond	Diamante
Difference	Diferencia
Difference Clouds	Nubes de diferencia
Diffuse…	Difusión…
Diffusion	Difusión
Diffusion Dither	Tramado de difusión
Disable / Enable Filter Mask	Desactivar / activar máscara de filtro
Disable / Enable Mask	Desactivar / activar máscara
Disable / Enable Vector Mask	Desactivar / activar máscara vectorial
Disable Mask	Desactivar máscara
Disable Vector Mask	Desactivar máscara vectorial
Displace…	Desplazar…
Dissolve	Disolver
Distance	Distancia
Distort	Distorsionar
Distribute	Distribuir
Dither	Tramado
Dither…	Tramado…
Divide	Dividir
Dock this panel here	Acoplar este panel aquí
Document	Documento
Document Bounds	Límites del documento
Document Info	Información del documento
Document Title	Título del documento
Document size	Tamaño del documento
Double-click to edit in Layer Style; drag to the trash to delete	Doble clic para editar en Estilo de capa; arrastre a la papelera para eliminar
Double-click to edit this filter's settings	Doble clic para editar los ajustes de este filtro
Double-click to rename	Doble clic para cambiar el nombre
Drag a line with the Ruler first	Primero trace una línea con la regla
Drag to zoom the view	Arrastre para hacer zoom en la vista
Drop Shadow	Sombra paralela
Drop Shadow…	Sombra paralela…
Duotone	Duotono
Duotone Options	Opciones de duotono
Duotone…	Duotono…
Duplicate	Duplicar
Duplicate Layer	Duplicar capa
Duplicate Layer…	Duplicar capa…
Duplicate frame	Duplicar fotograma
Dust & Scratches…	Polvo y rascaduras…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	La escritura de EXIF y XMP no está implementada; solo se incrusta el ICC
EXR…	EXR…
Ease In	Entrada suave
Ease Out	Salida suave
Edge Glow	Resplandor de bordes
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Refinamiento de bordes: calado, desplazamiento, suavizado y contraste sobre la cobertura existente de la máscara; no reconoce sujetos.
Edges	Bordes
Edit	Edición
Edit Adjustment	Editar ajuste
Edit Adjustment…	Editar ajuste…
Edit Alpha Channel	Editar canal alfa
Edit Contents…	Editar contenido…
Edit Document Records	Editar registros del documento
Edit Fill	Editar relleno
Edit Filter Mask	Editar máscara de filtro
Edit Generator	Editar generador
Edit Group	Editar grupo
Edit Guides	Editar guías
Edit Raster	Editar capa rasterizada
Edit Saved Selection	Editar selección guardada
Edit Shape	Editar forma
Edit Slices	Editar sectores
Edit Smart object	Editar objeto inteligente
Edit Text	Editar texto
Edit Timeline	Editar línea de tiempo
Edit brush…	Editar pincel…
Edit fill	Editar relleno
Edit gradient stops — click to open the editor	Editar las paradas del degradado: haga clic para abrir el editor
Edit in Quick Mask Mode	Editar en modo Máscara rápida
Edit this ramp	Editar esta rampa
Effects	Efectos
Effects apply to the whole layer and undo as one step.	Los efectos se aplican a toda la capa y se deshacen en un solo paso.
Embed EXIF and XMP	Incrustar EXIF y XMP
Embed Linked	Incrustar vinculado
Embed colour profile	Incrustar perfil de color
Embedded source	Origen incrustado
Emboss…	Relieve…
Enable / disable the smart filter mask	Activar / desactivar la máscara de filtro inteligente
Enable Mask	Activar máscara
Enable Vector Mask	Activar máscara vectorial
Enable at least one export	Active al menos una exportación
Enabled	Activado
Enlarge smaller images	Ampliar imágenes más pequeñas
Enter a colour like #3366CC	Introduzca un color como #3366CC
Entropy	Entropía
Equalize	Ecualizar
Essentials	Aspectos esenciales
Every enabled row is written when you export.	Cada fila activada se escribe al exportar.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Cada imagen de la carpeta de origen se ajusta al cuadro y se escribe en la carpeta de destino en su propio formato.
Every parameter is at its neutral value — there is nothing to clean	Todos los parámetros están en su valor neutro: no hay nada que limpiar
Every parameter is at its neutral value — there is nothing to refine	Todos los parámetros están en su valor neutro: no hay nada que refinar
Every variable needs a name	Cada variable necesita un nombre
Exact	Exacto
Exclude Overlapping Shapes	Excluir formas superpuestas
Exclusion	Exclusión
Expand Selection	Expandir selección
Expand by	Expandir en
Expand the dock	Expandir el panel acoplado
Expanded	Expandido
Expand…	Expandir…
Export	Exportar
Export As	Exportar como
Export Color Lookup	Exportar consulta de colores
Export Contents…	Exportar contenido…
Export Diagnostics…	Exportar diagnóstico…
Export Layers…	Exportar capas…
Export PDF	Exportar PDF
Export as .ABR…	Exportar como .ABR…
Export as .ACO…	Exportar como .ACO…
Export as .ASL…	Exportar como .ASL…
Export set as .atn	Exportar conjunto como .atn
Export…	Exportar…
Exposure	Exposición
Exposure…	Exposición…
Extra Bold	Extranegrita
Extra Condensed	Extracondensado
Extra Expanded	Extraexpandido
Extra Light	Extrafina
Extras	Extras
Extrude…	Extrusión…
Eyedropper	Cuentagotas
Face	Estilo
Facet	Faceta
Fade	Transición
Fade…	Transición…
Family	Familia
Feather	Calar
Feather Selection	Calar selección
Feather radius	Radio de calado
Feather…	Calar…
Fibers…	Fibras…
Field Blur…	Desenfoque de campo…
File	Archivo
File Info	Información de archivo
File Info…	Información de archivo…
File name	Nombre de archivo
Files that fail are listed in batch-errors.txt in the destination.	Los archivos que fallan se enumeran en batch-errors.txt en el destino.
Fill	Relleno
Fill Filter Mask	Rellenar máscara de filtro
Fill Layer	Capa de relleno
Fill Mask	Rellenar máscara
Fill Screen	Llenar pantalla
Fill in File Info, or open a file that has EXIF, to embed metadata	Complete la información de archivo o abra un archivo con EXIF para incrustar metadatos
Fill path with the foreground colour, on a new shape layer	Rellenar el trazado con el color frontal, en una nueva capa de forma
Fill type	Tipo de relleno
Fills the active selection with the chosen contents.	Rellena la selección activa con el contenido elegido.
Fill…	Rellenar…
Filter	Filtro
Filter Gallery	Galería de filtros
Filter Gallery…	Galería de filtros…
Find Edges	Hallar bordes
First line	Primera línea
Fish	Pez
Fisheye	Ojo de pez
Fit The Area	Ajustar al área
Fit on Screen	Encajar en pantalla
Fit the whole image in the window	Encajar toda la imagen en la ventana
Fixed height	Altura fija
Flag	Bandera
Flame…	Llama…
Flat Angled 40	Plano en ángulo 40
Flatten Image	Acoplar imagen
Flip Canvas Horizontal	Voltear lienzo horizontalmente
Flip Canvas Vertical	Voltear lienzo verticalmente
Flip Horizontal	Voltear horizontalmente
Flip Vertical	Voltear verticalmente
Flip View Horizontal	Voltear vista horizontalmente
Flip View Vertical	Voltear vista verticalmente
Flow jitter	Variación de flujo
Folders	Carpetas
Font: 	Fuente: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Los trazos frontales marcan lo que se conserva y los de fondo lo que se descarta; la vista previa muestra el corte.
Foreground — double-click for the picker	Frontal: doble clic para abrir el selector
Foreground/background jitter	Variación frontal/fondo
Format	Formato
Fourier	Fourier
Fourier Transform	Transformada de Fourier
Fragment	Fragmento
Frame	Marco
Frames	Fotogramas
Free Transform	Transformación libre
Free Transform a Copy	Transformar una copia libremente
From Transparency	Desde transparencia
Fullscreen	Pantalla completa
Fuzziness	Tolerancia
GIF…	GIF…
Gamma	Gamma
Gamut Warning	Aviso de gama
Gaussian	Gaussiano
Gaussian Blur…	Desenfoque gaussiano…
Generate Mockups	Generar maquetas
Generate Mockups…	Generar maquetas…
Give the brush a name	Póngale un nombre al pincel
Give the export a file name	Póngale un nombre de archivo a la exportación
Glass Menus	Menús de cristal
Global light	Luz global
Glyphs	Glifos
Gradient	Degradado
Gradient Editor	Editor de degradado
Gradient Map	Mapa de degradado
Gradient Map…	Mapa de degradado…
Gradient Overlay	Superposición de degradado
Gradient Overlay…	Superposición de degradado…
Gradient…	Degradado…
Gray	Gris
Grayscale	Escala de grises
Green	Verde
Greens	Verdes
Grid	Cuadrícula
Grid points	Puntos de cuadrícula
Group	Grupo
Group Layers	Agrupar capas
Grow	Extender
Guide Guy	Guide Guy
Guides	Guías
Gutter	Medianil
H	H
H.264 (plays everywhere)	H.264 (se reproduce en todas partes)
HDR Toning	Tonificación HDR
HDR Toning…	Tonificación HDR…
HSB/HSL…	HSB/HSL…
Halftone Screen	Trama de semitonos
Hard Light	Luz fuerte
Hard Mix	Mezcla definida
Hard Round 24	Redondo duro 24
Hard Round 4	Redondo duro 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Bordes duros, sin fusión. Solo para pixel art: se dentea al reducir.
Harder Brush	Pincel más duro
Height	Altura
Height to 110%	Altura al 110%
Height to 125%	Altura al 125%
Height to 80%	Altura al 80%
Height to 90%	Altura al 90%
Help	Ayuda
Hide All	Ocultar todo
Hide Layers	Ocultar capas
Hide Selection	Ocultar selección
Hide the source layer	Ocultar la capa de origen
High Contrast	Alto contraste
High Pass…	Paso alto…
Highlights	Iluminaciones
Histogram	Histograma
Histories	Historiales
History	Historia
Hold	Mantener
Horizontal Centers	Centros horizontales
Horizontal Distortion	Distorsión horizontal
Horizontal center guide	Guía central horizontal
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Escala horizontal, en porcentaje: ensancha o estrecha los glifos y su espaciado
Horizontally	Horizontalmente
Hue	Tono
Hue jitter	Variación de tono
Hue/Saturation	Tono/saturación
Hue/Saturation…	Tono/saturación…
ICC profile	Perfil ICC
ICO…	ICO…
Image	Imagen
Image Options	Opciones de imagen
Image Rotation	Rotación de imagen
Image Size	Tamaño de imagen
Image Size…	Tamaño de imagen…
Image size	Tamaño de imagen
Import CSV…	Importar CSV…
Import PDF	Importar PDF
Import a CSV of data sets first	Importe primero un CSV de conjuntos de datos
Import a CSV: the first row names the variables, every further row is one data set.	Importe un CSV: la primera fila nombra las variables y cada fila siguiente es un conjunto de datos.
In use	En uso
Inches	Pulgadas
Indexed Color	Color indexado
Indexed Color…	Color indexado…
Inflate	Inflar
Info	Información
Ink	Tinta
Ink Color	Color de tinta
Ink printed at 0, 25, 50, 75 and 100% tint	Tinta impresa al 0, 25, 50, 75 y 100% de tinte
Inner Glow	Resplandor interior
Inner Glow…	Resplandor interior…
Inner Radius	Radio interior
Inner Shadow	Sombra interior
Inner Shadow…	Sombra interior…
Inside	Interior
Intent	Interpretación
Intersect Shape Areas	Formar intersección con áreas de forma
Intersect with Selection	Formar intersección con la selección
Inverse	Invertir
Inverse Fourier Transform	Transformada inversa de Fourier
Invert	Invertir
Invert coverage	Invertir cobertura
Invert has no parameters	Invertir no tiene parámetros
Iris Blur…	Desenfoque de iris…
Italic	Cursiva
JPEG carries the XMP and the source's EXIF	JPEG incluye el XMP y el EXIF del origen
JPG…	JPG…
Justify	Justificar
Kaleidoscope…	Caleidoscopio…
Keep as it was	Dejar como estaba
Kept when a comp is first applied	Se conserva cuando se aplica una composición por primera vez
Kerning	Kerning
Keyboard Shortcut Sheet…	Hoja de métodos abreviados…
Keyboard Shortcuts…	Métodos abreviados de teclado…
Keywords	Palabras clave
Kind	Tipo
Kurtosis	Curtosis
Lab Color	Color Lab
Landscape	Horizontal
Language	Idioma
Large	Grande
Last Document State	Último estado del documento
Last Filter	Último filtro
Last line	Última línea
Layer	Capa
Layer Comps	Composiciones de capas
Layer Edges	Bordes de capa
Layer Mask	Máscara de capa
Layer Properties	Propiedades de capa
Layer Style	Estilo de capa
Layer knocks out drop shadow	La capa extrae la sombra paralela
Layer via Copy	Capa vía copiar
Layer via Cut	Capa vía cortar
Layers	Capas
Layers panel options	Opciones del panel Capas
Left	Izquierda
Left Edges	Bordes izquierdos
Left indent	Sangría izquierda
Length	Longitud
Lens Blur…	Desenfoque de lente…
Lens Correction…	Corrección de lente…
Lens Flare…	Destello…
Level	Nivel
Levels	Niveles
Levels…	Niveles…
Light	Fina
Light Grey	Gris claro
Lighten	Aclarar
Lighter Color	Color más claro
Lighting Effects…	Efectos de iluminación…
Lightness	Luminosidad
Line	Línea
Linear	Lineal
Linear Burn	Subexposición lineal
