# Raster Studio interface strings, it. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Italiano
Assign Profile	Assegna profilo
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} assegnato: i valori dei pixel non cambiano, quindi i colori appaiono diversi
Author	Autore
Auto Color	Colore automatico
Auto Contrast	Contrasto automatico
Auto Tone	Tono automatico
Auto leading	Interlinea automatica
Auto-Align Layers…	Allineamento automatico livelli…
Auto-Blend Layers…	Fusione automatica livelli…
Automate	Automatizza
Autosaves of never-saved documents go here; empty uses the default	Qui vanno i salvataggi automatici dei documenti mai salvati; vuoto usa la posizione predefinita
Average	Media
BMP…	BMP…
Back to the colour this opened on	Torna al colore di apertura
Background — double-click for the picker	Sfondo: doppio clic per il selettore
Based On	Basato su
Baseline shift	Spostamento linea di base
Baseline to baseline. Auto leading follows the type size.	Da linea di base a linea di base. L'interlinea automatica segue la dimensione del testo.
Batch	Batch
Batch…	Batch…
Bend	Curva
Bevel	Smusso
Bevel & Emboss	Smusso ed effetto rilievo
Bevel & Emboss…	Smusso ed effetto rilievo…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Associa una variabile di sostituzione testo a un livello di testo, o una variabile di visibilità a qualsiasi livello.
Bitmap	Bitmap
Bitmap…	Bitmap…
Black	Nero
Black & White	Bianco e nero
Black & White…	Bianco e nero…
Black to Transparent	Da nero a trasparente
Black to White	Da nero a bianco
Black to white through the inks	Da nero a bianco attraverso gli inchiostri
Blacks	Neri
Blend If	Fondi se
Blend Mode: Color	Metodo di fusione: Colore
Blend Mode: Color Burn	Metodo di fusione: Brucia colore
Blend Mode: Color Dodge	Metodo di fusione: Colore scherma
Blend Mode: Darken	Metodo di fusione: Scurisci
Blend Mode: Difference	Metodo di fusione: Differenza
Blend Mode: Dissolve	Metodo di fusione: Dissolvi
Blend Mode: Exclusion	Metodo di fusione: Esclusione
Blend Mode: Hard Light	Metodo di fusione: Luce intensa
Blend Mode: Hard Mix	Metodo di fusione: Miscela solida
Blend Mode: Hue	Metodo di fusione: Tonalità
Blend Mode: Lighten	Metodo di fusione: Schiarisci
Blend Mode: Linear Burn	Metodo di fusione: Brucia lineare
Blend Mode: Linear Dodge (Add)	Metodo di fusione: Scherma lineare (aggiungi)
Blend Mode: Linear Light	Metodo di fusione: Luce lineare
Blend Mode: Luminosity	Metodo di fusione: Luminosità
Blend Mode: Multiply	Metodo di fusione: Moltiplica
Blend Mode: Normal	Metodo di fusione: Normale
Blend Mode: Overlay	Metodo di fusione: Sovrapponi
Blend Mode: Pin Light	Metodo di fusione: Luce puntiforme
Blend Mode: Saturation	Metodo di fusione: Saturazione
Blend Mode: Screen	Metodo di fusione: Scolora
Blend Mode: Soft Light	Metodo di fusione: Luce soffusa
Blend Mode: Vivid Light	Metodo di fusione: Luce vivida
Blending	Fusione
Blending Options	Opzioni di fusione
Blending Options…	Opzioni di fusione…
Blending options	Opzioni di fusione
Blends a source document, layer or channel into the active layer as one step.	Fonde un documento, un livello o un canale di origine nel livello attivo in un solo passaggio.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Fonde un canale di ciascuna di due origini in un nuovo canale, una selezione o un nuovo documento.
Blue	Blu
Blues	Blu
Blur	Sfocatura
Blur Gallery	Galleria sfocatura
Blur More	Sfoca di più
Bold	Grassetto
Border Selection	Selezione bordo
Border…	Bordo…
Both axes	Entrambi gli assi
Bottom	In basso
Bottom Edges	Bordi inferiori
Bottom Left	In basso a sinistra
Bottom Right	In basso a destra
Bottom Right Pixel Color	Colore pixel in basso a destra
Bottom left	In basso a sinistra
Bottom right	In basso a destra
Box Blur…	Sfocatura media…
Box height	Altezza riquadro
Brightness	Luminosità
Brightness jitter	Variazione luminosità
Brightness/Contrast	Luminosità/contrasto
Brightness/Contrast…	Luminosità/contrasto…
Bring Forward	Porta avanti
Bring to Front	Porta in primo piano
Brush Editor	Editor pennelli
Brush: Background	Pennello: sfondo
Brush: Foreground	Pennello: primo piano
Brushes	Pennelli
Bulge	Rigonfiamento
Butt	Piatta
CMYK Color	Colore CMYK
Calculations	Calcoli
Calculations…	Calcoli…
Camera Raw…	Camera Raw…
Canvas Size	Dimensione quadro
Canvas Size…	Dimensione quadro…
Canvas extension	Estensione quadro
Caps	Maiuscole
Carries the XMP; the source's EXIF goes into JPEG only	Contiene l'XMP; l'EXIF dell'origine va solo nel JPEG
Cell size (pixels)	Dimensione cella (pixel)
Center	Centro
Center horizontally on the canvas	Centra orizzontalmente sulla tela
Center vertically on the canvas	Centra verticalmente sulla tela
Centimeters	Centimetri
Centre	Centro
Centre the view on this note	Centra la vista su questa nota
Change Bit Depth	Cambia profondità di bit
Change Colour Mode	Cambia metodo di colore
Change Layer Properties	Cambia proprietà livello
Change how many pixels the document has, or how large it prints.	Cambia quanti pixel ha il documento o quanto è grande in stampa.
Channel	Canale
Channel Mixer	Miscelatore canale
Channel Mixer…	Miscelatore canale…
Channel thumbnail	Miniatura canale
Channels	Canali
Character	Carattere
Character Style	Stile carattere
Character Styles	Stili carattere
Checkerboard	Scacchiera
Choose 2 to 256 colours	Scegli da 2 a 256 colori
Choose a colour profile	Scegli un profilo colore
Choose a destination folder	Scegli una cartella di destinazione
Choose a source folder	Scegli una cartella di origine
Choose at least one page to open	Scegli almeno una pagina da aprire
Choose at least one side to trim	Scegli almeno un lato da rifilare
Choose the Action to play	Scegli l'azione da eseguire
Choose the open grayscale document each channel of the new RGB document comes from.	Scegli il documento in scala di grigio aperto da cui proviene ciascun canale del nuovo documento RGB.
Choose the pages to open, their resolution and how they open.	Scegli le pagine da aprire, la loro risoluzione e come si aprono.
Choose the source and the destination folders.	Scegli le cartelle di origine e di destinazione.
Choose…	Scegli…
Clear	Cancella
Clear All	Cancella tutto
Clear Guides	Cancella guide
Clear History	Cancella storia
Clear Layer Style	Cancella stile livello
Clear Slices	Cancella sezioni
Clear Strokes	Cancella tratti
Clear existing guides	Cancella le guide esistenti
Clear the {noun} from the active text layer	Rimuovi {noun} dal livello di testo attivo
Cleared {n} slice(s)	{n} sezione/i cancellata/e
Click an item in the panel first	Fai prima clic su un elemento del pannello
Click anywhere to sample a colour	Fai clic in un punto qualsiasi per campionare un colore
Click anywhere to sample a colour, or press Escape.	Fai clic in un punto qualsiasi per campionare un colore, o premi Esc.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Fai clic sul grafico per aggiungere un punto, trascina un punto per piegare la curva, trascinalo fuori dal grafico per rimuoverlo
Click the preview to sample a colour from it	Fai clic sull'anteprima per campionarne un colore
Click the preview to sample the colour to replace	Fai clic sull'anteprima per campionare il colore da sostituire
Click the ramp to edit its stops.	Fai clic sulla sfumatura per modificarne i punti.
Clip to layer below	Ritaglia sul livello sottostante
Clipboard	Appunti
Clipping	Ritaglio
Close	Chiudi
Close All	Chiudi tutto
Close Alpha Channel	Chiudi canale alfa
Close Others	Chiudi gli altri
Close panel	Chiudi pannello
Clouds	Nuvole
Codec	Codec
Color	Colore
Color Balance	Bilanciamento colore
Color Balance…	Bilanciamento colore…
Color Burn	Brucia colore
Color Dodge	Colore scherma
Color Dynamics	Dinamica colore
Color Halftone…	Mezzetinte colore…
Color Intensity	Intensità colore
Color Label	Etichetta colore
Color Lookup	Consultazione colore
Color Lookup Tables…	Tabelle di consultazione colore…
Color Lookup…	Consultazione colore…
Color Overlay	Sovrapposizione colore
Color Overlay…	Sovrapposizione colore…
Color Picker	Selettore colore
Color Range	Intervallo colori
Color Range…	Intervallo colori…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Pulizia frange di colore: avvicina il colore dei pixel del bordo all'inchiostro interno vicino, una modifica separata dal perfezionamento della maschera.
Color to Alpha…	Colore in alfa…
Colors	Colori
Colour	Colore
Colour varies once per stroke.	Il colore varia una volta per tratto.
Colours	Colori
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	I colori devono essere da 1 a 64, la tolleranza sopra 0 e la lunghezza dell'angolo almeno 1
Columns	Colonne
Columns and rows with gutters between them, inside optional margins, in pixels.	Colonne e righe con canaline tra loro, entro margini facoltativi, in pixel.
Combine Shapes	Combina forme
Commit (Enter)	Conferma (Invio)
Commit Contents	Conferma contenuto
Composite	Composito
Condensed	Stretto
Cone	Cono
Constant	Costante
Constrain proportions	Mantieni proporzioni
Content-Aware	In base al contenuto
Content-Aware Scale	Scala in base al contenuto
Contour	Contorno
Contract Selection	Contrai selezione
Contract by	Contrai di
Contract…	Contrai…
Contrast	Contrasto
Conversion Options	Opzioni di conversione
Convert Formats	Converti formati
Convert Formats…	Converti formati…
Convert for Smart Filters	Converti per filtri avanzati
Convert to Layers	Converti in livelli
Convert to Linked…	Converti in collegato…
Convert to Paragraph Text	Converti in testo paragrafo
Convert to Point Text	Converti in testo punto
Convert to Profile	Converti in profilo
Convert to Profile works on 8- and 16-bit documents	Converti in profilo funziona su documenti a 8 e 16 bit
Convert to Profile…	Converti in profilo…
Convert to Shape	Converti in forma
Convert to Smart Object	Converti in oggetto avanzato
Converted to {name} ({intent}): the numbers changed so the colours look the same	Convertito in {name} ({intent}): i valori sono cambiati perché i colori appaiano uguali
Cool	Freddo
Copper	Rame
Copy	Copia
Copy Layer Style	Copia stile livello
Copy Merged	Copia unione
Copyright Notice	Nota di copyright
Corner length	Lunghezza angolo
Corner radius	Raggio angolo
Corner radius applies to rectangles; this path has no corners to round	Il raggio dell'angolo si applica ai rettangoli; questo tracciato non ha angoli da arrotondare
Corners	Angoli
Count jitter	Variazione numero
Create Clipping Mask	Crea maschera di ritaglio
Create Layer	Crea livello
Create Layers	Crea livelli
Crop	Ritaglia
Crop and Straighten Photos	Ritaglia e raddrizza foto
Crops the canvas to the content, judged by the basis below.	Ritaglia la tela al contenuto, secondo la base indicata sotto.
Crystallize…	Cristallizza…
Current Layer	Livello corrente
Current Path	Tracciato corrente
Curve tolerance	Tolleranza curva
Curves	Curve
Curves…	Curve…
Custom	Personale
Custom Brush	Pennello personale
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Personale: con lo strumento Sposta, trascina le 16 maniglie della griglia sulla tela
Custom…	Personale…
Cut	Taglia
Cyan	Ciano
Cyan / Red	Ciano / Rosso
Cyans	Ciano
DDS…	DDS…
DXF…	DXF…
Dark	Scuro
Dark Blue	Blu scuro
Dark Grey	Grigio scuro
Darken	Scurisci
Darker Color	Colore più scuro
Dash	Tratteggio
Data Set	Set di dati
Data Sets	Set di dati
Data Sets…	Set di dati…
Default	Predefinito
Default colours  (D)	Colori predefiniti  (D)
Default colours (D)	Colori predefiniti (D)
Define	Definisci
Define Brush Preset…	Definisci predefinito pennello…
Define Custom Shape…	Definisci forma personale…
Define New	Definisci nuovo
Define Pattern…	Definisci pattern…
Define…	Definisci…
Delete	Elimina
Delete Filter Mask	Elimina maschera filtro
Delete Layer	Elimina livello
Delete Mask	Elimina maschera
Delete Vector Mask	Elimina maschera vettoriale
Delete action	Elimina azione
Delete channel	Elimina canale
Delete frame	Elimina fotogramma
Delete path	Elimina tracciato
Delete selected layers	Elimina i livelli selezionati
Delete set and its actions	Elimina il set e le sue azioni
Delete stop	Elimina punto
Delete the applied comp	Elimina la composizione applicata
Delete the selected keyframe	Elimina il fotogramma chiave selezionato
Delete the selected tool preset	Elimina lo strumento predefinito selezionato
Delete the selected {noun}	Elimina {noun} selezionato
Delete the smart filter mask	Elimina la maschera del filtro avanzato
Delete this note	Elimina questa nota
Delete this smart filter	Elimina questo filtro avanzato
Delete this spot channel	Elimina questo canale tinta piatta
Density	Densità
Dents…	Ammaccature…
Desaturate	Togli saturazione
Description	Descrizione
Deselect	Deseleziona
Deselect Layers	Deseleziona livelli
Despeckle	Smacchia
Destination	Destinazione
Destination Space	Spazio di destinazione
Detail	Dettaglio
Detail scales	Scale di dettaglio
Diamond	Rombo
Difference	Differenza
Difference Clouds	Nuvole in differenza
Diffuse…	Diffusione…
Diffusion	Diffusione
Diffusion Dither	Dithering diffusione
Disable / Enable Filter Mask	Disattiva / attiva maschera filtro
Disable / Enable Mask	Disattiva / attiva maschera
Disable / Enable Vector Mask	Disattiva / attiva maschera vettoriale
Disable Mask	Disattiva maschera
Disable Vector Mask	Disattiva maschera vettoriale
Displace…	Muovi…
Dissolve	Dissolvi
Distance	Distanza
Distort	Distorci
Distribute	Distribuisci
Dither	Dithering
Dither…	Dithering…
Divide	Dividi
Dock this panel here	Ancora qui questo pannello
Document	Documento
Document Bounds	Limiti del documento
Document Info	Info documento
Document Title	Titolo documento
Document size	Dimensione documento
Double-click to edit in Layer Style; drag to the trash to delete	Doppio clic per modificare in Stile livello; trascina nel cestino per eliminare
Double-click to edit this filter's settings	Doppio clic per modificare le impostazioni di questo filtro
Double-click to rename	Doppio clic per rinominare
Drag a line with the Ruler first	Traccia prima una linea con il righello
Drag to zoom the view	Trascina per ingrandire la vista
Drop Shadow	Ombra esterna
Drop Shadow…	Ombra esterna…
Duotone	Bicromia
Duotone Options	Opzioni bicromia
Duotone…	Bicromia…
Duplicate	Duplica
Duplicate Layer	Duplica livello
Duplicate Layer…	Duplica livello…
Duplicate frame	Duplica fotogramma
Dust & Scratches…	Polvere e grana…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	La scrittura di EXIF e XMP non è implementata: viene incorporato solo l'ICC
EXR…	EXR…
Ease In	Rallenta in entrata
Ease Out	Rallenta in uscita
Edge Glow	Bagliore bordi
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Perfezionamento bordi: sfumatura, spostamento, arrotondamento e contrasto sulla copertura esistente della maschera, senza riconoscimento del soggetto.
Edges	Bordi
Edit	Modifica
Edit Adjustment	Modifica regolazione
Edit Adjustment…	Modifica regolazione…
Edit Alpha Channel	Modifica canale alfa
Edit Contents…	Modifica contenuto…
Edit Document Records	Modifica registri del documento
Edit Fill	Modifica riempimento
Edit Filter Mask	Modifica maschera filtro
Edit Generator	Modifica generatore
Edit Group	Modifica gruppo
Edit Guides	Modifica guide
Edit Raster	Modifica livello raster
Edit Saved Selection	Modifica selezione salvata
Edit Shape	Modifica forma
Edit Slices	Modifica sezioni
Edit Smart object	Modifica oggetto avanzato
Edit Text	Modifica testo
Edit Timeline	Modifica timeline
Edit brush…	Modifica pennello…
Edit fill	Modifica riempimento
Edit gradient stops — click to open the editor	Modifica i punti della sfumatura: fai clic per aprire l'editor
Edit in Quick Mask Mode	Modifica in modalità maschera veloce
Edit this ramp	Modifica questa sfumatura
Effects	Effetti
Effects apply to the whole layer and undo as one step.	Gli effetti si applicano all'intero livello e si annullano in un solo passaggio.
Embed EXIF and XMP	Incorpora EXIF e XMP
Embed Linked	Incorpora collegato
Embed colour profile	Incorpora profilo colore
Embedded source	Origine incorporata
Emboss…	Effetto rilievo…
Enable / disable the smart filter mask	Attiva / disattiva la maschera del filtro avanzato
Enable Mask	Attiva maschera
Enable Vector Mask	Attiva maschera vettoriale
Enable at least one export	Attiva almeno un'esportazione
Enabled	Attivato
Enlarge smaller images	Ingrandisci le immagini più piccole
Enter a colour like #3366CC	Inserisci un colore come #3366CC
Entropy	Entropia
Equalize	Equalizza
Essentials	Essenziali
Every enabled row is written when you export.	Ogni riga attivata viene scritta all'esportazione.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Ogni immagine della cartella di origine viene adattata al riquadro e scritta nella cartella di destinazione nel suo formato.
Every parameter is at its neutral value — there is nothing to clean	Tutti i parametri sono al valore neutro: non c'è nulla da pulire
Every parameter is at its neutral value — there is nothing to refine	Tutti i parametri sono al valore neutro: non c'è nulla da perfezionare
Every variable needs a name	Ogni variabile richiede un nome
Exact	Esatto
Exclude Overlapping Shapes	Escludi forme sovrapposte
Exclusion	Esclusione
Expand Selection	Espandi selezione
Expand by	Espandi di
Expand the dock	Espandi il dock
Expanded	Espanso
Expand…	Espandi…
Export	Esporta
Export As	Esporta come
Export Color Lookup	Esporta consultazione colore
Export Contents…	Esporta contenuto…
Export Diagnostics…	Esporta diagnostica…
Export Layers…	Esporta livelli…
Export PDF	Esporta PDF
Export as .ABR…	Esporta come .ABR…
Export as .ACO…	Esporta come .ACO…
Export as .ASL…	Esporta come .ASL…
Export set as .atn	Esporta set come .atn
Export…	Esporta…
Exposure	Esposizione
Exposure…	Esposizione…
Extra Bold	Extra grassetto
Extra Condensed	Extra stretto
Extra Expanded	Extra espanso
Extra Light	Extra chiaro
Extras	Extra
Extrude…	Estrusione…
Eyedropper	Contagocce
Face	Stile
Facet	Sfaccettatura
Fade	Dissolvenza
Fade…	Dissolvenza…
Family	Famiglia
Feather	Sfuma
Feather Selection	Sfuma selezione
Feather radius	Raggio sfumatura
Feather…	Sfuma…
Fibers…	Fibre…
Field Blur…	Sfocatura campo…
File	File
File Info	Info file
File Info…	Info file…
File name	Nome file
Files that fail are listed in batch-errors.txt in the destination.	I file non riusciti sono elencati in batch-errors.txt nella destinazione.
Fill	Riempimento
Fill Filter Mask	Riempi maschera filtro
Fill Layer	Livello di riempimento
Fill Mask	Riempi maschera
Fill Screen	Riempi schermo
Fill in File Info, or open a file that has EXIF, to embed metadata	Compila Info file, o apri un file con EXIF, per incorporare i metadati
Fill path with the foreground colour, on a new shape layer	Riempi il tracciato con il colore di primo piano, su un nuovo livello forma
Fill type	Tipo di riempimento
Fills the active selection with the chosen contents.	Riempie la selezione attiva con il contenuto scelto.
Fill…	Riempi…
Filter	Filtro
Filter Gallery	Galleria filtri
Filter Gallery…	Galleria filtri…
Find Edges	Trova bordi
First line	Prima riga
Fish	Pesce
Fisheye	Occhio di pesce
Fit The Area	Adatta all'area
Fit on Screen	Adatta allo schermo
Fit the whole image in the window	Adatta l'intera immagine alla finestra
Fixed height	Altezza fissa
Flag	Bandiera
Flame…	Fiamma…
Flat Angled 40	Piatto angolato 40
Flatten Image	Unico livello
Flip Canvas Horizontal	Rifletti quadro orizzontale
Flip Canvas Vertical	Rifletti quadro verticale
Flip Horizontal	Rifletti orizzontale
Flip Vertical	Rifletti verticale
Flip View Horizontal	Rifletti vista orizzontale
Flip View Vertical	Rifletti vista verticale
Flow jitter	Variazione flusso
Folders	Cartelle
Font: 	Font: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	I tratti di primo piano segnano cosa tenere, quelli di sfondo cosa scartare; l'anteprima mostra il ritaglio.
Foreground — double-click for the picker	Primo piano: doppio clic per il selettore
Foreground/background jitter	Variazione primo piano/sfondo
Format	Formato
Fourier	Fourier
Fourier Transform	Trasformata di Fourier
Fragment	Frammento
Frame	Cornice
Frames	Fotogrammi
Free Transform	Trasformazione libera
Free Transform a Copy	Trasforma liberamente una copia
From Transparency	Da trasparenza
Fullscreen	Schermo intero
Fuzziness	Tolleranza
GIF…	GIF…
Gamma	Gamma
Gamut Warning	Avviso gamma
Gaussian	Gaussiana
Gaussian Blur…	Controllo sfocatura…
Generate Mockups	Genera mockup
Generate Mockups…	Genera mockup…
Give the brush a name	Dai un nome al pennello
Give the export a file name	Dai un nome file all'esportazione
Glass Menus	Menu in vetro
Global light	Luce globale
Glyphs	Glifi
Gradient	Sfumatura
Gradient Editor	Editor sfumatura
Gradient Map	Mappa sfumatura
Gradient Map…	Mappa sfumatura…
Gradient Overlay	Sovrapposizione sfumatura
Gradient Overlay…	Sovrapposizione sfumatura…
Gradient…	Sfumatura…
Gray	Grigio
Grayscale	Scala di grigio
Green	Verde
Greens	Verdi
Grid	Griglia
Grid points	Punti griglia
Group	Gruppo
Group Layers	Raggruppa livelli
Grow	Estendi
Guide Guy	Guide Guy
Guides	Guide
Gutter	Canalina
H	H
H.264 (plays everywhere)	H.264 (si riproduce ovunque)
HDR Toning	Viraggio HDR
HDR Toning…	Viraggio HDR…
HSB/HSL…	HSB/HSL…
Halftone Screen	Retino mezzetinte
Hard Light	Luce intensa
Hard Mix	Miscela solida
Hard Round 24	Tondo duro 24
Hard Round 4	Tondo duro 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Bordi netti, nessuna fusione. Solo pixel art: si seghetta in riduzione.
Harder Brush	Pennello più duro
Height	Altezza
Height to 110%	Altezza al 110%
Height to 125%	Altezza al 125%
Height to 80%	Altezza all'80%
Height to 90%	Altezza al 90%
Help	Aiuto
Hide All	Nascondi tutto
Hide Layers	Nascondi livelli
Hide Selection	Nascondi selezione
Hide the source layer	Nascondi il livello di origine
High Contrast	Contrasto elevato
High Pass…	Accentua passaggio…
Highlights	Luci
Histogram	Istogramma
Histories	Storie
History	Storia
Hold	Mantieni
Horizontal Centers	Centri orizzontali
Horizontal Distortion	Distorsione orizzontale
Horizontal center guide	Guida centrale orizzontale
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Scala orizzontale, in percentuale: allarga o restringe i glifi e la loro spaziatura
Horizontally	Orizzontalmente
Hue	Tonalità
Hue jitter	Variazione tonalità
Hue/Saturation	Tonalità/saturazione
Hue/Saturation…	Tonalità/saturazione…
ICC profile	Profilo ICC
ICO…	ICO…
Image	Immagine
Image Options	Opzioni immagine
Image Rotation	Rotazione immagine
Image Size	Dimensione immagine
Image Size…	Dimensione immagine…
Image size	Dimensione immagine
Import CSV…	Importa CSV…
Import PDF	Importa PDF
Import a CSV of data sets first	Importa prima un CSV di set di dati
Import a CSV: the first row names the variables, every further row is one data set.	Importa un CSV: la prima riga nomina le variabili, ogni riga successiva è un set di dati.
In use	In uso
Inches	Pollici
Indexed Color	Colore indicizzato
Indexed Color…	Colore indicizzato…
Inflate	Gonfia
Info	Info
Ink	Inchiostro
Ink Color	Colore inchiostro
Ink printed at 0, 25, 50, 75 and 100% tint	Inchiostro stampato con tinta allo 0, 25, 50, 75 e 100%
Inner Glow	Bagliore interno
Inner Glow…	Bagliore interno…
Inner Radius	Raggio interno
Inner Shadow	Ombra interna
Inner Shadow…	Ombra interna…
Inside	Interno
Intent	Intento
Intersect Shape Areas	Interseca aree forma
Intersect with Selection	Interseca con selezione
Inverse	Inversa
Inverse Fourier Transform	Trasformata di Fourier inversa
Invert	Inverti
Invert coverage	Inverti copertura
Invert has no parameters	Inverti non ha parametri
Iris Blur…	Sfocatura diaframma…
Italic	Corsivo
JPEG carries the XMP and the source's EXIF	Il JPEG contiene l'XMP e l'EXIF dell'origine
JPG…	JPG…
Justify	Giustifica
Kaleidoscope…	Caleidoscopio…
Keep as it was	Lascia com'era
Kept when a comp is first applied	Mantenuto alla prima applicazione di una composizione
Kerning	Crenatura
Keyboard Shortcut Sheet…	Riepilogo scelte rapide da tastiera…
Keyboard Shortcuts…	Scelte rapide da tastiera…
Keywords	Parole chiave
Kind	Tipo
Kurtosis	Curtosi
Lab Color	Colore Lab
Landscape	Orizzontale
Language	Lingua
Large	Grande
Last Document State	Ultimo stato del documento
Last Filter	Ultimo filtro
Last line	Ultima riga
Layer	Livello
Layer Comps	Composizioni livelli
Layer Edges	Bordi livello
Layer Mask	Maschera di livello
Layer Properties	Proprietà livello
Layer Style	Stile livello
Layer knocks out drop shadow	Il livello foratura l'ombra esterna
Layer via Copy	Livello tramite copia
Layer via Cut	Livello tramite taglio
Layers	Livelli
Layers panel options	Opzioni pannello Livelli
Left	Sinistra
Left Edges	Bordi sinistri
Left indent	Rientro a sinistra
Length	Lunghezza
Lens Blur…	Sfocatura con lente…
