# Raster Studio interface strings, uk. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Українська
Fill Screen	Заповнити екран
Fill in File Info, or open a file that has EXIF, to embed metadata	Заповніть відомості про файл або відкрийте файл з EXIF, щоб вбудувати метадані
Fill path with the foreground colour, on a new shape layer	Залити контур основним кольором на новому шарі-фігурі
Fill type	Тип заливки
Fills the active selection with the chosen contents.	Заливає активне виділення вибраним вмістом.
Fill…	Виконати заливку…
Filter	Фільтр
Filter Gallery	Галерея фільтрів
Filter Gallery…	Галерея фільтрів…
Find Edges	Виділення країв
First line	Перший рядок
Fish	Риба
Fisheye	Риб'яче око
Fit on Screen	Показати на весь екран
Fit the whole image in the window	Вписати все зображення у вікно
Fixed height	Фіксована висота
Flag	Прапор
Flame…	Полум'я…
Flat Angled 40	Пласка похила 40
Flatten Image	Виконати зведення
Flip Canvas Horizontal	Віддзеркалити полотно по горизонталі
Flip Canvas Vertical	Віддзеркалити полотно по вертикалі
Flip Horizontal	Віддзеркалити по горизонталі
Flip Vertical	Віддзеркалити по вертикалі
Flip View Horizontal	Віддзеркалити вигляд по горизонталі
Flip View Vertical	Віддзеркалити вигляд по вертикалі
Flow jitter	Коливання натиску
Folders	Теки
Font: 	Шрифт: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Штрихи основного кольору позначають, що залишити, штрихи тла — що прибрати; попередній перегляд показує виріз.
Foreground — double-click for the picker	Основний колір — двічі клацніть, щоб відкрити палітру
Foreground/background jitter	Коливання основного/фонового кольору
Format	Формат
Fourier	Фур'є
Fourier Transform	Перетворення Фур'є
Fragment	Фрагментація
Frame	Рамка
Frames	Кадри
Free Transform	Вільне трансформування
Free Transform a Copy	Вільно трансформувати копію
From Transparency	З прозорості
Fullscreen	Повний екран
Fuzziness	Розкид
GIF…	GIF…
Gamma	Гамма
Gamut Warning	Кольори поза охопленням
Gaussian	За Гаусом
Gaussian Blur…	Розмиття за Гаусом…
Generate Mockups	Створити макети
Generate Mockups…	Створити макети…
Give the brush a name	Дайте пензлю назву
Give the export a file name	Дайте експорту ім'я файлу
Glass Menus	Скляні меню
Global light	Глобальне освітлення
Glyphs	Гліфи
Gradient	Градієнт
Gradient Editor	Редактор градієнтів
Gradient Map	Карта градієнта
Gradient Map…	Карта градієнта…
Gradient Overlay	Накладання градієнта
Gradient Overlay…	Накладання градієнта…
Gradient…	Градієнт…
Gray	Сірий
Grayscale	Градації сірого
Green	Зелений
Greens	Зелені
Grid	Сітка
Grid points	Вузли сітки
Group	Група
Group Layers	Згрупувати шари
Grow	Суміжні пікселі
Guide Guy	Guide Guy
Guides	Напрямні
Gutter	Проміжок
H	H
H.264 (plays everywhere)	H.264 (відтворюється всюди)
HDR Toning	HDR-тонування
HDR Toning…	HDR-тонування…
HSB/HSL…	HSB/HSL…
Halftone Screen	Півтоновий візерунок
Hard Light	Жорстке світло
Hard Mix	Жорстке змішування
Hard Round 24	Жорсткий круглий 24
Hard Round 4	Жорсткий круглий 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Жорсткі краї, без змішування. Лише для піксель-арту — під час зменшення з'являються сходинки.
Harder Brush	Жорсткіший пензель
Height	Висота
Height to 110%	Висота до 110%
Height to 125%	Висота до 125%
Height to 80%	Висота до 80%
Height to 90%	Висота до 90%
Help	Довідка
Hide All	Приховати все
Hide Layers	Приховати шари
Hide Selection	Приховати виділення
Hide the source layer	Приховати вихідний шар
High Contrast	Високий контраст
High Pass…	Колірний контраст…
Highlights	Світлі тони
Histogram	Гістограма
Histories	Історії
History	Історія
Hold	Утримання
Horizontal Centers	Центри по горизонталі
Horizontal Distortion	Викривлення по горизонталі
Horizontal center guide	Горизонтальна центральна напрямна
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Масштаб по горизонталі у відсотках: розширює або звужує гліфи та інтервали між ними
Horizontally	По горизонталі
Hue	Колірний тон
Hue jitter	Коливання колірного тону
Hue/Saturation	Колірний тон/Насиченість
Hue/Saturation…	Колірний тон/Насиченість…
ICC profile	Профіль ICC
ICO…	ICO…
Image	Зображення
Image Options	Параметри зображення
Image Rotation	Обертання зображення
Image Size	Розмір зображення
Image Size…	Розмір зображення…
Image size	Розмір зображення
Import CSV…	Імпорт CSV…
Import PDF	Імпорт PDF
Import a CSV of data sets first	Спершу імпортуйте CSV з наборами даних
Import a CSV: the first row names the variables, every further row is one data set.	Імпортуйте CSV: перший рядок називає змінні, кожен наступний рядок — один набір даних.
In use	Використовується
Inches	Дюйми
Indexed Color	Індексовані кольори
Indexed Color…	Індексовані кольори…
Inflate	Роздування
Info	Інфо
Ink	Фарба
Ink Color	Колір фарби
Ink printed at 0, 25, 50, 75 and 100% tint	Фарба, надрукована з відтінком 0, 25, 50, 75 і 100%
Inner Glow	Внутрішнє світіння
Inner Glow…	Внутрішнє світіння…
Inner Radius	Внутрішній радіус
Inner Shadow	Внутрішня тінь
Inner Shadow…	Внутрішня тінь…
Inside	Усередині
Intent	Метод рендерингу
Intersect Shape Areas	Перетнути області фігур
Intersect with Selection	Перетнути з виділенням
Inverse	Інверсія
Inverse Fourier Transform	Обернене перетворення Фур'є
Invert	Інвертувати
Invert coverage	Інвертувати покриття
Invert has no parameters	Інверсія не має параметрів
Iris Blur…	Розмиття діафрагми…
Italic	Курсив
JPEG carries the XMP and the source's EXIF	JPEG містить XMP і EXIF джерела
JPG…	JPG…
Justify	За шириною
Kaleidoscope…	Калейдоскоп…
Keep as it was	Залишити як було
Kept when a comp is first applied	Зберігається під час першого застосування композиції
Kerning	Кернінг
Keyboard Shortcut Sheet…	Шпаргалка сполучень клавіш…
Keyboard Shortcuts…	Сполучення клавіш…
Keywords	Ключові слова
Kind	Тип
Kurtosis	Ексцес
Lab Color	Колір Lab
Landscape	Альбомна
Language	Мова
Large	Великий
Last Document State	Останній стан документа
Last Filter	Останній фільтр
Last line	Останній рядок
Layer	Шар
Layer Comps	Композиції шарів
Layer Edges	Краї шару
Layer Mask	Шар-маска
Layer Style	Стиль шару
Layer knocks out drop shadow	Шар вибиває тінь
Layer via Copy	Скопіювати на новий шар
Layer via Cut	Вирізати на новий шар
Layers	Шари
Layers panel options	Параметри панелі «Шари»
Left	Ліворуч
Left Edges	Ліві краї
Left indent	Відступ ліворуч
Length	Довжина
Lens Blur…	Розмиття лінзою…
Lens Correction…	Корекція дисторсії…
Lens Flare…	Відблиск…
Level	Рівень
Levels	Рівні
Levels…	Рівні…
Light	Світлий
Light Grey	Світло-сіра
Lighten	Заміна світлим
