# Raster Studio interface strings, tr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Türkçe
Alpha	Alfa
Already used by	Zaten kullanan:
Alt Tag	Alt Etiketi
Amount	Miktar
An export needs at least one output	Bir dışa aktarmanın en az bir çıktısı olmalı
An image or project from this computer	Bu bilgisayardan bir görüntü veya proje
Angle	Açı
Angle (degrees)	Açı (derece)
Angle jitter	Açı titreşimi
Animation	Animasyon
Another slice already has this name	Başka bir dilim zaten bu ada sahip
Appearance	Görünüm
Applied	Uygulandı
Apply	Uygula
Apply Guides	Kılavuzları Uygula
Apply Image	Görüntü Uygula
Apply Image…	Görüntü Uygula…
Apply Mask	Maskeyi Uygula
Apply Style	Stil Uygula
Apply Style 1	Stil 1'i Uygula
Apply Style Preset…	Stil Ön Ayarı Uygula…
Apply the next comp	Sonraki kompozisyonu uygula
Apply the previous comp	Önceki kompozisyonu uygula
Apply this mask	Bu maskeyi uygula
Approximate. The composited result is what the canvas shows.	Yaklaşık. Birleştirilmiş sonuç, tuvalin gösterdiğidir.
Arbitrary…	Rastgele…
Arc	Yay
Arc Lower	Alt Yay
Arc Upper	Üst Yay
Arch	Kemer
Arrange	Düzenle
Artboard	Çalışma Yüzeyi
Artboard from Layers	Katmanlardan Çalışma Yüzeyi
Artboards in one document	Tek belgede çalışma yüzeyleri
Artboards to Files…	Çalışma Yüzeylerini Dosyalara…
Assign Profile	Profil Ata
Assigned {name}: the pixel numbers are unchanged, so the colours look different	{name} atandı: piksel değerleri değişmedi, bu yüzden renkler farklı görünür
Author	Yazar
Auto Color	Otomatik Renk
Auto Contrast	Otomatik Kontrast
Auto Tone	Otomatik Ton
Auto leading	Otomatik satır aralığı
Auto-Align Layers…	Katmanları Otomatik Hizala…
Auto-Blend Layers…	Katmanları Otomatik Karıştır…
Automate	Otomatikleştir
Autosaves of never-saved documents go here; empty uses the default	Hiç kaydedilmemiş belgelerin otomatik kayıtları buraya gider; boş bırakılırsa varsayılan kullanılır
Average	Ortalama
BMP…	BMP…
Back to the colour this opened on	Açıldığı renge geri dön
Background — double-click for the picker	Arka plan — seçici için çift tıklayın
Based On	Temel alınan
Baseline shift	Taban çizgisi kayması
Baseline to baseline. Auto leading follows the type size.	Taban çizgisinden taban çizgisine. Otomatik satır aralığı yazı boyutunu izler.
Batch	Toplu İş
Batch…	Toplu İş…
Bend	Bükme
Bevel	Eğim
Bevel & Emboss	Eğim ve Kabartma
Bevel & Emboss…	Eğim ve Kabartma…
Bind a text replacement variable to a text layer, or a visibility variable to any layer.	Bir metin katmanına metin değiştirme değişkeni ya da herhangi bir katmana görünürlük değişkeni bağlayın.
Bitmap	Bitmap
Bitmap…	Bitmap…
Black	Siyah
Black & White	Siyah Beyaz
Black & White…	Siyah Beyaz…
Black to Transparent	Siyahtan Saydama
Black to White	Siyahtan Beyaza
Black to white through the inks	Mürekkepler üzerinden siyahtan beyaza
Blacks	Siyahlar
Blend If	Karıştırma Koşulu
Blend Mode: Color	Karışım Modu: Renk
Blend Mode: Color Burn	Karışım Modu: Renk Yanması
Blend Mode: Color Dodge	Karışım Modu: Renk Soldurma
Blend Mode: Darken	Karışım Modu: Koyulaştır
Blend Mode: Difference	Karışım Modu: Fark
Blend Mode: Dissolve	Karışım Modu: Çözülme
Blend Mode: Exclusion	Karışım Modu: Dışlama
Blend Mode: Hard Light	Karışım Modu: Sert Işık
Blend Mode: Hard Mix	Karışım Modu: Sert Karışım
Blend Mode: Hue	Karışım Modu: Ton
Blend Mode: Lighten	Karışım Modu: Aydınlat
Blend Mode: Linear Burn	Karışım Modu: Doğrusal Yanma
Blend Mode: Linear Dodge (Add)	Karışım Modu: Doğrusal Soldurma (Ekle)
Blend Mode: Linear Light	Karışım Modu: Doğrusal Işık
Blend Mode: Luminosity	Karışım Modu: Parlaklık
Blend Mode: Multiply	Karışım Modu: Çarp
Blend Mode: Normal	Karışım Modu: Normal
Blend Mode: Overlay	Karışım Modu: Kaplama
Blend Mode: Pin Light	Karışım Modu: Sabit Işık
Blend Mode: Saturation	Karışım Modu: Doygunluk
Blend Mode: Screen	Karışım Modu: Ekran
Blend Mode: Soft Light	Karışım Modu: Yumuşak Işık
Blend Mode: Vivid Light	Karışım Modu: Canlı Işık
Blending	Karıştırma
Blending Options	Karıştırma Seçenekleri
Blending Options…	Karıştırma Seçenekleri…
Blending options	Karıştırma seçenekleri
Blends a source document, layer or channel into the active layer as one step.	Kaynak belgeyi, katmanı veya kanalı tek adımda etkin katmana karıştırır.
Blends one channel of each of two sources into a new channel, a selection or a new document.	İki kaynağın her birinden bir kanalı yeni bir kanala, seçime veya yeni belgeye karıştırır.
Blue	Mavi
Blues	Maviler
Blur	Bulanıklaştır
Blur Gallery	Bulanıklaştırma Galerisi
Blur More	Daha Fazla Bulanıklaştır
Bold	Kalın
Border Selection	Kenarlık Seçimi
Border…	Kenarlık…
Both axes	Her iki eksen
Bottom	Alt
Bottom Edges	Alt Kenarlar
Bottom Left	Sol Alt
Bottom Right	Sağ Alt
Bottom Right Pixel Color	Sağ Alt Piksel Rengi
Bottom left	Sol alt
Bottom right	Sağ alt
Box Blur…	Kutu Bulanıklaştırma…
Box height	Kutu yüksekliği
Brightness	Parlaklık
Brightness jitter	Parlaklık titreşimi
Brightness/Contrast	Parlaklık/Kontrast
Brightness/Contrast…	Parlaklık/Kontrast…
Bring Forward	Öne Getir
Bring to Front	En Öne Getir
Brush Editor	Fırça Düzenleyici
Brush: Background	Fırça: Arka Plan
Brush: Foreground	Fırça: Ön Plan
Brushes	Fırçalar
Bulge	Şişkinlik
Butt	Düz
CMYK Color	CMYK Renk
Calculations	Hesaplamalar
Calculations…	Hesaplamalar…
Camera Raw…	Camera Raw…
Canvas Size	Tuval Boyutu
Canvas Size…	Tuval Boyutu…
Canvas extension	Tuval uzantısı
Caps	Büyük Harf
Carries the XMP; the source's EXIF goes into JPEG only	XMP'yi taşır; kaynağın EXIF'i yalnızca JPEG'e gider
Cell size (pixels)	Hücre boyutu (piksel)
Center	Merkez
Center horizontally on the canvas	Tuvalde yatay olarak ortala
Center vertically on the canvas	Tuvalde dikey olarak ortala
Centimeters	Santimetre
Centre	Merkez
Centre the view on this note	Görünümü bu notta ortala
Change Bit Depth	Bit Derinliğini Değiştir
Change Colour Mode	Renk Modunu Değiştir
Change Layer Properties	Katman Özelliklerini Değiştir
Change how many pixels the document has, or how large it prints.	Belgenin kaç pikseli olduğunu veya ne kadar büyük basılacağını değiştirin.
Channel	Kanal
Channel Mixer	Kanal Karıştırıcı
Channel Mixer…	Kanal Karıştırıcı…
Channel thumbnail	Kanal küçük resmi
Channels	Kanallar
Character	Karakter
Character Style	Karakter Stili
Character Styles	Karakter Stilleri
Checkerboard	Dama Tahtası
Choose 2 to 256 colours	2 ile 256 arasında renk seçin
Choose a colour profile	Bir renk profili seçin
Choose a destination folder	Bir hedef klasör seçin
Choose a source folder	Bir kaynak klasör seçin
Choose at least one page to open	Açmak için en az bir sayfa seçin
Choose at least one side to trim	Kırpmak için en az bir kenar seçin
Choose the Action to play	Oynatılacak eylemi seçin
Choose the open grayscale document each channel of the new RGB document comes from.	Yeni RGB belgesinin her kanalının geleceği açık gri tonlamalı belgeyi seçin.
Choose the pages to open, their resolution and how they open.	Açılacak sayfaları, çözünürlüklerini ve nasıl açılacaklarını seçin.
Choose the source and the destination folders.	Kaynak ve hedef klasörleri seçin.
Choose…	Seç…
Clear	Temizle
Clear All	Tümünü Temizle
Clear Guides	Kılavuzları Temizle
Clear History	Geçmişi Temizle
Clear Layer Style	Katman Stilini Temizle
Clear Slices	Dilimleri Temizle
Clear Strokes	Konturları Temizle
Clear existing guides	Mevcut kılavuzları temizle
Clear the {noun} from the active text layer	{noun} öğesini etkin metin katmanından kaldır
Cleared {n} slice(s)	{n} dilim temizlendi
Click an item in the panel first	Önce panelde bir öğeye tıklayın
Click anywhere to sample a colour	Renk örneklemek için herhangi bir yere tıklayın
Click anywhere to sample a colour, or press Escape.	Renk örneklemek için herhangi bir yere tıklayın veya Esc tuşuna basın.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Nokta eklemek için grafiğe tıklayın, eğriyi bükmek için bir noktayı sürükleyin, kaldırmak için grafiğin dışına sürükleyin
Click the preview to sample a colour from it	Önizlemeden renk örneklemek için önizlemeye tıklayın
Click the preview to sample the colour to replace	Değiştirilecek rengi örneklemek için önizlemeye tıklayın
Click the ramp to edit its stops.	Duraklarını düzenlemek için rampaya tıklayın.
Clip to layer below	Alttaki katmana kırp
Clipboard	Pano
Clipping	Kırpma
Close	Kapat
Close All	Tümünü Kapat
Close Alpha Channel	Alfa Kanalını Kapat
Close Others	Diğerlerini Kapat
Close panel	Paneli kapat
Clouds	Bulutlar
Codec	Codec
Color	Renk
Color Balance	Renk Dengesi
Color Balance…	Renk Dengesi…
Color Burn	Renk Yanması
Color Dodge	Renk Soldurma
Color Dynamics	Renk Dinamikleri
Color Halftone…	Renkli Yarım Ton…
Color Intensity	Renk Yoğunluğu
Color Label	Renk Etiketi
Color Lookup	Renk Arama
Color Lookup Tables…	Renk Arama Tabloları…
Color Lookup…	Renk Arama…
Color Overlay	Renk Kaplaması
Color Overlay…	Renk Kaplaması…
Color Picker	Renk Seçici
Color Range	Renk Aralığı
Color Range…	Renk Aralığı…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Renk saçağı temizliği: kenar piksellerinin rengini yakındaki iç mürekkebe doğru çeker — maske iyileştirmeden ayrı bir düzenleme.
Color to Alpha…	Renkten Alfaya…
Colors	Renkler
Colour	Renk
Colour varies once per stroke.	Renk her fırça darbesinde bir kez değişir.
Colours	Renkler
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Renkler 1 ile 64 arasında, tolerans 0'dan büyük ve köşe uzunluğu en az 1 olmalı
Columns	Sütunlar
Columns and rows with gutters between them, inside optional margins, in pixels.	Aralarında oluklar olan sütunlar ve satırlar, isteğe bağlı kenar boşlukları içinde, piksel cinsinden.
Combine Shapes	Şekilleri Birleştir
Commit (Enter)	Uygula (Enter)
Commit Contents	İçeriği Onayla
Composite	Bileşik
Condensed	Dar
Cone	Koni
Constant	Sabit
Constrain proportions	Oranları koru
Content-Aware	İçeriğe Duyarlı
Content-Aware Scale	İçeriğe Duyarlı Ölçekleme
Contour	Kontur
Contract Selection	Seçimi Daralt
Contract by	Daraltma miktarı
Contract…	Daralt…
Contrast	Kontrast
Conversion Options	Dönüştürme Seçenekleri
Convert Formats	Biçimleri Dönüştür
Convert Formats…	Biçimleri Dönüştür…
Convert for Smart Filters	Akıllı Filtreler İçin Dönüştür
Convert to Layers	Katmanlara Dönüştür
Convert to Linked…	Bağlantılıya Dönüştür…
Convert to Paragraph Text	Paragraf Metnine Dönüştür
Convert to Point Text	Nokta Metne Dönüştür
Convert to Profile	Profile Dönüştür
Convert to Profile works on 8- and 16-bit documents	Profile Dönüştür 8 ve 16 bit belgelerde çalışır
Convert to Profile…	Profile Dönüştür…
Convert to Shape	Şekle Dönüştür
Convert to Smart Object	Akıllı Nesneye Dönüştür
Converted to {name} ({intent}): the numbers changed so the colours look the same	{name} profiline dönüştürüldü ({intent}): renkler aynı görünsün diye değerler değişti
Cool	Soğuk
Copper	Bakır
Copy	Kopyala
Copy Layer Style	Katman Stilini Kopyala
Copy Merged	Birleştirilmiş Kopyala
Copyright Notice	Telif Hakkı Bildirimi
Corner length	Köşe uzunluğu
Corner radius	Köşe yarıçapı
Corner radius applies to rectangles; this path has no corners to round	Köşe yarıçapı dikdörtgenlere uygulanır; bu yolun yuvarlanacak köşesi yok
Corners	Köşeler
Count jitter	Sayı titreşimi
Create Clipping Mask	Kırpma Maskesi Oluştur
Create Layer	Katman Oluştur
Create Layers	Katmanlar Oluştur
Crop	Kırp
Crop and Straighten Photos	Fotoğrafları Kırp ve Düzelt
Crops the canvas to the content, judged by the basis below.	Tuvali, aşağıdaki ölçüte göre içeriğe kırpar.
Crystallize…	Kristalize Et…
Current Layer	Geçerli Katman
Current Path	Geçerli Yol
Curve tolerance	Eğri toleransı
Curves	Eğriler
Curves…	Eğriler…
Custom	Özel
Custom Brush	Özel Fırça
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Özel: Taşıma aracıyla tuvaldeki 16 ağ tutamacını sürükleyin
Custom…	Özel…
Cut	Kes
Cyan	Camgöbeği
Cyan / Red	Camgöbeği / Kırmızı
Cyans	Camgöbekleri
DDS…	DDS…
DXF…	DXF…
Dark	Koyu
Dark Blue	Koyu Mavi
Dark Grey	Koyu Gri
Darken	Koyulaştır
Darker Color	Daha Koyu Renk
Dash	Kesik çizgi
Data Set	Veri Kümesi
Data Sets	Veri Kümeleri
Data Sets…	Veri Kümeleri…
Default	Varsayılan
Default colours  (D)	Varsayılan renkler  (D)
Default colours (D)	Varsayılan renkler (D)
Define	Tanımla
Define Brush Preset…	Fırça Ön Ayarı Tanımla…
Define Custom Shape…	Özel Şekil Tanımla…
Define New	Yeni Tanımla
Define Pattern…	Desen Tanımla…
Define…	Tanımla…
Delete	Sil
Delete Filter Mask	Filtre Maskesini Sil
Delete Layer	Katmanı Sil
Delete Mask	Maskeyi Sil
Delete Vector Mask	Vektör Maskesini Sil
Delete action	Eylemi sil
Delete channel	Kanalı sil
Delete frame	Kareyi sil
Delete path	Yolu sil
Delete selected layers	Seçili katmanları sil
Delete set and its actions	Seti ve eylemlerini sil
Delete stop	Durağı sil
Delete the applied comp	Uygulanan kompozisyonu sil
Delete the selected keyframe	Seçili ana kareyi sil
Delete the selected tool preset	Seçili araç ön ayarını sil
Delete the selected {noun}	Seçili {noun} öğesini sil
Delete the smart filter mask	Akıllı filtre maskesini sil
Delete this note	Bu notu sil
Delete this smart filter	Bu akıllı filtreyi sil
Delete this spot channel	Bu spot kanalı sil
Density	Yoğunluk
Dents…	Göçükler…
Desaturate	Doygunluğu Azalt
Description	Açıklama
Deselect	Seçimi Kaldır
Deselect Layers	Katman Seçimini Kaldır
Despeckle	Benek Temizle
Destination	Hedef
Destination Space	Hedef Alan
Detail	Ayrıntı
Detail scales	Ayrıntı ölçekleri
Diamond	Elmas
Difference	Fark
Difference Clouds	Fark Bulutları
Diffuse…	Dağıt…
Diffusion	Yayılma
Diffusion Dither	Yayılma Taklidi
Disable / Enable Filter Mask	Filtre Maskesini Devre Dışı Bırak / Etkinleştir
Disable / Enable Mask	Maskeyi Devre Dışı Bırak / Etkinleştir
Disable / Enable Vector Mask	Vektör Maskesini Devre Dışı Bırak / Etkinleştir
Disable Mask	Maskeyi Devre Dışı Bırak
Disable Vector Mask	Vektör Maskesini Devre Dışı Bırak
Displace…	Yer Değiştir…
Dissolve	Çözülme
Distance	Uzaklık
Distort	Bozulma
Distribute	Dağıt
Dither	Taklit
Dither…	Taklit…
Divide	Böl
Dock this panel here	Bu paneli buraya yerleştir
Document	Belge
Document Bounds	Belge Sınırları
Document Info	Belge Bilgisi
Document Title	Belge Başlığı
Document size	Belge boyutu
Double-click to edit in Layer Style; drag to the trash to delete	Katman Stili'nde düzenlemek için çift tıklayın; silmek için çöpe sürükleyin
Double-click to edit this filter's settings	Bu filtrenin ayarlarını düzenlemek için çift tıklayın
Double-click to rename	Yeniden adlandırmak için çift tıklayın
Drag a line with the Ruler first	Önce Cetvel ile bir çizgi sürükleyin
Drag to zoom the view	Görünümü yakınlaştırmak için sürükleyin
Drop Shadow	Gölge Düşür
Drop Shadow…	Gölge Düşür…
Duotone	Çift Ton
Duotone Options	Çift Ton Seçenekleri
Duotone…	Çift Ton…
Duplicate	Çoğalt
Duplicate Layer	Katmanı Çoğalt
Duplicate Layer…	Katmanı Çoğalt…
Duplicate frame	Kareyi çoğalt
Dust & Scratches…	Toz ve Çizikler…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	EXIF ve XMP yazma uygulanmadı — yalnızca ICC gömülür
EXR…	EXR…
Ease In	Yavaş Başla
Ease Out	Yavaş Bitir
Edge Glow	Kenar Parlaması
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Kenar iyileştirme: maskenin mevcut kapsamı üzerinde yumuşatma, kaydırma, düzleştirme ve kontrast — konu tanıma değil.
Edges	Kenarlar
Edit	Düzen
Edit Adjustment	Ayarlamayı Düzenle
Edit Adjustment…	Ayarlamayı Düzenle…
Edit Alpha Channel	Alfa Kanalını Düzenle
Edit Contents…	İçeriği Düzenle…
Edit Document Records	Belge Kayıtlarını Düzenle
Edit Fill	Dolguyu Düzenle
Edit Filter Mask	Filtre Maskesini Düzenle
Edit Generator	Oluşturucuyu Düzenle
Edit Group	Grubu Düzenle
Edit Guides	Kılavuzları Düzenle
Edit Raster	Raster Katmanı Düzenle
Edit Saved Selection	Kayıtlı Seçimi Düzenle
Edit Shape	Şekli Düzenle
Edit Slices	Dilimleri Düzenle
Edit Smart object	Akıllı Nesneyi Düzenle
Edit Text	Metni Düzenle
Edit Timeline	Zaman Çizelgesini Düzenle
Edit brush…	Fırçayı düzenle…
Edit fill	Dolguyu düzenle
Edit gradient stops — click to open the editor	Degrade duraklarını düzenle — düzenleyiciyi açmak için tıklayın
Edit in Quick Mask Mode	Hızlı Maske Modunda Düzenle
Edit this ramp	Bu rampayı düzenle
Effects	Efektler
Effects apply to the whole layer and undo as one step.	Efektler tüm katmana uygulanır ve tek adımda geri alınır.
Embed EXIF and XMP	EXIF ve XMP göm
Embed Linked	Bağlantılıyı Göm
Embed colour profile	Renk profilini göm
Embedded source	Gömülü kaynak
Emboss…	Kabartma…
Enable / disable the smart filter mask	Akıllı filtre maskesini etkinleştir / devre dışı bırak
Enable Mask	Maskeyi Etkinleştir
Enable Vector Mask	Vektör Maskesini Etkinleştir
Enable at least one export	En az bir dışa aktarmayı etkinleştirin
Enabled	Etkin
Enlarge smaller images	Küçük görüntüleri büyüt
Enter a colour like #3366CC	#3366CC gibi bir renk girin
Entropy	Entropi
Equalize	Eşitle
Essentials	Temel Öğeler
Every enabled row is written when you export.	Dışa aktardığınızda etkin her satır yazılır.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Kaynak klasördeki her görüntü kutuya sığdırılır ve kendi biçiminde hedef klasöre yazılır.
Every parameter is at its neutral value — there is nothing to clean	Tüm parametreler nötr değerinde — temizlenecek bir şey yok
Every parameter is at its neutral value — there is nothing to refine	Tüm parametreler nötr değerinde — iyileştirilecek bir şey yok
Every variable needs a name	Her değişkenin bir adı olmalı
Exact	Tam
Exclude Overlapping Shapes	Çakışan Şekilleri Hariç Tut
Exclusion	Dışlama
Expand Selection	Seçimi Genişlet
Expand by	Genişletme miktarı
Expand the dock	Yuvayı genişlet
Expanded	Geniş
Expand…	Genişlet…
Export	Dışa Aktar
Export As	Farklı Dışa Aktar
Export Color Lookup	Renk Aramasını Dışa Aktar
Export Contents…	İçeriği Dışa Aktar…
Export Diagnostics…	Tanılamayı Dışa Aktar…
Export Layers…	Katmanları Dışa Aktar…
Export PDF	PDF Dışa Aktar
Export as .ABR…	.ABR Olarak Dışa Aktar…
Export as .ACO…	.ACO Olarak Dışa Aktar…
Export as .ASL…	.ASL Olarak Dışa Aktar…
Export set as .atn	Seti .atn olarak dışa aktar
Export…	Dışa Aktar…
Exposure	Pozlama
Exposure…	Pozlama…
Extra Bold	Ekstra Kalın
Extra Condensed	Ekstra Dar
Extra Expanded	Ekstra Geniş
Extra Light	Ekstra İnce
Extras	Ekstralar
Extrude…	Kabart…
Eyedropper	Damlalık
Face	Yazı Biçimi
Facet	Faset
Fade	Soldur
Fade…	Soldur…
Family	Aile
Feather	Yumuşat
Feather Selection	Seçimi Yumuşat
Feather radius	Yumuşatma yarıçapı
Feather…	Yumuşat…
Fibers…	Lifler…
Field Blur…	Alan Bulanıklaştırma…
File	Dosya
File Info	Dosya Bilgisi
File Info…	Dosya Bilgisi…
File name	Dosya adı
Files that fail are listed in batch-errors.txt in the destination.	Başarısız dosyalar hedefteki batch-errors.txt dosyasında listelenir.
Fill	Dolgu
Fill Filter Mask	Filtre Maskesini Doldur
Fill Layer	Dolgu Katmanı
Fill Mask	Maskeyi Doldur
Fill Screen	Ekranı Doldur
Fill in File Info, or open a file that has EXIF, to embed metadata	Meta verileri gömmek için Dosya Bilgisi'ni doldurun veya EXIF içeren bir dosya açın
Fill path with the foreground colour, on a new shape layer	Yolu ön plan rengiyle yeni bir şekil katmanında doldur
Fill type	Dolgu türü
Fills the active selection with the chosen contents.	Etkin seçimi seçilen içerikle doldurur.
Fill…	Doldur…
Filter	Filtre
Filter Gallery	Filtre Galerisi
Filter Gallery…	Filtre Galerisi…
Find Edges	Kenarları Bul
First line	İlk satır
Fish	Balık
Fisheye	Balık Gözü
Fit The Area	Alana Sığdır
Fit on Screen	Ekrana Sığdır
Fit the whole image in the window	Tüm görüntüyü pencereye sığdır
Fixed height	Sabit yükseklik
Flag	Bayrak
Flame…	Alev…
Flat Angled 40	Düz Açılı 40
Flatten Image	Görüntüyü Düzleştir
Flip Canvas Horizontal	Tuvali Yatay Çevir
Flip Canvas Vertical	Tuvali Dikey Çevir
Flip Horizontal	Yatay Çevir
Flip Vertical	Dikey Çevir
Flip View Horizontal	Görünümü Yatay Çevir
Flip View Vertical	Görünümü Dikey Çevir
Flow jitter	Akış titreşimi
Folders	Klasörler
Font: 	Yazı tipi: 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Ön plan darbeleri tutulacakları, arka plan darbeleri atılacakları işaretler; önizleme kesimi gösterir.
Foreground — double-click for the picker	Ön plan — seçici için çift tıklayın
Foreground/background jitter	Ön plan/arka plan titreşimi
Format	Biçim
Fourier	Fourier
Fourier Transform	Fourier Dönüşümü
Fragment	Parçala
Frame	Çerçeve
Frames	Kareler
Free Transform	Serbest Dönüştür
Free Transform a Copy	Bir Kopyayı Serbest Dönüştür
From Transparency	Saydamlıktan
Fullscreen	Tam ekran
Fuzziness	Bulanıklık
GIF…	GIF…
Gamma	Gama
Gamut Warning	Gamut Uyarısı
Gaussian	Gauss
Gaussian Blur…	Gauss Bulanıklığı…
Generate Mockups	Maket Oluştur
Generate Mockups…	Maket Oluştur…
Give the brush a name	Fırçaya bir ad verin
Give the export a file name	Dışa aktarmaya bir dosya adı verin
Glass Menus	Cam Menüler
Global light	Genel ışık
Glyphs	Glifler
Gradient	Degrade
Gradient Editor	Degrade Düzenleyici
Gradient Map	Degrade Haritası
Gradient Map…	Degrade Haritası…
Gradient Overlay	Degrade Kaplaması
Gradient Overlay…	Degrade Kaplaması…
Gradient…	Degrade…
Gray	Gri
Grayscale	Gri Tonlama
Green	Yeşil
Greens	Yeşiller
Grid	Izgara
Grid points	Izgara noktaları
Group	Grup
Group Layers	Katmanları Grupla
Grow	Büyüt
Guide Guy	Guide Guy
Guides	Kılavuzlar
Gutter	Oluk
H	H
H.264 (plays everywhere)	H.264 (her yerde oynatılır)
HDR Toning	HDR Tonlama
HDR Toning…	HDR Tonlama…
HSB/HSL…	HSB/HSL…
Halftone Screen	Yarım Ton Ekranı
Hard Light	Sert Işık
Hard Mix	Sert Karışım
Hard Round 24	Sert Yuvarlak 24
Hard Round 4	Sert Yuvarlak 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Sert kenarlar, karıştırma yok. Yalnızca piksel sanatı için — küçültmede tırtıklanır.
Harder Brush	Daha Sert Fırça
Height	Yükseklik
Height to 110%	Yüksekliği %110 yap
Height to 125%	Yüksekliği %125 yap
Height to 80%	Yüksekliği %80 yap
Height to 90%	Yüksekliği %90 yap
Help	Yardım
Hide All	Tümünü Gizle
Hide Layers	Katmanları Gizle
Hide Selection	Seçimi Gizle
Hide the source layer	Kaynak katmanı gizle
High Contrast	Yüksek Kontrast
High Pass…	Yüksek Geçiş…
Highlights	Vurgular
Histogram	Histogram
Histories	Geçmişler
History	Geçmiş
Hold	Tut
Horizontal Centers	Yatay Merkezler
Horizontal Distortion	Yatay Bozulma
Horizontal center guide	Yatay merkez kılavuzu
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Yüzde olarak yatay ölçek: glifleri ve aralıklarını genişletir veya daraltır
Horizontally	Yatay olarak
Hue	Ton
