# Raster Studio interface strings, fr. One row per line: the English source, a TAB,
# the translation. Placeholders in braces ({name}, {n}) and menu ellipses are kept.
# Escapes: \n, \t, \\. The gate is strings::tests::every_language_table_translates_every_catalogue_string.
@name	Français
Blend Mode: Normal	Mode de fusion : Normal
Blend Mode: Overlay	Mode de fusion : Incrustation
Blend Mode: Pin Light	Mode de fusion : Lumière ponctuelle
Blend Mode: Saturation	Mode de fusion : Saturation
Blend Mode: Screen	Mode de fusion : Superposition
Blend Mode: Soft Light	Mode de fusion : Lumière tamisée
Blend Mode: Vivid Light	Mode de fusion : Lumière vive
Blending	Fusion
Blending Options	Options de fusion
Blending Options…	Options de fusion…
Blending options	Options de fusion
Blends a source document, layer or channel into the active layer as one step.	Fusionne un document, un calque ou une couche source dans le calque actif en une seule étape.
Blends one channel of each of two sources into a new channel, a selection or a new document.	Fusionne une couche de chacune de deux sources dans une nouvelle couche, une sélection ou un nouveau document.
Blue	Bleu
Blues	Bleus
Blur	Flou
Blur Gallery	Galerie d’effets de flou
Blur More	Flou plus important
Bold	Gras
Border Selection	Sélection de la bordure
Border…	Cadre…
Both axes	Les deux axes
Bottom	Bas
Bottom Edges	Bords inférieurs
Bottom Left	En bas à gauche
Bottom Right	En bas à droite
Bottom Right Pixel Color	Couleur du pixel en bas à droite
Bottom left	En bas à gauche
Bottom right	En bas à droite
Box Blur…	Flou de l’encadré…
Box height	Hauteur du cadre
Brightness	Luminosité
Brightness jitter	Variation de luminosité
Brightness/Contrast	Luminosité/Contraste
Brightness/Contrast…	Luminosité/Contraste…
Bring Forward	En avant
Bring to Front	Premier plan
Brush Editor	Éditeur de formes
Brush: Background	Forme : arrière-plan
Brush: Foreground	Forme : premier plan
Brushes	Formes
Bulge	Renflement
Butt	Carré
CMYK Color	Couleurs CMJN
Calculations	Opérations
Calculations…	Opérations…
Camera Raw…	Camera Raw…
Canvas Size	Taille de la zone de travail
Canvas Size…	Taille de la zone de travail…
Canvas extension	Extension de la zone de travail
Caps	Casse
Carries the XMP; the source's EXIF goes into JPEG only	Contient le XMP ; l’EXIF de la source n’est inclus qu’en JPEG
Cell size (pixels)	Taille de cellule (pixels)
Center	Centre
Center horizontally on the canvas	Centrer horizontalement sur la zone de travail
Center vertically on the canvas	Centrer verticalement sur la zone de travail
Centimeters	Centimètres
Centre	Centre
Centre the view on this note	Centrer la vue sur cette note
Change Bit Depth	Modifier la profondeur
Change Colour Mode	Modifier le mode colorimétrique
Change Layer Properties	Modifier les propriétés du calque
Change how many pixels the document has, or how large it prints.	Modifiez le nombre de pixels du document ou sa taille à l’impression.
Channel	Couche
Channel Mixer	Mélangeur de couches
Channel Mixer…	Mélangeur de couches…
Channel thumbnail	Vignette de la couche
Channels	Couches
Character	Caractère
Character Style	Style de caractère
Character Styles	Styles de caractère
Checkerboard	Damier
Choose 2 to 256 colours	Choisissez de 2 à 256 couleurs
Choose a colour profile	Choisir un profil colorimétrique
Choose a destination folder	Choisir un dossier de destination
Choose a source folder	Choisir un dossier source
Choose at least one page to open	Choisissez au moins une page à ouvrir
Choose at least one side to trim	Choisissez au moins un côté à rogner
Choose the Action to play	Choisissez le script à exécuter
Choose the open grayscale document each channel of the new RGB document comes from.	Choisissez le document en niveaux de gris ouvert d’où provient chaque couche du nouveau document RVB.
Choose the pages to open, their resolution and how they open.	Choisissez les pages à ouvrir, leur résolution et la façon de les ouvrir.
Choose the source and the destination folders.	Choisissez les dossiers source et de destination.
Choose…	Choisir…
Clear	Effacer
Clear All	Tout effacer
Clear Guides	Effacer les repères
Clear History	Effacer l’historique
Clear Layer Style	Effacer le style de calque
Clear Slices	Effacer les tranches
Clear Strokes	Effacer les contours
Clear existing guides	Effacer les repères existants
Clear the {noun} from the active text layer	Retirer {noun} du calque de texte actif
Cleared {n} slice(s)	{n} tranche(s) effacée(s)
Click an item in the panel first	Cliquez d’abord sur un élément du panneau
Click anywhere to sample a colour	Cliquez n’importe où pour prélever une couleur
Click anywhere to sample a colour, or press Escape.	Cliquez n’importe où pour prélever une couleur, ou appuyez sur Échap.
Click the graph to add a point, drag a point to bend the curve, drag it off the graph to remove it	Cliquez sur le graphique pour ajouter un point, faites glisser un point pour courber la courbe, sortez-le du graphique pour le supprimer
Click the preview to sample a colour from it	Cliquez sur l’aperçu pour y prélever une couleur
Click the preview to sample the colour to replace	Cliquez sur l’aperçu pour prélever la couleur à remplacer
Click the ramp to edit its stops.	Cliquez sur la rampe pour modifier ses points.
Clip to layer below	Écrêter sur le calque inférieur
Clipboard	Presse-papiers
Clipping	Masque d’écrêtage
Close	Fermer
Close All	Tout fermer
Close Alpha Channel	Fermer la couche alpha
Close Others	Fermer les autres
Close panel	Fermer le panneau
Clouds	Nuages
Codec	Codec
Color	Couleur
Color Balance	Balance des couleurs
Color Balance…	Balance des couleurs…
Color Burn	Densité couleur +
Color Dodge	Densité couleur -
Color Dynamics	Dynamique de la couleur
Color Halftone…	Demi-teintes couleur…
Color Intensity	Intensité de la couleur
Color Label	Libellé de couleur
Color Lookup	Correspondance de la couleur
Color Lookup Tables…	Tables de correspondance des couleurs…
Color Lookup…	Correspondance de la couleur…
Color Overlay	Incrustation couleur
Color Overlay…	Incrustation couleur…
Color Picker	Sélecteur de couleurs
Color Range	Plage de couleurs
Color Range…	Plage de couleurs…
Color fringe cleanup: pulls the boundary pixels' color toward the nearby interior ink — a separate edit from mask refinement.	Nettoyage des franges colorées : rapproche la couleur des pixels du bord de l’encre intérieure voisine, une retouche distincte de l’affinage du masque.
Color to Alpha…	Couleur vers alpha…
Colors	Couleurs
Colour	Couleur
Colour varies once per stroke.	La couleur varie une fois par tracé.
Colours	Couleurs
Colours must be 1 to 64, the tolerance above 0 and the corner length at least 1	Les couleurs doivent aller de 1 à 64, la tolérance être supérieure à 0 et la longueur d’angle d’au moins 1
Columns	Colonnes
Columns and rows with gutters between them, inside optional margins, in pixels.	Colonnes et rangées séparées par des gouttières, dans des marges facultatives, en pixels.
Combine Shapes	Combiner les formes
Commit (Enter)	Valider (Entrée)
Commit Contents	Valider le contenu
Composite	Composite
Condensed	Étroit
Cone	Cône
Constant	Constant
Constrain proportions	Conserver les proportions
Content-Aware	Contenu pris en compte
Content-Aware Scale	Mise à l’échelle d’après le contenu
Contour	Contour
Contract Selection	Contracter la sélection
Contract by	Contracter de
Contract…	Contracter…
Contrast	Contraste
Conversion Options	Options de conversion
Convert Formats	Convertir les formats
Convert Formats…	Convertir les formats…
Convert for Smart Filters	Convertir pour les filtres dynamiques
Convert to Layers	Convertir en calques
Convert to Linked…	Convertir en objet lié…
Convert to Paragraph Text	Convertir en texte de paragraphe
Convert to Point Text	Convertir en texte de point
Convert to Profile	Convertir en profil
Convert to Profile works on 8- and 16-bit documents	Convertir en profil fonctionne sur les documents 8 et 16 bits
Convert to Profile…	Convertir en profil…
Convert to Shape	Convertir en forme
Convert to Smart Object	Convertir en objet dynamique
Converted to {name} ({intent}): the numbers changed so the colours look the same	Converti en {name} ({intent}) : les valeurs ont changé pour que les couleurs restent identiques
Cool	Froid
Copper	Cuivre
Copy	Copier
Copy Layer Style	Copier le style de calque
Copy Merged	Copier avec fusion
Copyright Notice	Mention de copyright
Corner length	Longueur d’angle
Corner radius	Rayon d’angle
Corner radius applies to rectangles; this path has no corners to round	Le rayon d’angle s’applique aux rectangles ; ce tracé n’a pas d’angles à arrondir
Corners	Angles
Count jitter	Variation du nombre
Create Clipping Mask	Créer un masque d’écrêtage
Create Layer	Créer un calque
Create Layers	Créer des calques
Crop	Recadrer
Crop and Straighten Photos	Recadrer et désincliner les photos
Crops the canvas to the content, judged by the basis below.	Recadre la zone de travail sur le contenu, selon la base ci-dessous.
Crystallize…	Cristallisation…
Current Layer	Calque actif
Current Path	Tracé actif
Curve tolerance	Tolérance de courbe
Curves	Courbes
Curves…	Courbes…
Custom	Personnalisé
Custom Brush	Forme personnalisée
Custom: with the Move tool, drag the 16 mesh handles on the canvas	Personnalisé : avec l’outil Déplacement, faites glisser les 16 poignées du maillage sur la zone de travail
Custom…	Personnalisé…
Cut	Couper
Cyan	Cyan
Cyan / Red	Cyan / Rouge
Cyans	Cyans
DDS…	DDS…
DXF…	DXF…
Dark	Sombre
Dark Blue	Bleu foncé
Dark Grey	Gris foncé
Darken	Obscurcir
Darker Color	Couleur plus foncée
Dash	Tiret
Data Set	Jeu de données
Data Sets	Jeux de données
Data Sets…	Jeux de données…
Default	Par défaut
Default colours  (D)	Couleurs par défaut  (D)
Default colours (D)	Couleurs par défaut (D)
Define	Définir
Define Brush Preset…	Définir une forme prédéfinie…
Define Custom Shape…	Définir une forme personnalisée…
Define New	Définir nouveau
Define Pattern…	Définir un motif…
Define…	Définir…
Delete	Supprimer
Delete Filter Mask	Supprimer le masque de filtre
Delete Layer	Supprimer le calque
Delete Mask	Supprimer le masque
Delete Vector Mask	Supprimer le masque vectoriel
Delete action	Supprimer la commande
Delete channel	Supprimer la couche
Delete frame	Supprimer l’image
Delete path	Supprimer le tracé
Delete selected layers	Supprimer les calques sélectionnés
Delete set and its actions	Supprimer l’ensemble et ses commandes
Delete stop	Supprimer le point
Delete the applied comp	Supprimer la composition appliquée
Delete the selected keyframe	Supprimer l’image clé sélectionnée
Delete the selected tool preset	Supprimer l’outil prédéfini sélectionné
Delete the selected {noun}	Supprimer {noun} sélectionné
Delete the smart filter mask	Supprimer le masque de filtre dynamique
Delete this note	Supprimer cette note
Delete this smart filter	Supprimer ce filtre dynamique
Delete this spot channel	Supprimer cette couche de ton direct
Density	Densité
Dents…	Bosses…
Desaturate	Désaturation
Description	Description
Deselect	Désélectionner
Deselect Layers	Désélectionner les calques
Despeckle	Antipoussière
Destination	Destination
Destination Space	Espace de destination
Detail	Détail
Detail scales	Échelles de détail
Diamond	Losange
Difference	Différence
Difference Clouds	Nuages par différence
Diffuse…	Diffusion…
Diffusion	Diffusion
Diffusion Dither	Tramage par diffusion
Disable / Enable Filter Mask	Désactiver / activer le masque de filtre
Disable / Enable Mask	Désactiver / activer le masque
Disable / Enable Vector Mask	Désactiver / activer le masque vectoriel
Disable Mask	Désactiver le masque
Disable Vector Mask	Désactiver le masque vectoriel
Displace…	Dispersion…
Dissolve	Fondu
Distance	Distance
Distort	Déformation
Distribute	Répartir
Dither	Tramage
Dither…	Tramage…
Divide	Division
Dock this panel here	Ancrer ce panneau ici
Document	Document
Document Bounds	Limites du document
Document Info	Informations sur le document
Document Title	Titre du document
Document size	Taille du document
Double-click to edit in Layer Style; drag to the trash to delete	Double-cliquez pour modifier dans Style de calque ; faites glisser vers la corbeille pour supprimer
Double-click to edit this filter's settings	Double-cliquez pour modifier les réglages de ce filtre
Double-click to rename	Double-cliquez pour renommer
Drag a line with the Ruler first	Tracez d’abord une ligne avec l’outil Règle
Drag to zoom the view	Faites glisser pour zoomer la vue
Drop Shadow	Ombre portée
Drop Shadow…	Ombre portée…
Duotone	Bichromie
Duotone Options	Options de bichromie
Duotone…	Bichromie…
Duplicate	Dupliquer
Duplicate Layer	Dupliquer le calque
Duplicate Layer…	Dupliquer le calque…
Duplicate frame	Dupliquer l’image
Dust & Scratches…	Anti-poussière…
EMF…	EMF…
EXIF and XMP writing is not implemented — only ICC is embedded	L’écriture EXIF et XMP n’est pas implémentée : seul l’ICC est incorporé
EXR…	EXR…
Ease In	Accélération
Ease Out	Ralentissement
Edge Glow	Contours lumineux
Edge refinement: feather, shift, smooth, and contrast over the mask's existing coverage — not subject recognition.	Affinage des contours : contour progressif, décalage, lissage et contraste sur la couverture existante du masque — pas de reconnaissance du sujet.
Edges	Contours
Edit	Édition
Edit Adjustment	Modifier le réglage
Edit Adjustment…	Modifier le réglage…
Edit Alpha Channel	Modifier la couche alpha
Edit Contents…	Modifier le contenu…
Edit Document Records	Modifier les données du document
Edit Fill	Modifier le remplissage
Edit Filter Mask	Modifier le masque de filtre
Edit Generator	Modifier le générateur
Edit Group	Modifier le groupe
Edit Guides	Modifier les repères
Edit Raster	Modifier le calque pixellisé
Edit Saved Selection	Modifier la sélection enregistrée
Edit Shape	Modifier la forme
Edit Slices	Modifier les tranches
Edit Smart object	Modifier l’objet dynamique
Edit Text	Modifier le texte
Edit Timeline	Modifier le montage
Edit brush…	Modifier la forme…
Edit fill	Modifier le remplissage
Edit gradient stops — click to open the editor	Modifier les points du dégradé : cliquez pour ouvrir l’éditeur
Edit in Quick Mask Mode	Modifier en mode Masque
Edit this ramp	Modifier cette rampe
Effects	Effets
Effects apply to the whole layer and undo as one step.	Les effets s’appliquent à tout le calque et s’annulent en une seule étape.
Embed EXIF and XMP	Incorporer EXIF et XMP
Embed Linked	Incorporer l’objet lié
Embed colour profile	Incorporer le profil colorimétrique
Embedded source	Source incorporée
Emboss…	Estampage…
Enable / disable the smart filter mask	Activer / désactiver le masque de filtre dynamique
Enable Mask	Activer le masque
Enable Vector Mask	Activer le masque vectoriel
Enable at least one export	Activez au moins un export
Enabled	Activé
Enlarge smaller images	Agrandir les images plus petites
Enter a colour like #3366CC	Saisissez une couleur comme #3366CC
Entropy	Entropie
Equalize	Égaliser
Essentials	Les indispensables
Every enabled row is written when you export.	Chaque ligne activée est écrite lors de l’export.
Every image in the source folder is fitted into the box and written to the destination folder in its own format.	Chaque image du dossier source est ajustée au cadre et écrite dans le dossier de destination dans son propre format.
Every parameter is at its neutral value — there is nothing to clean	Tous les paramètres sont à leur valeur neutre : il n’y a rien à nettoyer
Every parameter is at its neutral value — there is nothing to refine	Tous les paramètres sont à leur valeur neutre : il n’y a rien à affiner
Every variable needs a name	Chaque variable doit avoir un nom
Exact	Exact
Exclude Overlapping Shapes	Exclure les formes superposées
Exclusion	Exclusion
Expand Selection	Dilater la sélection
Expand by	Dilater de
Expand the dock	Déplier le dock
Expanded	Large
Expand…	Dilater…
Export	Exporter
Export As	Exporter sous
Export Color Lookup	Exporter la correspondance de la couleur
Export Contents…	Exporter le contenu…
Export Diagnostics…	Exporter les diagnostics…
Export Layers…	Exporter les calques…
Export PDF	Exporter en PDF
Export as .ABR…	Exporter en .ABR…
Export as .ACO…	Exporter en .ACO…
Export as .ASL…	Exporter en .ASL…
Export set as .atn	Exporter l’ensemble en .atn
Export…	Exporter…
Exposure	Exposition
Exposure…	Exposition…
Extra Bold	Extra-gras
Extra Condensed	Extra-étroit
Extra Expanded	Extra-large
Extra Light	Extra-maigre
Extras	Extras
Extrude…	Extrusion…
Eyedropper	Pipette
Face	Style
Facet	Facettes
Fade	Estomper
Fade…	Estomper…
Family	Famille
Feather	Contour progressif
Feather Selection	Contour progressif de la sélection
Feather radius	Rayon du contour progressif
Feather…	Contour progressif…
Fibers…	Fibres…
Field Blur…	Flou de champ…
File	Fichier
File Info	Informations sur le fichier
File Info…	Informations sur le fichier…
File name	Nom de fichier
Files that fail are listed in batch-errors.txt in the destination.	Les fichiers en échec sont listés dans batch-errors.txt dans la destination.
Fill	Remplissage
Fill Filter Mask	Remplir le masque de filtre
Fill Layer	Calque de remplissage
Fill Mask	Remplir le masque
Fill Screen	Plein écran
Fill in File Info, or open a file that has EXIF, to embed metadata	Remplissez les informations sur le fichier, ou ouvrez un fichier doté d’EXIF, pour incorporer des métadonnées
Fill path with the foreground colour, on a new shape layer	Remplir le tracé avec la couleur de premier plan, sur un nouveau calque de forme
Fill type	Type de remplissage
Fills the active selection with the chosen contents.	Remplit la sélection active avec le contenu choisi.
Fill…	Remplir…
Filter	Filtre
Filter Gallery	Galerie de filtres
Filter Gallery…	Galerie de filtres…
Find Edges	Contour
First line	Première ligne
Fish	Poisson
Fisheye	Fish-eye
Fit The Area	Adapter à la zone
Fit on Screen	Taille écran
Fit the whole image in the window	Ajuster toute l’image à la fenêtre
Fixed height	Hauteur fixe
Flag	Drapeau
Flame…	Flamme…
Flat Angled 40	Plat incliné 40
Flatten Image	Aplatir l’image
Flip Canvas Horizontal	Symétrie horizontale de la zone de travail
Flip Canvas Vertical	Symétrie verticale de la zone de travail
Flip Horizontal	Symétrie horizontale
Flip Vertical	Symétrie verticale
Flip View Horizontal	Symétrie horizontale de la vue
Flip View Vertical	Symétrie verticale de la vue
Flow jitter	Variation du flux
Folders	Dossiers
Font: 	Police : 
Foreground strokes mark what to keep, background strokes what to drop; Preview shows the cut.	Les tracés de premier plan marquent ce qu’il faut garder, ceux d’arrière-plan ce qu’il faut retirer ; l’aperçu montre la découpe.
Foreground — double-click for the picker	Premier plan : double-cliquez pour ouvrir le sélecteur
Foreground/background jitter	Variation premier plan/arrière-plan
Format	Format
Fourier	Fourier
Fourier Transform	Transformée de Fourier
Fragment	Fragmentation
Frame	Cadre
Frames	Images
Free Transform	Transformation manuelle
Free Transform a Copy	Transformation manuelle d’une copie
From Transparency	D’après la transparence
Fullscreen	Plein écran
Fuzziness	Tolérance
GIF…	GIF…
Gamma	Gamma
Gamut Warning	Couleurs non imprimables
Gaussian	Gaussien
Gaussian Blur…	Flou gaussien…
Generate Mockups	Générer des maquettes
Generate Mockups…	Générer des maquettes…
Give the brush a name	Donnez un nom à la forme
Give the export a file name	Donnez un nom de fichier à l’export
Glass Menus	Menus en verre
Global light	Lumière globale
Glyphs	Glyphes
Gradient	Dégradé
Gradient Editor	Éditeur de dégradé
Gradient Map	Courbe de transfert de dégradé
Gradient Map…	Courbe de transfert de dégradé…
Gradient Overlay	Incrustation en dégradé
Gradient Overlay…	Incrustation en dégradé…
Gradient…	Dégradé…
Gray	Gris
Grayscale	Niveaux de gris
Green	Vert
Greens	Verts
Grid	Grille
Grid points	Points de grille
Group	Groupe
Group Layers	Grouper les calques
Grow	Étendre
Guide Guy	Guide Guy
Guides	Repères
Gutter	Gouttière
H	H
H.264 (plays everywhere)	H.264 (lu partout)
HDR Toning	Tons HDR
HDR Toning…	Tons HDR…
HSB/HSL…	TSL/TSV…
Halftone Screen	Trame de demi-teintes
Hard Light	Lumière crue
Hard Mix	Mélange maximal
Hard Round 24	Rond dur 24
Hard Round 4	Rond dur 4
Hard edges, no blending. Pixel art only — it aliases on downscale.	Bords nets, sans fusion. Pour le pixel art uniquement : crénelé en réduction.
Harder Brush	Forme plus dure
Height	Hauteur
Height to 110%	Hauteur à 110 %
Height to 125%	Hauteur à 125 %
Height to 80%	Hauteur à 80 %
Height to 90%	Hauteur à 90 %
Help	Aide
Hide All	Tout masquer
Hide Layers	Masquer les calques
Hide Selection	Masquer la sélection
Hide the source layer	Masquer le calque source
High Contrast	Contraste élevé
High Pass…	Passe-haut…
Highlights	Tons clairs
Histogram	Histogramme
Histories	Historiques
History	Historique
Hold	Maintien
Horizontal Centers	Centres horizontaux
Horizontal Distortion	Déformation horizontale
Horizontal center guide	Repère central horizontal
Horizontal scale, in percent: widens or narrows the glyphs and their spacing	Échelle horizontale, en pourcentage : élargit ou rétrécit les glyphes et leur espacement
Horizontally	Horizontalement
Hue	Teinte
Hue jitter	Variation de teinte
Hue/Saturation	Teinte/Saturation
Hue/Saturation…	Teinte/Saturation…
ICC profile	Profil ICC
ICO…	ICO…
Image	Image
Image Options	Options d’image
Image Rotation	Rotation de l’image
Image Size	Taille de l’image
Image Size…	Taille de l’image…
Image size	Taille de l’image
Import CSV…	Importer un CSV…
Import PDF	Importer un PDF
Import a CSV of data sets first	Importez d’abord un CSV de jeux de données
Import a CSV: the first row names the variables, every further row is one data set.	Importer un CSV : la première ligne nomme les variables, chaque ligne suivante est un jeu de données.
In use	Utilisé
Inches	Pouces
Indexed Color	Couleurs indexées
Indexed Color…	Couleurs indexées…
Inflate	Gonflement
Info	Informations
Ink	Encre
Ink Color	Couleur de l’encre
Ink printed at 0, 25, 50, 75 and 100% tint	Encre imprimée à 0, 25, 50, 75 et 100 % de teinte
Inner Glow	Lueur interne
Inner Glow…	Lueur interne…
Inner Radius	Rayon intérieur
Inner Shadow	Ombre interne
Inner Shadow…	Ombre interne…
Inside	Intérieur
Intent	Mode de rendu
Intersect Shape Areas	Intersection des zones de formes
Intersect with Selection	Intersection avec la sélection
Inverse	Intervertir
Inverse Fourier Transform	Transformée de Fourier inverse
Invert	Négatif
Invert coverage	Inverser la couverture
Invert has no parameters	Négatif n’a aucun paramètre
Iris Blur…	Flou de diaphragme…
Italic	Italique
JPEG carries the XMP and the source's EXIF	JPEG contient le XMP et l’EXIF de la source
JPG…	JPG…
Justify	Justifier
Kaleidoscope…	Kaléidoscope…
Keep as it was	Laisser tel quel
Kept when a comp is first applied	Conservé à la première application d’une composition
Kerning	Crénage
Keyboard Shortcut Sheet…	Aide-mémoire des raccourcis clavier…
Keyboard Shortcuts…	Raccourcis clavier…
Keywords	Mots-clés
Kind	Type
Kurtosis	Aplatissement
Lab Color	Couleurs Lab
Landscape	Paysage
Language	Langue
Large	Grand
Last Document State	Dernier état du document
Last Filter	Dernier filtre
Last line	Dernière ligne
Layer	Calque
Layer Comps	Compositions de calques
Layer Edges	Contours des calques
Layer Mask	Masque de fusion
Layer Properties	Propriétés du calque
Layer Style	Style de calque
Layer knocks out drop shadow	Le calque masque l’ombre portée
Layer via Copy	Calque par copier
